SampleID,SampleID_16S_FL,SampleID_16S_PA,SampleID_18S_FL,SampleID_18S_PA,station,station_2,lat,long,date,date_2,julian_days,time_sample,month,month_2,season,daylength,BA,synecho,peuk,tpp,chla_insitu,chla_sat,BP,wind,rainfall,secchi,Zeu,Temperature,Salinity,NH4,NO2,NO3,PO4,Si,PAR,POC,SOI,WeMOI,Oscillation_Index
EA-20130423,EA-20130423-16SV4V5-022-3-SRF,EA-20130423-16SV4V5-3-200-SRF,EA-20130423-18SV4-022-3-SRF,EA-20130423-18SV4-3-200-SRF,Equatorial Atlantic Microbial Observatory,EAMO,-5.99,-35.08,23/04/2013,2013-04-23,113,1,Apr,4,Autumn,11.94,147368,38555.02,360.26,186283.01,NA,0.624761745034071,0.16,3.272,175.6,6,14.1,29.582,36.69,2.1865,0.0275,0.4478,0.0388,1.138,42.352,101.842,0.2,NA,0.2
EA-20130604,EA-20130604-16SV4V5-022-3-SRF,EA-20130604-16SV4V5-3-200-SRF,EA-20130604-18SV4-022-3-SRF,EA-20130604-18SV4-3-200-SRF,Equatorial Atlantic Microbial Observatory,EAMO,-5.99,-35.08,04/06/2013,2013-06-04,155,3,May,5,Autumn,11.79,566448,113023.16,854.74,680326.35,NA,0.9195825987392,1.15,3.696,254.9,7,16.45,28.409,35.1,1.7085,0.027,0.3853,0.0363,0.8778,39.506,131.044,0.8,NA,0.8
EA-20130625,EA-20130625-16SV4V5-022-3-SRF,EA-20130625-16SV4V5-3-200-SRF,EA-20130625-18SV4-022-3-SRF,EA-20130625-18SV4-3-200-SRF,Equatorial Atlantic Microbial Observatory,EAMO,-5.99,-35.08,25/06/2013,2013-06-25,176,4,Jun,6,Winter,11.77,926124,90418.53,2493.57,1019036.09,NA,1.52664267807095,3.16,3.283,399.1,5,11.75,27.292,34.35,NA,NA,NA,NA,NA,37.288,120.648,1.2,NA,1.2
EA-20130827,EA-20130827-16SV4V5-022-3-SRF,EA-20130827-16SV4V5-3-200-SRF,EA-20130827-18SV4-022-3-SRF,,Equatorial Atlantic Microbial Observatory,EAMO,-5.99,-35.08,27/08/2013,2013-08-27,239,5,Aug,8,Winter,11.97,471971,89005.74,1547,562523.53,NA,1.50602328777313,0.55,4.257,242,3.9,9.24,26.592,35.19,NA,NA,NA,NA,NA,50.619,151.638,0.2,NA,0.2
EA-20131127,EA-20131127-16SV4V5-022-3-SRF,EA-20131127-16SV4V5-3-200-SRF,EA-20131127-18SV4-022-3-SRF,EA-20131127-18SV4-3-200-SRF,Equatorial Atlantic Microbial Observatory,EAMO,-5.99,-35.08,27/11/2013,2013-11-27,331,8,Nov,11,Spring,12.43,513364,115848.74,812.35,630025.5,NA,0.686395924360979,0.72,4.589,38.6,5,11.75,27.658,35.32,1.8208,0.0203,0.5345,0.083,1.271,49.487,104.714,0.7,NA,0.7
EA-20131230,EA-20131230-16SV4V5-022-3-SRF,EA-20131230-16SV4V5-3-200-SRF,EA-20131230-18SV4-022-3-SRF,EA-20131230-18SV4-3-200-SRF,Equatorial Atlantic Microbial Observatory,EAMO,-5.99,-35.08,30/12/2013,2013-12-30,364,9,Dec,12,Summer,12.47,853958,115142.34,1737.73,970838.55,NA,1.19298017024994,NA,3.97,10.1,4.6,10.76,28.485,35.29,2.152,0.0323,5.8683,0.0753,3.039,49.114,169.167,0.1,NA,0.1
EA-20140211,EA-20140211-16SV4V5-022-3-SRF,EA-20140211-16SV4V5-3-200-SRF,EA-20140211-18SV4-022-3-SRF,EA-20140211-18SV4-3-200-SRF,Equatorial Atlantic Microbial Observatory,EAMO,-5.99,-35.08,11/02/2014,2014-02-11,42,11,Feb,2,Summer,12.32,1133255,105959.21,664.01,1239877.98,NA,0.89059428146316,0.87,4.002,52.1,4.6,10.76,28.521,36.09,NA,NA,NA,NA,NA,50.735,128.333,0.1,NA,0.1
EA-20140326,EA-20140326-16SV4V5-022-3-SRF,EA-20140326-16SV4V5-3-200-SRF,EA-20140326-18SV4-022-3-SRF,EA-20140326-18SV4-3-200-SRF,Equatorial Atlantic Microbial Observatory,EAMO,-5.99,-35.08,26/03/2014,2014-03-26,85,12,Mar,3,Autumn,12.09,1509018,88299.34,1539.94,1598857.46,NA,0.729668730150455,2.24,3.446,262.1,10,23.5,29.255,36.16,1.2515,0.025,0.9648,0.0365,1.7655,48.525,91.868,-0.9,NA,-0.9
EA-20140415,EA-20140415-16SV4V5-022-3-SRF,EA-20140415-16SV4V5-3-200-SRF,EA-20140415-18SV4-022-3-SRF,EA-20140415-18SV4-3-200-SRF,Equatorial Atlantic Microbial Observatory,EAMO,-5.99,-35.08,15/04/2014,2014-04-15,105,13,Apr,4,Autumn,11.98,781349,67552.53,988.95,849890.81,NA,0.563312845611248,NA,3.241,81.9,5,11.75,29.54,35.92,1.6803,0.0238,0.3103,0.0455,1.9193,40.131,100.258,0.8,NA,0.8
EA-20140514,EA-20140514-16SV4V5-022-3-SRF,EA-20140514-16SV4V5-3-200-SRF,EA-20140514-18SV4-022-3-SRF,EA-20140514-18SV4-3-200-SRF,Equatorial Atlantic Microbial Observatory,EAMO,-5.99,-35.08,14/05/2014,2014-05-14,134,14,May,5,Autumn,11.85,697846,46805.71,437.96,745090.04,NA,0.784663936405471,1.07,2.992,191,4.6,10.76,28.417,35.48,NA,NA,NA,NA,NA,36.072,114.685,0.5,NA,0.5
