Sample_MatchASVtab,SampleID,SampleID_2,SampleID_3,Date_ID,RunID,RunID_2,MO,Fraction,MO_Fraction,Year,Month,Season,Season_EA
EA.20130423.16SV4V5.022.3.SRF,EA-20130423-16SV4V5-022-3-SRF,EA.20130423.022.3.SRF,EA-20130423,20130423,BL_EAMO_R03,BL_EAMO_R02,EAMO,0.2-3um,EAMO 0.2-3um,2013,Apr,Autumn,rainy
EA.20130604.16SV4V5.022.3.SRF,EA-20130604-16SV4V5-022-3-SRF,EA.20130604.022.3.SRF,EA-20130604,20130604,BL_EAMO_R03,BL_EAMO_R02,EAMO,0.2-3um,EAMO 0.2-3um,2013,May,Autumn,rainy
EA.20130625.16SV4V5.022.3.SRF,EA-20130625-16SV4V5-022-3-SRF,EA.20130625.022.3.SRF,EA-20130625,20130625,BL_EAMO_R03,BL_EAMO_R02,EAMO,0.2-3um,EAMO 0.2-3um,2013,Jun,Winter,rainy
EA.20130827.16SV4V5.022.3.SRF,EA-20130827-16SV4V5-022-3-SRF,EA.20130827.022.3.SRF,EA-20130827,20130827,BL_EAMO_R03,BL_EAMO_R02,EAMO,0.2-3um,EAMO 0.2-3um,2013,Aug,Winter,rainy
EA.20131127.16SV4V5.022.3.SRF,EA-20131127-16SV4V5-022-3-SRF,EA.20131127.022.3.SRF,EA-20131127,20131127,BL_EAMO_R03,BL_EAMO_R02,EAMO,0.2-3um,EAMO 0.2-3um,2013,Nov,Spring,dry
EA.20131230.16SV4V5.022.3.SRF,EA-20131230-16SV4V5-022-3-SRF,EA.20131230.022.3.SRF,EA-20131230,20131230,BL_EAMO_R03,BL_EAMO_R02,EAMO,0.2-3um,EAMO 0.2-3um,2013,Dec,Summer,dry
EA.20140211.16SV4V5.022.3.SRF,EA-20140211-16SV4V5-022-3-SRF,EA.20140211.022.3.SRF,EA-20140211,20140211,BL_EAMO_R03,BL_EAMO_R02,EAMO,0.2-3um,EAMO 0.2-3um,2014,Feb,Summer,dry
EA.20140326.16SV4V5.022.3.SRF,EA-20140326-16SV4V5-022-3-SRF,EA.20140326.022.3.SRF,EA-20140326,20140326,BL_EAMO_R03,BL_EAMO_R02,EAMO,0.2-3um,EAMO 0.2-3um,2014,Mar,Autumn,dry
EA.20140415.16SV4V5.022.3.SRF,EA-20140415-16SV4V5-022-3-SRF,EA.20140415.022.3.SRF,EA-20140415,20140415,BL_EAMO_R03,BL_EAMO_R02,EAMO,0.2-3um,EAMO 0.2-3um,2014,Apr,Autumn,rainy
EA.20140514.16SV4V5.022.3.SRF,EA-20140514-16SV4V5-022-3-SRF,EA.20140514.022.3.SRF,EA-20140514,20140514,BL_EAMO_R03,BL_EAMO_R02,EAMO,0.2-3um,EAMO 0.2-3um,2014,May,Autumn,rainy
