Sample_MatchASVtab,SampleID,SampleID_2,SampleID_3,Date_ID,RunID,MO,Fraction,MO_Fraction,Year,Month,Season,Season_EA
EA.20130423.18SV4.022.3.SRF,EA-20130423-18SV4-022-3-SRF,EA.20130423.022.3.SRF,EA-20130423,20130423,R02_Vini_M02913_100,EAMO,0.2-3um,EAMO 0.2-3um,2013,Apr,Autumn,rainy
EA.20130604.18SV4.022.3.SRF,EA-20130604-18SV4-022-3-SRF,EA.20130604.022.3.SRF,EA-20130604,20130604,R02_Vini_M02913_100,EAMO,0.2-3um,EAMO 0.2-3um,2013,May,Autumn,rainy
EA.20130625.18SV4.022.3.SRF,EA-20130625-18SV4-022-3-SRF,EA.20130625.022.3.SRF,EA-20130625,20130625,R02_Vini_M02913_100,EAMO,0.2-3um,EAMO 0.2-3um,2013,Jun,Winter,rainy
EA.20130827.18SV4.022.3.SRF,EA-20130827-18SV4-022-3-SRF,EA.20130827.022.3.SRF,EA-20130827,20130827,R02_Vini_M02913_100,EAMO,0.2-3um,EAMO 0.2-3um,2013,Aug,Winter,rainy
EA.20131127.18SV4.022.3.SRF,EA-20131127-18SV4-022-3-SRF,EA.20131127.022.3.SRF,EA-20131127,20131127,R02_Vini_M02913_100,EAMO,0.2-3um,EAMO 0.2-3um,2013,Nov,Spring,dry
EA.20131230.18SV4.022.3.SRF,EA-20131230-18SV4-022-3-SRF,EA.20131230.022.3.SRF,EA-20131230,20131230,R02_Vini_M02913_100,EAMO,0.2-3um,EAMO 0.2-3um,2013,Dec,Summer,dry
EA.20140211.18SV4.022.3.SRF,EA-20140211-18SV4-022-3-SRF,EA.20140211.022.3.SRF,EA-20140211,20140211,R03_Pedro_M02913_239,EAMO,0.2-3um,EAMO 0.2-3um,2014,Feb,Summer,dry
EA.20140326.18SV4.022.3.SRF,EA-20140326-18SV4-022-3-SRF,EA.20140326.022.3.SRF,EA-20140326,20140326,R03_Pedro_M02913_239,EAMO,0.2-3um,EAMO 0.2-3um,2014,Mar,Autumn,dry
EA.20140415.18SV4.022.3.SRF,EA-20140415-18SV4-022-3-SRF,EA.20140415.022.3.SRF,EA-20140415,20140415,R02_Vini_M02913_100,EAMO,0.2-3um,EAMO 0.2-3um,2014,Apr,Autumn,rainy
EA.20140514.18SV4.022.3.SRF,EA-20140514-18SV4-022-3-SRF,EA.20140514.022.3.SRF,EA-20140514,20140514,R03_Pedro_M02913_239,EAMO,0.2-3um,EAMO 0.2-3um,2014,May,Autumn,rainy
EA.20140707.18SV4.022.3.SRF,EA-20140707-18SV4-022-3-SRF,EA.20140707.022.3.SRF,EA-20140707,20140707,R03_Pedro_M02913_239,EAMO,0.2-3um,EAMO 0.2-3um,2014,Jun,Winter,rainy
EA.20140729.18SV4.022.3.SRF,EA-20140729-18SV4-022-3-SRF,EA.20140729.022.3.SRF,EA-20140729,20140729,R03_Pedro_M02913_239,EAMO,0.2-3um,EAMO 0.2-3um,2014,Jul,Winter,rainy
EA.20140826.18SV4.022.3.SRF,EA-20140826-18SV4-022-3-SRF,EA.20140826.022.3.SRF,EA-20140826,20140826,R03_Pedro_M02913_239,EAMO,0.2-3um,EAMO 0.2-3um,2014,Aug,Winter,rainy
EA.20140930.18SV4.022.3.SRF,EA-20140930-18SV4-022-3-SRF,EA.20140930.022.3.SRF,EA-20140930,20140930,R03_Pedro_M02913_239,EAMO,0.2-3um,EAMO 0.2-3um,2014,Sep,Spring,dry
