ASV	BL.20130417.18SV4.022.3.SRF	BL.20130417.18SV4.3.200.SRF	BL.20130507.18SV4.022.3.SRF	BL.20130507.18SV4.3.200.SRF	BL.20130604.18SV4.022.3.SRF	BL.20130604.18SV4.3.200.SRF	BL.20130709.18SV4.022.3.SRF	BL.20130709.18SV4.3.200.SRF	BL.20130801.18SV4.022.3.SRF	BL.20130801.18SV4.3.200.SRF	BL.20130917.18SV4.022.3.SRF	BL.20130917.18SV4.3.200.SRF	BL.20131015.18SV4.022.3.SRF	BL.20131015.18SV4.3.200.SRF	BL.20131105.18SV4.022.3.SRF	BL.20131204.18SV4.022.3.SRF	BL.20140114.18SV4.022.3.SRF	BL.20140114.18SV4.3.200.SRF	BL.20140211.18SV4.022.3.SRF	BL.20140211.18SV4.3.200.SRF	BL.20140310.18SV4.022.3.SRF	BL.20140310.18SV4.3.200.SRF	BL.20140407.18SV4.3.200.SRF	BL.20140505.18SV4.3.200.SRF	BL.20140602.18SV4.3.200.SRF	BL.20140621.18SV4.3.200.SRF	BL.20140707.18SV4.3.200.SRF	BL.20140804.18SV4.3.200.SRF	BL.20140916.18SV4.3.200.SRF	BL.20141007.18SV4.022.3.SRF	BL.20141007.18SV4.3.200.SRF	BL.20141111.18SV4.022.3.SRF	BL.20141111.18SV4.3.200.SRF	BL.20141216.18SV4.022.3.SRF	BL.20141216.18SV4.3.200.SRF	BL.20150113.18SV4.022.3.SRF	BL.20150113.18SV4.3.200.SRF	BL.20150210.18SV4.022.3.SRF	BL.20150210.18SV4.3.200.SRF	BL.20150310.18SV4.022.3.SRF	BL.20150310.18SV4.3.200.SRF	BL.20150415.18SV4.3.200.SRF	BL.20150512.18SV4.022.3.SRF	BL.20150512.18SV4.3.200.SRF	BL.20150609.18SV4.022.3.SRF	BL.20150609.18SV4.3.200.SRF	BL.20150622.18SV4.022.3.SRF	BL.20150622.18SV4.3.200.SRF	BL.20150707.18SV4.022.3.SRF	BL.20150707.18SV4.3.200.SRF	BL.20150804.18SV4.022.3.SRF	BL.20150804.18SV4.3.200.SRF	BL.20150916.18SV4.022.3.SRF	BL.20150916.18SV4.3.200.SRF	BL.20151006.18SV4.022.3.SRF	BL.20151006.18SV4.3.200.SRF	BL.20151110.18SV4.022.3.SRF	BL.20151110.18SV4.3.200.SRF	BL.20151215.18SV4.022.3.SRF	BL.20151215.18SV4.3.200.SRF	BL.20160119.18SV4.022.3.SRF	BL.20160119.18SV4.3.200.SRF	BL.20160210.18SV4.022.3.SRF	BL.20160210.18SV4.3.200.SRF	BL.20160308.18SV4.022.3.SRF	BL.20160308.18SV4.3.200.SRF	BL.20160405.18SV4.022.3.SRF	BL.20160405.18SV4.3.200.SRF	BL.20160504.18SV4.022.3.SRF	BL.20160504.18SV4.3.200.SRF	BL.20160607.18SV4.022.3.SRF	BL.20160607.18SV4.3.200.SRF	EA.20130423.18SV4.022.3.SRF	EA.20130423.18SV4.3.200.SRF	EA.20130604.18SV4.022.3.SRF	EA.20130604.18SV4.3.200.SRF	EA.20130625.18SV4.022.3.SRF	EA.20130625.18SV4.3.200.SRF	EA.20130827.18SV4.022.3.SRF	EA.20131127.18SV4.022.3.SRF	EA.20131127.18SV4.3.200.SRF	EA.20131230.18SV4.022.3.SRF	EA.20131230.18SV4.3.200.SRF	EA.20140211.18SV4.022.3.SRF	EA.20140211.18SV4.3.200.SRF	EA.20140326.18SV4.3.200.SRF	EA.20140415.18SV4.022.3.SRF	EA.20140415.18SV4.3.200.SRF	EA.20140514.18SV4.022.3.SRF	EA.20140514.18SV4.3.200.SRF	EA.20140707.18SV4.3.200.SRF	EA.20140729.18SV4.022.3.SRF	EA.20140826.18SV4.022.3.SRF	EA.20140826.18SV4.3.200.SRF	EA.20140930.18SV4.022.3.SRF	EA.20140930.18SV4.3.200.SRF	EA.20141029.18SV4.022.3.SRF	EA.20141029.18SV4.3.200.SRF	EA.20141125.18SV4.022.3.SRF	EA.20141125.18SV4.3.200.SRF	EA.20150115.18SV4.022.3.SRF	EA.20150115.18SV4.3.200.SRF	EA.20150227.18SV4.022.3.SRF	EA.20150227.18SV4.3.200.SRF	EA.20150328.18SV4.022.3.SRF	EA.20150328.18SV4.3.200.SRF	EA.20150425.18SV4.022.3.SRF	EA.20150425.18SV4.3.200.SRF	EA.20150516.18SV4.022.3.SRF	EA.20150516.18SV4.3.200.SRF	EA.20150627.18SV4.022.3.SRF	EA.20150627.18SV4.3.200.SRF	EA.20150801.18SV4.022.3.SRF	EA.20150801.18SV4.3.200.SRF	EA.20150829.18SV4.022.3.SRF	EA.20150829.18SV4.3.200.SRF	EA.20151006.18SV4.022.3.SRF	EA.20151006.18SV4.3.200.SRF	EA.20151208.18SV4.022.3.SRF	EA.20151208.18SV4.3.200.SRF	EA.20160225.18SV4.022.3.SRF	EA.20160225.18SV4.3.200.SRF	EA.20160322.18SV4.022.3.SRF	EA.20160322.18SV4.3.200.SRF	EA.20160502.18SV4.022.3.SRF	EA.20160502.18SV4.3.200.SRF	EA.20160611.18SV4.022.3.SRF	EA.20160611.18SV4.3.200.SRF	EA.20160822.18SV4.022.3.SRF	EA.20160822.18SV4.3.200.SRF
OTU_3	0	24	0	651	342	13633	68	5787	124	4405	0	1305	0	1456	706	0	0	1813	188	957	593	1021	2472	62080	2763	0	1231	0	18077	0	4438	106	5341	0	2551	0	1689	99	1321	0	8980	28342	0	2259	407	15340	0	1039	0	14940	0	4107	0	9222	0	1509	0	4811	0	2987	0	5100	0	1347	13389	88362	0	60144	92	18248	0	3885	1063	12520	997	6220	38	1573	161	60	6225	221	6810	514	0	0	1025	7978	0	409	8866	498	133	3669	217	199	741	258	252	4732	0	398	314	812	218	767	727	674	1090	75	430	9838	111	531	830	19100	970	8277	735	6691	266	400	1917	1351	0	165	0	1968	241	2551
OTU_4	0	0	0	0	0	0	0	0	0	0	656	90	671	51	12671	2196	499	326	0	0	500	54	0	0	0	0	0	0	172	5921	2554	1391	1035	102	0	0	173	145	0	0	0	0	0	0	0	495	0	0	0	0	0	0	10664	4931	1802	388	2550	686	726	111	165	198	0	25	0	0	0	0	0	0	0	0	530	0	5404	149	350	38	38585	297	66	101485	36292	640	0	133	16243	1380	247	55	2105	16861	9166	988	5752	375	4311	5067	4540	5473	1990	1658	2360	650	1261	1164	172	0	595	487	1919	1186	9022	15601	4176	13075	4294	8465	13452	9183	1717	379	164	260	21488	8352	4247	907	17109	28796
OTU_6	3921	37	86430	0	2229	0	65	0	0	0	288	0	149	8	23	9115	28770	6747	10550	7043	3643	1231	4762	0	0	0	0	0	0	0	0	1407	803	6385	5726	3533	6015	61019	4221	18666	6367	0	0	0	189	0	0	0	0	55	224	46	810	0	28386	10052	12224	1353	23673	5612	25874	7259	7819	931	940	58	780	0	118	33	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_7	3416	0	7673	0	859	0	58	0	0	0	66	0	0	0	0	1441	15480	1528	44797	20948	11403	957	1931	0	138	921	0	0	0	193	27	1319	390	4116	1294	3081	4479	53387	1119	18868	2614	0	0	0	1163	0	0	11	652	0	1238	86	2895	70	3872	614	11129	449	13759	2165	38444	5730	41082	2459	1469	0	694	17	0	0	404	0	130	0	746	0	378	40	472	178	0	40	15	493	0	0	815	22	312	15	0	78	1589	0	67	67	363	0	63	0	143	0	0	0	168	0	0	0	64	0	65	0	107	77	91	23	30	0	0	0	45	0	0	0	174	77	0	0	190	0
OTU_9	0	0	163	0	454	0	10	0	0	0	0	0	0	0	115	955	867	81	210	81	0	0	74	0	0	0	0	354	0	32	0	140	224	253	320	0	78	116	0	682	0	0	96	0	31	0	0	0	191	40	357	0	812	0	2175	770	809	77	483	104	76	51	0	0	483	0	0	0	29	0	0	0	26708	856	10543	112	8967	1812	34184	62778	10474	6799	2310	4316	191	0	14372	315	2875	266	0	392	7105	0	3154	1341	13147	331	11467	1239	653	0	14269	469	3604	0	5261	90	5444	135	1042	192	4190	3565	3248	1265	3244	1439	2755	134	1439	1049	1564	121	2938	1471	112	68	7416	1415
OTU_10	1918	502	63	19	0	0	0	0	0	0	0	0	0	0	21	15	1963	13012	5985	17786	869	13121	2023	0	19	0	19	11	0	0	203	478	8967	546	28171	749	23172	1396	41052	0	932	0	0	0	0	0	0	0	0	0	0	40	0	21	0	127	46	1628	628	4415	765	17581	38	3106	0	31	0	0	0	0	0	0	0	435	14	92	76	1264	24	1575	26156	37	199	0	0	0	286	3611	97	2788	0	0	0	0	0	0	0	0	20	52	0	0	0	0	483	144	0	0	397	0	84	98	632	1368	1053	2074	80	0	48	409	65	319	84	368	145	487	81	378	0	52
OTU_11	0	0	0	17	0	11	447	4462	2026	568	0	6	0	30	0	0	0	0	0	0	0	0	0	15993	0	0	87651	0	0	0	15	0	65	0	0	0	0	0	0	0	0	2059	1965	66895	0	132	21	1711	32	2372	0	20	0	117	0	0	0	0	0	0	0	0	0	0	0	359	0	359	193	2233	1988	25786	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	25	0	0
OTU_12	0	0	0	0	136	13	0	8640	397	172	0	0	0	0	0	0	0	0	0	0	0	0	131	9657	0	0	7881	0	503	0	290	0	0	0	0	0	0	0	0	0	214	4142	917	39351	0	481	287	3513	454	890	0	0	0	240	0	0	0	0	0	25	0	57	0	380	0	612	394	10398	0	2177	0	1200	0	160	0	0	0	0	0	0	0	0	0	0	0	0	1176	5096	1883	21352	0	0	0	0	0	0	0	0	0	0	0	0	184	1216	0	0	7071	1718	2955	492	56	271	0	0	0	0	0	177	9723	35623	3764	5984	4063	7108	0	0	0	0	0	0
OTU_14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	441	51	15232	116	36549	5252	43918	972	248	92	47	55	0	0	3663	68	23588	1200	198	631	4086	0	494	312	325	0	0	0	0	0	0	0	1954	0	744	59	222	0	7963	1485	1830	1526	825	247	344	227	21	0	639	201	221	140	8988	3264	13050	2019	7147	996
OTU_15	918	0	5733	0	239	0	921	0	18	0	215	17	53	0	169	4705	8018	2335	1828	654	406	0	0	0	0	0	0	385	117	0	341	4276	3769	2789	4559	354	1445	5022	680	2217	524	0	320	0	1513	0	163	0	10889	1478	2997	559	2950	88	8720	2932	287	29	240	112	490	127	431	0	92	0	0	0	187	0	742	0	1719	41	3966	48	6820	1346	12667	11360	10278	737	358	232	268	0	8979	587	3804	1239	113	91	3005	0	2477	1610	3695	34	2848	163	1305	0	1940	207	3711	66	1031	0	504	0	144	94	932	1172	575	337	2003	1228	268	19	478	614	96	53	2010	1674	52	0	2484	736
OTU_17	0	0	0	0	48	35	1012	18281	1828	1346	0	42	91	83	0	0	0	0	0	0	0	0	0	4087	0	0	16784	394	541	0	0	0	0	0	0	0	0	0	0	0	0	1766	700	22890	434	0	2247	18557	52	2639	0	141	0	175	0	0	0	0	0	88	0	0	0	132	410	1019	2854	8428	605	4151	950	63503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	302	13	146179	28910	122	128	58	95	0	59	9	0	0	0	87	8	0	0	0	0	110	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_18	59883	8145	0	58	0	0	81	0	226	0	0	0	0	0	1277	129	4053	1756	2277	1220	8053	5399	833	0	0	0	0	0	684	732	646	1141	486	1854	681	213	670	4395	9182	0	0	0	0	0	0	0	0	0	0	0	0	143	2117	530	200	21	1584	295	3919	679	1612	1529	15633	31973	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
