ASV	BL.20130417	BL.20130507	BL.20130604	BL.20130709	BL.20130801	BL.20130917	BL.20131015	BL.20140114	BL.20140211	BL.20140310	BL.20141007	BL.20141111	BL.20150113	BL.20150210	BL.20150916	BL.20151006	BL.20151110	BL.20151215	BL.20160119	BL.20160210	BL.20160308	BL.20160405	BL.20160504
ASV_1_16S_022.3	106	40	2413	2798	3541	3547	4951	5540	731	2502	14248	4339	275	266	10592	5192	2117	876	1556	185	141	968	7366
ASV_2_16S_022.3	4202	536	128	20	0	0	30	2952	1440	8150	89	109	121	356	368	183	84	178	455	375	1319	24170	11561
ASV_3_16S_022.3	823	282	1131	751	908	649	536	674	2354	1027	308	2195	1194	3455	1795	1357	452	2030	2135	1340	2025	1241	4523
ASV_4_16S_022.3	0	0	0	84	776	494	624	6020	961	12081	1034	5861	1343	2232	271	4889	382	2246	779	1695	900	553	693
ASV_6_16S_022.3	1484	452	498	127	34	36	71	1123	765	4839	131	37	34	123	511	191	57	104	255	214	1081	9375	10191
ASV_7_16S_022.3	621	239	569	348	429	424	214	230	741	400	132	923	491	1252	757	557	165	596	716	448	714	389	1601
ASV_8_16S_022.3	448	440	1315	353	578	628	268	490	1465	498	63	1082	745	2101	711	576	222	1230	1292	944	1150	555	3375
ASV_9_16S_022.3	29	15	0	0	0	228	74	3555	3212	1861	56	620	2696	5723	283	285	655	3197	5492	6354	5025	2808	608
ASV_10_16S_022.3	93	184	294	165	539	804	233	341	1003	319	200	1610	1069	2023	1141	796	336	1198	1290	693	826	216	1075
ASV_11_16S_022.3	0	0	0	0	0	0	0	606	791	1092	0	159	500	1378	24	32	380	406	491	333	939	818	0
ASV_13_16S_022.3	0	0	0	77	57	143	319	439	400	400	303	1641	206	429	865	851	415	443	487	261	301	132	65
ASV_14_16S_022.3	0	0	9	38	64	84	367	185	106	173	509	1685	71	110	786	1092	439	216	183	55	70	71	79
ASV_15_16S_022.3	60	41	0	0	0	0	7	175	376	369	0	29	169	484	9	9	17	164	265	399	715	448	312
ASV_16_16S_022.3	33	38	0	210	10	74	29	15	411	748	641	213	71	74	1443	293	52	34	423	5759	2473	3569	522
ASV_17_16S_022.3	423	371	628	699	367	197	462	119	67	326	761	953	80	65	1204	776	158	153	332	271	163	795	3181
ASV_18_16S_022.3	0	351	0	49	0	15	28	328	4053	803	1243	757	347	616	1867	952	78	90	504	2630	3290	2318	147
ASV_19_16S_022.3	0	0	0	0	0	1125	356	353	144	124	91	1362	615	472	106	115	347	1135	782	420	226	37	27
ASV_20_16S_022.3	53	17	878	994	746	270	702	1708	265	1049	2534	1218	48	72	1908	1126	430	197	460	43	52	323	1407
ASV_21_16S_022.3	855	226	206	118	123	469	57	291	1479	747	40	592	771	2840	222	187	90	692	1092	1105	2037	1337	2654
ASV_23_16S_022.3	0	0	0	0	0	29	80	38	75	32	60	644	93	135	106	169	234	251	204	31	39	0	28
ASV_25_16S_022.3	0	0	405	538	489	297	526	11	12	74	784	2630	45	0	1991	1696	916	166	67	32	46	23	1672
ASV_26_16S_022.3	5	0	169	191	94	70	228	64	33	52	200	60	0	0	146	87	35	29	38	0	0	32	72
ASV_27_16S_022.3	0	0	0	0	40	98	300	2989	518	1056	4084	1694	146	220	1229	800	381	329	519	93	123	372	301
ASV_30_16S_022.3	50	39	54	27	0	0	53	692	827	874	0	198	336	1392	130	253	280	522	1463	960	2844	3351	1026
ASV_31_16S_022.3	0	0	0	0	0	0	0	5	31	12	7	96	17	0	0	0	0	21	0	0	0	13	25
ASV_32_16S_022.3	46	7	14	0	0	0	0	195	1558	301	0	86	389	2371	8	30	87	423	982	793	1443	421	138
ASV_33_16S_022.3	39	99	51	24	0	0	0	154	2025	865	49	114	376	1596	215	165	61	63	574	2430	4305	1927	411
ASV_34_16S_022.3	0	0	83	941	188	77	628	9	0	54	567	1891	20	16	1208	717	146	39	41	0	0	3	1215
ASV_35_16S_022.3	13	0	88	190	220	137	845	495	66	289	2122	527	0	0	1054	649	247	100	107	0	0	106	520
ASV_36_16S_022.3	0	0	0	34	44	0	72	239	316	309	123	425	155	552	416	486	282	297	577	296	905	957	592
ASV_37_16S_022.3	31	0	280	179	103	44	116	1641	171	600	450	195	51	39	326	264	242	113	239	102	78	524	1385
ASV_40_16S_022.3	0	28	141	491	881	142	125	174	32	123	41	208	39	0	15	42	0	33	17	66	15	165	54
ASV_41_16S_022.3	43	16	3	0	0	0	0	575	862	746	11	294	554	1534	9	33	607	1604	1792	506	935	501	27
ASV_42_16S_022.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2408	0	216	17	37
ASV_44_16S_022.3	188	35	28	0	6	13	19	364	451	710	746	100	60	121	294	355	656	464	476	387	1115	4850	209
ASV_45_16S_022.3	21	14	38	25	0	71	129	364	542	201	133	548	251	735	246	276	321	629	568	237	571	551	402
ASV_47_16S_022.3	32	17	0	0	0	7	0	86	1612	603	0	43	545	3643	0	14	19	135	1162	2130	2426	700	31
ASV_49_16S_022.3	0	0	0	369	151	153	97	0	0	0	419	132	38	0	595	119	0	0	0	0	0	0	0
ASV_50_16S_022.3	158	691	0	0	0	10	0	101	2297	609	0	0	84	228	0	0	0	32	294	2298	1606	1861	184
ASV_51_16S_022.3	96	25	6	0	0	0	61	598	350	561	818	695	40	158	193	387	464	288	341	99	337	271	362
ASV_53_16S_022.3	0	0	0	0	0	0	0	25	43	25	0	226	101	140	22	26	22	180	103	19	26	0	0
ASV_54_16S_022.3	267	246	37	100	0	0	0	83	572	931	64	251	53	55	1138	315	24	32	76	312	176	670	528
ASV_57_16S_022.3	42	7	0	0	0	0	0	499	1576	307	0	32	739	4022	0	6	18	437	607	153	979	347	23
ASV_58_16S_022.3	5	15	120	88	168	63	109	407	135	3049	165	77	17	24	96	19	28	100	65	72	71	48	44
ASV_59_16S_022.3	0	23	60	139	38	99	61	20	209	59	493	419	36	38	2011	729	62	28	156	873	329	178	397
ASV_60_16S_022.3	0	0	79	184	155	80	351	15	0	37	379	687	22	18	1014	779	66	36	69	12	0	0	1898
ASV_61_16S_022.3	0	0	0	0	0	0	0	0	0	719	0	0	0	0	0	0	0	0	46	1005	1425	2891	307
ASV_63_16S_022.3	13	14	303	126	33	0	14	0	9	80	183	74	5	0	173	146	77	10	33	0	12	44	2194
ASV_64_16S_022.3	536	166	221	19	92	127	134	18	88	178	129	655	25	99	320	265	468	253	537	499	309	300	301
ASV_65_16S_022.3	15	19	0	0	0	86	0	135	375	160	0	103	230	902	42	97	135	303	283	200	511	352	132
ASV_66_16S_022.3	90	0	0	0	0	0	0	669	219	1057	0	0	0	49	0	0	0	31	99	112	323	1737	325
ASV_67_16S_022.3	0	0	0	132	105	206	214	19	21	25	106	422	116	275	178	107	76	43	32	10	14	0	20
ASV_68_16S_022.3	0	0	76	0	104	86	0	98	427	126	0	245	304	656	144	157	0	360	535	405	441	135	465
ASV_72_16S_022.3	0	0	36	225	144	206	274	25	37	45	149	221	50	76	329	197	16	68	49	0	0	24	45
ASV_74_16S_022.3	0	0	0	0	86	41	496	10	0	24	1195	2736	0	8	827	1292	334	14	17	0	0	0	56
ASV_75_16S_022.3	18	0	0	0	0	19	60	1195	656	820	33	388	359	1372	171	241	71	401	644	357	795	272	64
ASV_78_16S_022.3	15	0	0	0	18	127	27	532	645	420	116	334	183	380	774	529	379	531	1447	270	279	221	425
ASV_80_16S_022.3	0	0	0	0	0	8	0	134	70	144	21	138	106	162	11	6	0	32	78	36	67	58	64
ASV_81_16S_022.3	24	8	6	0	0	0	8	161	733	284	0	75	192	1671	79	76	95	271	924	625	1693	736	339
ASV_83_16S_022.3	0	0	0	0	20	81	398	431	290	157	387	1146	69	201	490	545	547	644	488	85	205	237	175
ASV_84_16S_022.3	0	0	0	0	0	0	3	53	0	935	380	103	63	403	49	19	94	96	103	429	21	54	31
ASV_85_16S_022.3	0	0	16	0	31	98	21	80	14	132	62	878	145	112	120	0	0	33	76	231	186	51	57
ASV_88_16S_022.3	0	0	0	0	0	82	41	0	0	0	22	33	0	0	27	21	0	0	0	0	0	0	0
ASV_89_16S_022.3	0	0	115	136	44	63	157	248	99	164	328	516	88	97	478	423	183	157	191	42	62	125	614
ASV_91_16S_022.3	0	0	0	0	0	0	0	0	0	0	117	297	20	8	289	98	33	0	24	0	0	0	0
ASV_92_16S_022.3	0	0	0	0	0	0	0	816	493	551	9	115	341	1532	36	59	32	237	546	470	1019	470	44
ASV_93_16S_022.3	74	65	63	0	0	0	0	349	645	218	0	94	168	498	89	122	71	254	383	301	837	1185	280
ASV_94_16S_022.3	0	0	0	0	0	0	0	99	1218	128	0	0	136	3758	0	5	0	29	134	181	379	442	0
ASV_95_16S_022.3	19	0	0	30	8	0	0	53	265	136	13	37	176	409	64	25	13	62	67	66	35	21	41
ASV_97_16S_022.3	0	0	0	101	582	230	122	0	0	0	182	352	0	0	728	311	102	150	56	0	0	0	78
ASV_98_16S_022.3	0	0	0	0	0	0	0	102	57	18	0	47	31	48	0	9	35	66	147	0	15	0	0
ASV_99_16S_022.3	6	0	0	0	0	0	0	78	251	96	0	58	150	633	0	14	21	146	166	68	159	66	6
ASV_101_16S_022.3	0	0	0	0	0	132	55	0	0	0	46	40	0	0	297	0	0	0	0	0	0	0	0
ASV_102_16S_022.3	0	0	0	254	89	52	313	0	0	0	253	892	0	0	462	245	0	0	0	0	0	0	551
ASV_103_16S_022.3	0	0	0	0	0	0	0	80	184	108	0	175	153	407	0	0	0	160	159	115	168	96	139
ASV_104_16S_022.3	85	42	102	0	33	68	46	61	199	78	40	143	167	459	75	70	72	211	229	146	207	113	271
ASV_105_16S_022.3	64	95	120	51	108	49	50	47	174	161	13	74	115	224	112	90	68	132	171	134	175	90	1109
ASV_106_16S_022.3	0	80	0	150	69	416	186	24	59	31	461	484	9	28	977	695	166	122	57	80	41	32	61
