ASV	BL.20130417	BL.20130507	BL.20130604	BL.20130709	BL.20130801	BL.20130917	BL.20131015	BL.20140114	BL.20140211	BL.20140310	BL.20141007	BL.20141111	BL.20150113	BL.20150210	BL.20150916	BL.20151006	BL.20151110	BL.20151215	BL.20160119	BL.20160210	BL.20160308	BL.20160405	BL.20160504	abundancesum_big
OTU_3_18S	24	651	13633	5787	4405	1305	1456	1813	957	1021	4438	5341	1689	1321	9222	1509	4811	2987	5100	1347	88362	60144	18248	235571
OTU_10_18S	502	19	0	0	0	0	0	13012	17786	13121	203	8967	23172	41052	21	127	1628	4415	17581	3106	31	0	0	144743
OTU_11_18S	0	17	11	4462	568	6	30	0	0	0	15	65	0	0	117	0	0	0	0	0	359	359	2233	8242
OTU_12_18S	0	0	13	8640	172	0	0	0	0	0	290	0	0	0	240	0	0	25	57	380	612	10398	2177	23004
OTU_17_18S	0	0	35	18281	1346	42	83	0	0	0	0	0	0	0	175	0	0	88	0	132	1019	8428	4151	33780
OTU_18_18S	8145	58	0	0	0	0	0	1756	1220	5399	646	486	670	9182	530	21	295	679	1529	31973	0	0	0	62589
OTU_16_18S	0	0	0	0	0	0	0	84	0	0	0	1421	0	0	0	14	46	193	0	0	0	0	0	1758
OTU_29_18S	25	0	0	0	0	0	0	1782	1429	408	132	1438	479	0	0	172	291	226	541	19	15	0	0	6957
OTU_30_18S	0	0	0	0	0	0	0	65	181	0	0	0	0	0	1355	56	0	0	0	0	0	0	38	1695
OTU_32_18S	0	0	0	0	0	0	7	0	0	131	209	80	34	0	0	0	0	26	0	0	0	0	0	487
OTU_34_18S	70	0	0	0	0	0	0	15	0	0	0	77	95	647	77	20	39	98	805	30	0	0	0	1973
OTU_40_18S	0	0	0	161	235	0	112	616	72	0	0	67	118	0	0	179	738	233	0	0	0	6373	72400	81304
OTU_38_18S	0	0	0	0	0	0	0	1977	1873	0	1367	4395	7292	0	103	2831	4635	1663	212	0	0	0	0	26348
OTU_44_18S	0	0	0	0	0	0	0	0	0	0	0	425	0	131	92	240	0	0	0	0	0	0	0	888
OTU_50_18S	0	0	0	0	0	0	0	2828	7194	705	0	3369	3035	671	76	800	514	2797	998	834	38	0	0	23859
OTU_48_18S	83	47	0	0	0	0	0	2298	932	1537	1972	796	470	3801	8737	1257	2969	1543	2537	393	1624	592	0	31588
OTU_62_18S	0	0	0	0	0	0	0	46417	0	0	1213	0	204	0	2319	85	805	0	148	0	0	0	0	51191
OTU_68_18S	0	115	0	1282	0	0	0	0	0	0	0	0	0	0	355	0	0	0	0	131	3715	3972	750	10320
OTU_71_18S	0	0	0	0	0	0	0	714	249	410	62	351	637	0	0	500	553	1091	520	494	0	0	0	5581
OTU_72_18S	0	39	60	534	0	126	179	138	0	269	0	0	120	0	2461	364	452	379	200	887	3424	1024	0	10656
OTU_75_18S	0	0	0	0	0	4089	1833	266	0	213	1576	30	12	3	4405	81	80	17	7	0	0	0	0	12612
OTU_78_18S	0	0	0	0	0	0	0	355	2466	1041	187	355	835	0	0	224	436	817	789	526	0	0	0	8031
OTU_82_18S	0	0	0	0	0	0	0	132	49	413	0	1685	611	0	0	120	349	787	326	0	0	0	0	4472
OTU_83_18S	0	0	31	0	690	755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8610	10086
OTU_81_18S	0	117	39	685	43	0	153	583	292	716	1094	445	0	1185	5858	183	733	442	1981	143	231	3919	175	19017
OTU_86_18S	0	0	0	0	0	0	0	65	996	91	0	0	94	0	0	0	0	0	0	0	0	0	0	1246
OTU_89_18S	0	257	834	0	1429	290	191	448	0	610	711	457	135	0	5433	316	1423	318	212	378	0	0	2482	15924
OTU_103_18S	0	0	0	0	27	9	70	0	0	0	26	0	0	0	206	0	0	0	0	0	0	60	749	1147
OTU_102_18S	0	0	0	0	0	0	0	0	25	0	0	0	6	31446	0	0	0	0	0	425	0	0	0	31902
OTU_101_18S	54	0	0	0	0	0	0	602	840	397	0	1677	703	330	0	0	215	188	946	0	0	0	0	5952
OTU_105_18S	0	0	0	0	0	0	0	230	80	0	173	77	421	106	0	60	105	213	606	251	0	0	0	2322
OTU_109_18S	0	0	0	0	0	4	0	0	0	0	645	472	341	0	41	0	591	345	208	0	0	28	56	2731
OTU_106_18S	0	0	0	0	0	0	0	740	899	75	1439	891	720	0	361	1167	1600	962	197	0	0	0	0	9051
OTU_118_18S	0	0	0	0	0	0	0	0	0	0	283	116	0	0	267	74	115	0	0	0	0	0	194	1049
OTU_119_18S	105	0	0	0	0	0	0	149	67	281	98	0	71	0	0	79	111	246	53	3694	51	22	15	5042
OTU_116_18S	0	0	229	0	0	71	161	371	390	0	0	1271	941	0	4330	744	1063	1024	359	0	0	0	0	10954
OTU_125_18S	0	0	104	0	0	39	92	0	0	360	446	5	1	0	0	0	928	198	0	0	0	0	9411	11584
OTU_131_18S	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	96	10	20	141
OTU_136_18S	0	0	0	0	0	0	0	64	347	0	0	66	257	0	0	824	200	433	122	185	36	0	0	2534
OTU_138_18S	63	0	0	0	0	0	0	0	0	196	407	0	69	0	0	51	308	90	0	0	0	0	0	1184
OTU_129_18S	0	0	0	6	0	12	25	873	644	158	380	1036	1191	284	0	636	545	974	740	144	41	46	0	7735
OTU_142_18S	0	0	0	0	0	0	0	414	0	315	2367	1686	158	63	105	0	0	0	43	0	0	0	0	5151
OTU_137_18S	0	0	0	0	0	60	0	389	462	102	632	517	1005	139	0	471	539	401	378	131	0	0	169	5395
OTU_128_18S	0	0	0	0	0	0	0	0	308	420	0	0	422	0	0	132	45	844	1817	324	12	0	0	4324
OTU_146_18S	0	0	0	0	0	0	0	74	241	0	0	0	0	0	0	42	9	31	29	0	0	0	0	426
OTU_141_18S	0	0	0	0	0	0	23	126	0	0	536	156	354	0	171	701	1542	140	84	0	0	0	0	3833
OTU_155_18S	0	0	0	0	0	0	0	0	0	0	5	0	0	0	63	23	0	0	0	0	0	36	4	131
OTU_152_18S	0	86	0	10	0	339	19	18	327	0	94	165	0	375	24	814	354	1307	871	451	107	193	0	5554
OTU_151_18S	0	0	0	0	0	0	0	325	344	0	650	176	208	0	68	393	560	273	159	16	0	18	0	3190
OTU_167_18S	0	0	0	0	0	32	0	0	0	0	152	274	0	0	0	28	0	0	0	0	95	25	7	613
OTU_166_18S	0	186	28	0	0	0	0	269	113	145	223	145	159	0	416	171	332	408	185	570	124	0	0	3474
OTU_162_18S	0	37	0	0	0	98	160	394	341	357	1555	260	285	0	1644	314	663	453	332	108	420	69	162	7652
OTU_183_18S	0	0	0	0	0	0	0	0	355	747	161	0	0	229	0	0	102	72	61	220	39	25	0	2011
OTU_189_18S	0	0	70	200	269	99	69	0	0	0	12	0	0	0	0	0	0	0	0	0	99	2180	4906	7904
OTU_186_18S	100	62	15	0	40	0	92	183	151	1841	352	231	380	22	478	239	220	255	167	0	333	189	65	5415
OTU_191_18S	0	0	0	0	0	0	0	0	0	0	0	87	80	0	0	328	94	124	0	0	0	0	0	713
OTU_195_18S	0	0	0	0	0	4	0	262	64	0	166	514	270	0	30	483	318	672	143	0	0	0	8	2934
OTU_197_18S	0	0	0	0	0	0	0	220	43	0	0	40	49	109	0	0	51	0	108	0	0	0	0	620
OTU_198_18S	0	0	0	0	0	164	110	0	0	0	0	0	0	0	333	0	423	0	408	0	0	0	0	1438
OTU_196_18S	0	0	0	0	0	0	0	0	0	0	2982	379	0	0	3380	134	318	98	0	0	0	10096	0	17387
OTU_174_18S	164	0	0	0	0	0	0	1953	142	1898	115	828	395	912	1064	208	1487	431	518	99	0	0	0	10214
OTU_204_18S	0	109	17	0	28	1569	616	0	0	0	209	202	45	0	1375	50	32	31	19	0	0	0	840	5142
OTU_217_18S	0	0	0	0	0	0	17	150	0	739	121	48	0	0	16	240	141	488	41	156	0	0	0	2157
OTU_212_18S	14	15	0	0	0	9	0	0	0	0	161	0	0	80	190	0	196	2645	425	123	58	142	48	4106
OTU_205_18S	0	0	0	0	0	0	0	27	0	0	64	504	673	0	41	28	1376	1496	144	0	0	0	0	4353
OTU_231_18S	0	0	0	0	0	0	0	0	0	0	202	0	59	35	729	105	101	320	0	0	0	0	0	1551
OTU_232_18S	0	0	0	0	0	0	0	0	0	0	1106	42	29	302	0	0	38	29	0	0	0	0	0	1546
OTU_235_18S	0	0	0	0	0	0	18	78	0	0	443	119	0	0	1025	26	101	0	0	0	0	0	0	1810
OTU_236_18S	0	0	0	0	0	0	0	0	0	144	89	497	238	0	0	205	174	139	0	0	0	0	0	1486
OTU_213_18S	26	0	0	0	0	0	0	121	420	276	0	346	497	401	0	663	1715	3182	933	360	0	0	0	8940
OTU_240_18S	0	0	0	1629	109	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	128	5478	2187	9637
