ASV	EA.20130423	EA.20130604	EA.20130625	EA.20131127	EA.20131230	EA.20140415	EA.20140514	EA.20140930	EA.20141029	EA.20150227	EA.20150328	EA.20150516	EA.20150627	EA.20150801	EA.20150829	EA.20151006	EA.20151208	EA.20160225	EA.20160322	EA.20160502	EA.20160611	EA.20160822
OTU_3_18S_022.3	1063	997	38	60	221	1025	0	217	741	314	218	1090	430	111	830	970	735	266	1917	0	0	241
OTU_4_18S_022.3	530	5404	350	297	101485	16243	247	5752	4311	2360	1261	595	1919	9022	4176	4294	13452	1717	164	21488	4247	17109
OTU_7_18S_022.3	130	746	378	178	40	815	312	67	363	0	168	64	65	107	91	30	0	45	0	174	0	190
OTU_9_18S_022.3	26708	10543	8967	62778	6799	14372	2875	3154	13147	14269	3604	5444	1042	4190	3248	3244	2755	1439	1564	2938	112	7416
OTU_10_18S_022.3	0	14	76	1575	37	286	97	0	0	0	483	397	84	632	1053	80	48	65	84	145	81	0
OTU_12_18S_022.3	0	0	0	0	0	1176	1883	0	0	184	0	2955	56	0	0	0	9723	3764	4063	0	0	0
OTU_14_18S_022.3	441	15232	36549	972	92	3663	23588	494	325	0	1954	222	7963	1830	825	344	21	639	221	8988	13050	7147
OTU_15_18S_022.3	1719	3966	6820	11360	737	8979	3804	2477	3695	1940	3711	504	144	932	575	2003	268	478	96	2010	52	2484
OTU_19_18S_022.3	302	146179	122	95	59	87	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0
OTU_16_18S_022.3	0	406	0	552	16	133	0	0	2477	762	30	945	13	0	7155	4354	2298	0	4409	0	0	545
OTU_21_18S_022.3	119	228	22	144	31	89	117	0	262	433	2899	59	1026	135	79	228	0	2467	3974	1215	0	88
OTU_22_18S_022.3	131	3818	25340	1149	56	4753	24710	547	161	0	1845	241	5097	2251	1175	408	28	840	274	6507	18207	5770
OTU_23_18S_022.3	2800	2840	12104	7830	168	19000	13926	2304	1512	2157	8427	1746	1613	2503	1120	1333	94	6426	1058	4468	52	3253
OTU_24_18S_022.3	1202	408	839	1679	109	152	0	1682	3237	1423	1505	182	95	1291	1030	566	45	21	18	114	0	1802
OTU_28_18S_022.3	2486	795	4653	1468	69	1980	1330	1248	1389	331	595	254	634	2596	624	864	31	357	242	967	1919	1621
OTU_29_18S_022.3	8090	1202	11654	6725	588	4404	3543	897	1432	88	673	542	1144	5784	1978	1492	87	456	401	1345	998	3016
OTU_30_18S_022.3	9	123	0	13242	918	24517	1681	65	0	984	274	508	13	0	0	4278	565	0	0	0	0	318
OTU_32_18S_022.3	6150	1530	824	39800	2791	2294	0	340	1945	766	585	608	239	0	57	516	423	252	56	0	0	0
OTU_33_18S_022.3	11836	1538	4876	22722	618	2329	0	20	634	633	444	442	151	233	726	1449	2509	90	76	291	22	325
OTU_34_18S_022.3	630	392	4508	2105	340	974	854	798	1653	278	449	945	1542	4728	1389	944	43	690	449	3134	1511	662
OTU_36_18S_022.3	146	1571	2908	216	61	1310	5056	53	106	29	643	600	1502	261	52	112	27	449	392	4075	1497	130
OTU_37_18S_022.3	317	970	19	1924	622	1048	0	0	352	365	171	514	0	17	0	36	525	0	30	52	645	44
OTU_39_18S_022.3	5296	3433	316	1765	684	6032	359	418	457	210	349	458	106	82	314	631	1719	441	349	226	1029	107
OTU_38_18S_022.3	67	215	45	112	52	379	0	0	72	358	0	1743	43	0	0	0	591	0	553	0	150	0
OTU_44_18S_022.3	24775	1466	21769	3244	654	8309	0	19	89	470	2064	0	64	29	6	429	411	485	0	0	0	0
OTU_46_18S_022.3	5244	7701	3604	11083	556	4229	155	1199	502	888	337	168	146	161	379	647	1794	355	0	254	255	235
OTU_48_18S_022.3	0	2678	4626	0	0	0	0	0	0	0	0	0	0	567	305	0	0	0	0	0	0	0
OTU_55_18S_022.3	17281	3289	7225	3857	143	12061	320	65	286	51	403	77	90	174	60	64	0	64	86	169	52	73
OTU_59_18S_022.3	3164	593	154	42311	1279	288	0	30	105	415	75	252	113	0	20	194	152	69	125	0	4	0
OTU_61_18S_022.3	2438	3724	2017	1895	59	4855	0	344	378	277	236	132	324	275	86	306	323	0	33	612	86	0
OTU_60_18S_022.3	155	34270	218	980	0	34	0	0	222	154	0	21	0	0	0	0	0	0	0	0	0	0
OTU_58_18S_022.3	19	276	609	205	0	6	0	42	26	0	0	0	12	86	20	0	0	12	0	0	45	26
OTU_67_18S_022.3	1927	1763	239	10532	3120	6572	5377	0	28	142	114	847	105	26	28	0	0	35	0	51	5201	0
OTU_70_18S_022.3	37217	7226	558	311	126	389	0	0	0	189	0	100	0	214	0	0	0	0	53	71	0	0
OTU_71_18S_022.3	1847	366	776	642	96	2167	708	510	115	257	242	235	251	0	1167	62	903	190	0	0	471	264
OTU_72_18S_022.3	0	534	0	0	42	551	67	0	0	0	0	23	127	0	28	0	0	0	19	0	230	0
OTU_74_18S_022.3	7633	994	1020	15709	67	1713	89	200	174	695	504	1032	36	0	106	142	238	959	424	100	1606	10
OTU_76_18S_022.3	61	289	2600	410	32	2006	581	815	1739	169	878	80	444	6313	606	531	23	1001	73	1034	132	1090
OTU_78_18S_022.3	2244	442	917	790	114	1931	190	720	413	107	58	135	181	101	116	1070	0	186	0	0	393	115
OTU_79_18S_022.3	403	244	2431	1540	154	364	148	663	512	186	366	956	1719	3394	687	196	0	305	243	3248	1916	296
OTU_82_18S_022.3	5212	95	86	2076	638	981	355	483	661	861	114	33	167	474	417	317	215	678	228	126	179	417
OTU_84_18S_022.3	177	755	0	2424	327	132	0	0	0	163	0	266	0	0	0	0	0	404	358	0	0	0
OTU_85_18S_022.3	117	277	71	559	352	547	0	237	386	451	179	138	79	0	99	181	117	57	71	93	682	98
OTU_86_18S_022.3	3698	7584	3158	3040	167	3573	309	291	533	943	694	222	106	36	73	541	702	321	100	79	748	96
OTU_90_18S_022.3	0	173	0	0	265	321	0	0	373	241	43	0	0	0	0	0	0	613	1105	0	60	0
OTU_91_18S_022.3	356	796	474	43	48	1081	0	262	453	224	282	246	82	244	132	93	87	670	32	79	79	71
OTU_92_18S_022.3	404	186	184	2399	74	198	154	34	0	222	0	112	155	120	0	61	87	26	0	49	33	38
OTU_93_18S_022.3	1416	1649	1622	467	277	1645	1090	2282	949	524	177	224	822	321	361	547	701	1306	68	1487	1565	805
OTU_94_18S_022.3	73	0	49	195	17	0	0	485	532	0	142	420	815	594	853	267	43	435	236	502	0	116
OTU_98_18S_022.3	388	324	63	453	653	1125	37	330	318	1064	91	186	139	0	50	657	177	977	325	0	276	0
OTU_97_18S_022.3	1045	2827	188	2256	112	2816	107	194	173	237	724	202	52	0	32	575	205	271	36	91	55	45
OTU_100_18S_022.3	9425	1635	1149	823	136	2347	583	190	914	427	808	782	177	165	199	298	288	712	607	358	697	928
OTU_99_18S_022.3	0	0	68	1826	45	0	0	92	0	0	0	0	0	0	0	104	0	0	46	0	0	0
OTU_104_18S_022.3	4826	1250	207	1936	5758	4934	369	0	0	871	67	3405	302	55	0	24	721	55	183	150	153	0
OTU_107_18S_022.3	480	982	52	7937	658	9577	0	0	0	186	0	0	0	41	0	224	0	0	0	0	0	52
OTU_101_18S_022.3	0	0	2588	63	0	0	0	0	153	0	0	0	179	3564	234	0	0	0	0	722	210	483
OTU_105_18S_022.3	867	119	4523	470	36	1292	799	789	469	0	166	27	340	0	453	906	29	45	62	411	1334	695
OTU_96_18S_022.3	157	202	0	546	1647	75	0	0	0	1912	94	502	37	0	0	0	132	102	0	0	46	0
OTU_110_18S_022.3	0	82	22	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	56
OTU_109_18S_022.3	68	34	20	26	28	0	0	0	854	75	51	124	0	0	339	15	11	0	122	0	0	118
OTU_106_18S_022.3	10	18	46	159	789	0	0	70	0	55	0	0	15	0	0	26	0	0	0	0	0	0
OTU_113_18S_022.3	3558	1765	80	6276	7296	5720	224	0	0	488	136	0	9	0	9	46	395	24	0	52	0	0
OTU_111_18S_022.3	0	88	0	376	0	241	0	1282	387	0	417	298	0	0	84	1443	320	111	277	0	0	0
OTU_114_18S_022.3	3160	3593	1416	2139	200	464	768	202	619	269	368	580	546	248	110	87	43	745	255	542	128	813
OTU_117_18S_022.3	2182	277	123	9685	314	5702	0	0	0	424	197	239	0	0	0	40	209	79	0	0	62	0
OTU_118_18S_022.3	170	836	0	341	390	1280	0	137	0	131	0	0	337	0	0	330	0	883	710	0	85	0
OTU_119_18S_022.3	560	353	88	555	51	607	97	74	59	46	34	181	79	17	43	43	31	198	43	105	21	85
OTU_121_18S_022.3	2991	1344	1190	1642	126	3219	1593	44	983	767	218	617	130	81	292	319	502	502	24	414	522	1547
OTU_116_18S_022.3	0	0	0	42	0	0	0	0	108	0	0	0	0	0	0	385	0	69	0	0	134	0
OTU_123_18S_022.3	0	0	0	781	0	0	0	0	157	0	0	0	0	0	1453	0	0	0	0	0	0	271
OTU_124_18S_022.3	1712	873	284	1665	340	1072	0	0	743	48	0	223	134	0	89	0	1460	0	66	0	0	267
OTU_126_18S_022.3	41	0	137	41	0	131	0	0	52	0	0	48	57	294	85	7	0	0	17	153	0	9
OTU_127_18S_022.3	11	484	2465	4497	89	1625	253	503	289	0	0	54	64	172	82	61	13	147	66	326	83	97
OTU_130_18S_022.3	0	0	19	862	5	261	0	0	48	0	71	55	0	0	0	29	851	0	41	9	92	0
OTU_131_18S_022.3	0	0	0	65	781	0	0	0	98	517	0	0	0	0	0	0	0	0	0	0	0	0
OTU_132_18S_022.3	5111	174	550	3447	119	11751	33	0	0	0	115	927	0	0	0	0	312	0	0	0	0	0
OTU_133_18S_022.3	722	0	20	338	41	108	0	0	0	0	0	153	0	0	0	0	0	29	0	0	0	0
OTU_136_18S_022.3	405	1541	170	195	93	761	0	110	321	46	158	324	71	24	33	468	615	35	99	35	134	40
OTU_139_18S_022.3	11142	173	1446	506	680	1440	676	727	893	298	528	54	317	0	0	9	19	298	125	7	842	11
OTU_138_18S_022.3	22	2635	867	0	0	0	0	0	0	0	312	606	442	603	324	0	0	200	0	51	153	0
OTU_140_18S_022.3	0	17	0	179	33	0	0	264	163	114	0	95	855	43	0	166	40	137	40	96	0	0
OTU_129_18S_022.3	488	466	235	0	23	69	0	0	138	109	0	118	57	0	48	38	24	0	0	0	81	28
OTU_142_18S_022.3	887	24	360	16	696	223	0	0	36	2872	0	18	24	0	0	0	0	0	0	0	0	0
OTU_143_18S_022.3	2922	867	1362	3732	1329	1874	339	99	524	178	170	351	15	305	415	164	420	186	11	210	321	288
OTU_137_18S_022.3	409	611	138	396	100	447	0	0	0	0	0	0	0	0	0	237	267	0	0	0	142	122
OTU_144_18S_022.3	0	0	48	0	0	62	0	0	0	0	0	0	0	129	37	0	0	0	0	0	0	0
OTU_145_18S_022.3	2885	1812	1154	291	77	1549	340	110	464	630	366	636	279	492	127	265	241	67	146	398	223	484
OTU_146_18S_022.3	5519	277	158	7301	234	1426	93	57	116	369	88	163	24	95	108	33	60	70	0	39	357	127
OTU_147_18S_022.3	1240	289	1694	2287	118	7197	762	229	118	0	738	146	63	260	75	224	0	367	78	791	576	279
OTU_148_18S_022.3	0	0	149	85	0	212	191	57	0	0	0	0	1397	25	0	0	0	0	244	206	138	0
OTU_149_18S_022.3	29	9	16	126	115	0	0	1123	321	53	111	54	420	820	162	590	49	135	276	52	0	0
OTU_153_18S_022.3	0	0	0	0	8	0	104	75	22	0	0	13	0	15	0	0	7	0	0	15	0	0
OTU_141_18S_022.3	13	478	58	0	86	161	0	0	0	0	0	0	0	0	0	180	1229	0	121	0	0	0
OTU_154_18S_022.3	0	384	1941	7359	1686	2734	0	225	54	0	0	79	50	0	0	59	0	29	0	39	0	235
