ASV	EA.20130423	EA.20130604	EA.20130625	EA.20131127	EA.20131230	EA.20140415	EA.20140514	EA.20140930	EA.20141029	EA.20150227	EA.20150328	EA.20150516	EA.20150627	EA.20150801	EA.20150829	EA.20151006	EA.20151208	EA.20160225	EA.20160322	EA.20160502	EA.20160611	EA.20160822	abundancesum_small
OTU_4_18S	530	5404	350	297	101485	16243	247	5752	4311	2360	1261	595	1919	9022	4176	4294	13452	1717	164	21488	4247	17109	216423
OTU_7_18S	130	746	378	178	40	815	312	67	363	0	168	64	65	107	91	30	0	45	0	174	0	190	3963
OTU_9_18S	26708	10543	8967	62778	6799	14372	2875	3154	13147	14269	3604	5444	1042	4190	3248	3244	2755	1439	1564	2938	112	7416	200608
OTU_14_18S	441	15232	36549	972	92	3663	23588	494	325	0	1954	222	7963	1830	825	344	21	639	221	8988	13050	7147	124560
OTU_15_18S	1719	3966	6820	11360	737	8979	3804	2477	3695	1940	3711	504	144	932	575	2003	268	478	96	2010	52	2484	58754
OTU_19_18S	302	146179	122	95	59	87	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	146891
OTU_22_18S	131	3818	25340	1149	56	4753	24710	547	161	0	1845	241	5097	2251	1175	408	28	840	274	6507	18207	5770	103308
OTU_23_18S	2800	2840	12104	7830	168	19000	13926	2304	1512	2157	8427	1746	1613	2503	1120	1333	94	6426	1058	4468	52	3253	96734
OTU_24_18S	1202	408	839	1679	109	152	0	1682	3237	1423	1505	182	95	1291	1030	566	45	21	18	114	0	1802	17400
OTU_28_18S	2486	795	4653	1468	69	1980	1330	1248	1389	331	595	254	634	2596	624	864	31	357	242	967	1919	1621	26453
OTU_29_18S	8090	1202	11654	6725	588	4404	3543	897	1432	88	673	542	1144	5784	1978	1492	87	456	401	1345	998	3016	56539
OTU_30_18S	9	123	0	13242	918	24517	1681	65	0	984	274	508	13	0	0	4278	565	0	0	0	0	318	47495
OTU_32_18S	6150	1530	824	39800	2791	2294	0	340	1945	766	585	608	239	0	57	516	423	252	56	0	0	0	59176
OTU_33_18S	11836	1538	4876	22722	618	2329	0	20	634	633	444	442	151	233	726	1449	2509	90	76	291	22	325	51964
OTU_34_18S	630	392	4508	2105	340	974	854	798	1653	278	449	945	1542	4728	1389	944	43	690	449	3134	1511	662	29018
OTU_39_18S	5296	3433	316	1765	684	6032	359	418	457	210	349	458	106	82	314	631	1719	441	349	226	1029	107	24781
OTU_44_18S	24775	1466	21769	3244	654	8309	0	19	89	470	2064	0	64	29	6	429	411	485	0	0	0	0	64283
OTU_46_18S	5244	7701	3604	11083	556	4229	155	1199	502	888	337	168	146	161	379	647	1794	355	0	254	255	235	39892
OTU_48_18S	0	2678	4626	0	0	0	0	0	0	0	0	0	0	567	305	0	0	0	0	0	0	0	8176
OTU_55_18S	17281	3289	7225	3857	143	12061	320	65	286	51	403	77	90	174	60	64	0	64	86	169	52	73	45890
OTU_59_18S	3164	593	154	42311	1279	288	0	30	105	415	75	252	113	0	20	194	152	69	125	0	4	0	49343
