ASV	EA.20130423	EA.20130604	EA.20130625	EA.20131127	EA.20131230	EA.20140415	EA.20140514	EA.20140930	EA.20141029	EA.20150227	EA.20150328	EA.20150516	EA.20150627	EA.20150801	EA.20150829	EA.20151006	EA.20151208	EA.20160225	EA.20160322	EA.20160502	EA.20160611	EA.20160822	abundancesum_big
ASV_4_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	65	57	0	130	0	0	0	12	0	264
ASV_11_16S	67	539	447	36	608	531	266	47	210	1508	488	14	178	567	1668	1284	3841	231	333	572	243	1041	14719
ASV_17_16S	30	0	27	0	14	39	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	15	141
ASV_27_16S	0	46	18	13	23	16	18	0	39	38	20	50	45	168	163	21	21	0	0	108	73	121	1001
ASV_40_16S	0	0	0	8	12	64	0	0	20	0	0	0	36	21	44	0	75	0	0	0	21	0	301
ASV_46_16S	32	102	134	107	30	96	237	75	107	81	134	151	232	2443	1022	750	112	90	97	980	407	727	8146
ASV_91_16S	24	107	68	20	5	62	70	11	0	61	359	40	16	63	336	755	47	115	59	88	40	743	3089
ASV_96_16S	50	84	84	92	0	420	1218	0	19	71	0	48	175	0	52	158	202	130	233	57	221	94	3408
ASV_109_16S	0	17	20	0	36	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	104
ASV_112_16S	11	95	183	102	75	151	131	66	0	166	243	28	61	130	293	563	194	250	145	159	77	148	3271
ASV_113_16S	0	11	36	64	16	27	39	31	81	119	38	94	88	69	445	59	394	0	14	0	0	14	1639
ASV_133_16S	0	46	24	0	0	0	0	16	83	0	0	0	0	109	324	56	337	0	14	10	49	898	1966
ASV_195_16S	0	0	0	0	0	6	12	0	2833	0	1738	0	21	12	19	0	0	14	0	0	43	0	4698
ASV_200_16S	0	21	28	87	76	98	73	0	70	252	42	9	93	23	201	122	316	156	128	43	90	242	2170
ASV_205_16S	0	68	22	0	0	26	6	24	0	0	143	22	15	39	58	625	0	76	23	71	32	186	1436
ASV_216_16S	108	32	74	113	147	116	48	59	29	55	139	101	57	21	18	44	91	99	63	20	70	70	1574
ASV_229_16S	0	0	0	0	26	640	77	89	9	0	19	3	0	4	0	276	0	0	18	0	78	0	1239
ASV_235_16S	81	87	28	35	100	119	37	49	88	61	100	24	38	78	59	22	65	112	95	53	77	60	1468
ASV_248_16S	18	125	86	10	0	14	20	7	37	15	24	0	44	137	128	142	0	0	0	44	0	193	1044
ASV_274_16S	60	11	24	72	112	57	31	0	32	0	125	127	23	66	62	0	0	24	25	27	79	24	981
ASV_280_16S	44	0	6	18	67	172	24	111	0	6	0	0	0	0	0	277	17	48	17	0	31	14	852
ASV_333_16S	0	8	0	0	24	0	18	0	535	6	712	12	40	0	40	0	48	0	52	29	41	0	1565
ASV_341_16S	15	83	27	27	110	21	8	8	2	43	7	42	27	109	200	67	175	62	0	24	29	113	1199
ASV_345_16S	116	12	86	38	81	64	0	19	0	8	61	20	48	15	36	17	0	27	29	50	0	11	738
ASV_348_16S	61	30	0	94	42	0	0	0	53	43	0	46	0	0	32	0	0	76	0	24	31	27	559
ASV_359_16S	0	10	15	26	5	20	72	14	138	103	180	52	131	64	141	112	159	29	93	217	183	150	1914
ASV_365_16S	37	29	34	48	24	137	61	22	38	13	58	41	24	61	19	27	24	63	24	20	81	37	922
ASV_398_16S	0	34	61	4	0	0	21	5	29	0	0	12	159	166	160	0	0	0	42	192	257	227	1369
ASV_400_16S	123	21	19	55	41	60	14	34	22	11	52	35	47	22	57	23	15	12	28	11	35	0	737
ASV_405_16S	34	12	22	41	71	18	12	20	51	48	59	56	18	12	32	36	9	0	37	29	47	17	681
ASV_413_16S	0	0	0	0	0	58	13	0	19	19	13	45	0	0	0	9	15	0	0	0	0	0	191
ASV_417_16S	0	0	0	29	0	0	53	9	16	52	228	0	70	205	113	115	51	7	126	263	0	132	1469
ASV_431_16S	34	13	110	25	27	58	25	17	20	48	25	9	0	19	16	34	64	44	41	24	37	26	716
ASV_435_16S	0	29	0	0	0	0	81	0	0	50	0	35	0	91	118	0	51	41	0	115	366	58	1035
ASV_437_16S	18	0	29	18	0	31	0	0	24	0	16	25	0	27	0	23	27	24	8	0	23	0	293
ASV_448_16S	65	0	0	14	16	76	0	12	23	23	36	6	13	0	0	25	66	24	36	0	34	40	509
ASV_473_16S	64	13	36	21	43	89	15	24	15	22	24	17	11	12	25	57	11	20	16	26	28	39	628
ASV_483_16S	0	4	0	3	0	0	11	0	9	0	9	19	32	190	57	0	12	0	5	9	40	10	410
ASV_508_16S	3	6	0	114	0	8	56	0	0	59	0	0	0	6	4	134	0	0	51	63	11	7	522
ASV_515_16S	0	93	0	0	0	0	0	0	0	0	0	8	22	8	35	0	6	7	9	35	25	23	271
ASV_527_16S	39	4	8	4	7	15	24	0	0	63	18	8	15	37	78	20	240	0	0	40	22	46	688
ASV_532_16S	7	42	67	0	7	19	39	0	26	0	0	30	0	99	325	9	25	12	29	78	141	65	1020
ASV_536_16S	29	25	36	18	47	82	0	23	0	31	38	0	17	46	18	6	0	50	40	0	16	13	535
ASV_537_16S	13	22	51	45	54	47	23	0	9	18	62	43	6	9	19	11	18	17	46	17	0	0	530
ASV_544_16S	0	18	0	28	18	43	58	10	94	69	83	38	29	25	146	53	83	21	20	37	74	153	1100
ASV_573_16S	0	0	0	0	0	0	28	0	8	0	0	0	26	108	25	95	0	0	20	41	0	0	351
ASV_581_16S	0	39	30	0	0	0	0	0	22	8	0	0	70	135	103	0	0	6	33	65	0	0	511
ASV_600_16S	0	30	59	0	10	0	0	0	0	0	0	0	17	152	71	35	0	0	0	26	0	48	448
ASV_626_16S	0	0	0	0	0	0	28	0	0	0	21	0	52	55	24	47	50	14	0	23	41	71	426
ASV_628_16S	17	0	3	12	38	46	9	0	5	28	42	8	17	21	5	9	13	0	0	5	33	20	331
ASV_639_16S	18	56	51	0	0	43	19	0	0	3	0	0	118	92	30	8	14	0	0	155	55	75	737
ASV_649_16S	0	0	7	0	0	0	0	0	0	0	0	0	22	99	442	0	8	0	0	0	0	0	578
ASV_660_16S	19	40	27	0	8	91	0	0	2	335	38	0	0	5	0	0	6	35	0	0	0	17	623
ASV_669_16S	25	14	18	23	49	17	0	0	26	19	23	0	0	0	0	0	22	8	11	0	0	0	255
ASV_678_16S	0	0	0	19	0	0	14	2	0	0	0	0	0	241	67	0	14	0	0	0	0	0	357
ASV_680_16S	0	0	0	0	0	13	11	11	0	33	0	19	0	7	0	5	0	8	0	13	21	0	141
ASV_684_16S	22	13	18	27	0	22	3	19	45	19	0	30	5	33	0	14	15	20	0	8	25	18	356
ASV_695_16S	0	0	0	0	14	293	31	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	352
ASV_721_16S	0	32	0	0	0	0	47	0	0	0	0	0	51	135	183	0	0	0	0	81	96	71	696
ASV_753_16S	13	0	48	24	48	17	0	12	50	0	12	0	0	11	0	13	8	22	9	40	0	11	338
ASV_757_16S	0	19	69	24	31	31	0	0	33	0	13	15	0	21	0	0	0	0	0	0	45	12	313
ASV_760_16S	0	75	80	0	0	0	0	0	0	0	0	0	0	0	40	0	48	0	0	0	0	0	243
ASV_772_16S	29	0	22	22	0	21	19	0	27	15	0	17	0	17	14	31	28	17	13	0	43	0	335
ASV_780_16S	21	9	10	10	38	23	0	0	0	6	31	12	0	10	0	11	31	0	8	0	21	23	264
ASV_787_16S	47	0	0	0	20	0	0	55	0	0	4	28	0	0	17	0	43	0	30	20	0	0	264
ASV_794_16S	0	8	12	9	8	8	24	0	60	47	64	20	65	42	98	11	29	7	16	42	46	41	657
ASV_808_16S	0	0	16	0	0	0	0	0	0	0	0	0	0	20	26	26	0	0	0	0	0	22	110
ASV_812_16S	0	10	0	0	9	6	19	0	0	10	0	6	7	8	6	6	42	0	23	0	7	6	165
ASV_825_16S	0	0	23	0	0	0	0	0	0	0	0	0	27	52	54	72	25	0	0	0	0	94	347
ASV_828_16S	31	0	4	33	0	0	9	0	38	15	0	0	5	0	0	23	21	0	0	0	46	36	261
ASV_832_16S	6	28	23	30	0	0	0	5	5	11	22	31	0	5	3	24	5	13	36	15	26	15	303
ASV_835_16S	0	31	0	11	0	13	66	0	0	5	0	0	0	0	30	0	52	39	19	0	0	0	266
