V1	Target	association_score
ASV_2_16S_022_3	ENV_NH4	1
ASV_3_16S_022_3	ENV_NH4	1
ASV_4_16S_022_3	ENV_NH4	1
ASV_13_16S_022_3	ENV_NH4	1
ASV_1_16S_022_3	ENV_NH4	1
ASV_19_16S_022_3	ENV_NH4	1
ASV_26_16S_022_3	ENV_NH4	1
ASV_20_16S_022_3	ENV_NH4	1
ASV_44_16S_022_3	ENV_NH4	1
ASV_47_16S_022_3	ENV_NH4	1
ASV_34_16S_022_3	ENV_NH4	1
ASV_9_16S_022_3	ENV_NH4	1
ASV_30_16S_022_3	ENV_NH4	1
ASV_32_16S_022_3	ENV_NH4	1
ASV_27_16S_022_3	ENV_NH4	1
ASV_78_16S_022_3	ENV_NH4	1
ASV_14_16S_022_3	ENV_NH4	1
ASV_25_16S_022_3	ENV_NH4	1
ASV_88_16S_022_3	ENV_NH4	1
ASV_8_16S_022_3	ENV_NH4	1
ASV_57_16S_022_3	ENV_NH4	1
ASV_119_16S_022_3	ENV_NH4	1
ASV_99_16S_022_3	ENV_NH4	1
ASV_66_16S_022_3	ENV_NH4	1
ASV_68_16S_022_3	ENV_NH4	1
ASV_75_16S_022_3	ENV_NH4	1
ASV_10_16S_022_3	ENV_NH4	1
ASV_45_16S_022_3	ENV_NH4	1
ASV_23_16S_022_3	ENV_NH4	1
ASV_33_16S_022_3	ENV_NH4	1
ASV_54_16S_022_3	ENV_NH4	1
ASV_15_16S_022_3	ENV_NH4	1
ASV_93_16S_022_3	ENV_NH4	1
ASV_144_16S_022_3	ENV_NH4	1
ASV_11_16S_022_3	ENV_NH4	1
ASV_131_16S_022_3	ENV_NH4	1
ASV_17_16S_022_3	ENV_NH4	1
ASV_61_16S_022_3	ENV_NH4	1
ASV_50_16S_022_3	ENV_NH4	1
ASV_72_16S_022_3	ENV_NH4	1
ASV_65_16S_022_3	ENV_NH4	1
ASV_123_16S_022_3	ENV_NH4	1
ASV_122_16S_022_3	ENV_NH4	1
ASV_74_16S_022_3	ENV_NH4	1
ASV_148_16S_022_3	ENV_NH4	1
ASV_163_16S_022_3	ENV_NH4	1
ASV_58_16S_022_3	ENV_NH4	1
ASV_204_16S_022_3	ENV_NH4	1
ASV_59_16S_022_3	ENV_NH4	1
ASV_197_16S_022_3	ENV_NH4	1
ASV_81_16S_022_3	ENV_NH4	1
ASV_154_16S_022_3	ENV_NH4	1
ASV_160_16S_022_3	ENV_NH4	1
ASV_110_16S_022_3	ENV_NH4	1
ASV_128_16S_022_3	ENV_NH4	1
ASV_67_16S_022_3	ENV_NH4	1
ASV_35_16S_022_3	ENV_NH4	1
ASV_37_16S_022_3	ENV_NH4	1
ASV_237_16S_022_3	ENV_NH4	1
ASV_235_16S_022_3	ENV_NH4	1
ASV_157_16S_022_3	ENV_NH4	1
ASV_7_16S_022_3	ENV_NH4	1
ASV_83_16S_022_3	ENV_NH4	1
ASV_124_16S_022_3	ENV_NH4	1
ASV_170_16S_022_3	ENV_NH4	1
ASV_223_16S_022_3	ENV_NH4	1
ASV_179_16S_022_3	ENV_NH4	1
ASV_169_16S_022_3	ENV_NH4	1
ASV_106_16S_022_3	ENV_NH4	1
ASV_187_16S_022_3	ENV_NH4	1
ASV_121_16S_022_3	ENV_NH4	1
ASV_228_16S_022_3	ENV_NH4	1
ASV_276_16S_022_3	ENV_NH4	1
ASV_217_16S_022_3	ENV_NH4	1
ASV_6_16S_022_3	ENV_NH4	1
ASV_248_16S_022_3	ENV_NH4	1
ASV_206_16S_022_3	ENV_NH4	1
ASV_184_16S_022_3	ENV_NH4	1
ASV_162_16S_022_3	ENV_NH4	1
ASV_299_16S_022_3	ENV_NH4	1
ASV_97_16S_022_3	ENV_NH4	1
ASV_145_16S_022_3	ENV_NH4	1
ASV_189_16S_022_3	ENV_NH4	1
ASV_161_16S_022_3	ENV_NH4	1
ASV_89_16S_022_3	ENV_NH4	1
ASV_92_16S_022_3	ENV_NH4	1
ASV_109_16S_022_3	ENV_NH4	1
ASV_152_16S_022_3	ENV_NH4	1
ASV_130_16S_022_3	ENV_NH4	1
ASV_126_16S_022_3	ENV_NH4	1
ASV_149_16S_022_3	ENV_NH4	1
ASV_291_16S_022_3	ENV_NH4	1
ASV_262_16S_022_3	ENV_NH4	1
ASV_175_16S_022_3	ENV_NH4	1
ASV_216_16S_022_3	ENV_NH4	1
ASV_193_16S_022_3	ENV_NH4	1
ASV_233_16S_022_3	ENV_NH4	1
ASV_246_16S_022_3	ENV_NH4	1
ASV_277_16S_022_3	ENV_NH4	1
ASV_274_16S_022_3	ENV_NH4	1
ASV_345_16S_022_3	ENV_NH4	1
ASV_138_16S_022_3	ENV_NH4	1
ASV_267_16S_022_3	ENV_NH4	1
ASV_320_16S_022_3	ENV_NH4	1
ASV_260_16S_022_3	ENV_NH4	1
ASV_21_16S_022_3	ENV_NH4	1
ASV_386_16S_022_3	ENV_NH4	1
ASV_132_16S_022_3	ENV_NH4	1
ASV_311_16S_022_3	ENV_NH4	1
ASV_218_16S_022_3	ENV_NH4	1
ASV_185_16S_022_3	ENV_NH4	1
ASV_225_16S_022_3	ENV_NH4	1
ASV_312_16S_022_3	ENV_NH4	1
ASV_153_16S_022_3	ENV_NH4	1
ASV_226_16S_022_3	ENV_NH4	1
ASV_318_16S_022_3	ENV_NH4	1
ASV_388_16S_022_3	ENV_NH4	1
ASV_155_16S_022_3	ENV_NH4	1
ASV_282_16S_022_3	ENV_NH4	1
ASV_309_16S_022_3	ENV_NH4	1
ASV_136_16S_022_3	ENV_NH4	1
ASV_222_16S_022_3	ENV_NH4	1
ASV_424_16S_022_3	ENV_NH4	1
ASV_271_16S_022_3	ENV_NH4	1
ASV_431_16S_022_3	ENV_NH4	1
ASV_80_16S_022_3	ENV_NH4	1
ASV_434_16S_022_3	ENV_NH4	1
ASV_348_16S_022_3	ENV_NH4	1
ASV_212_16S_022_3	ENV_NH4	1
ASV_49_16S_022_3	ENV_NH4	1
ASV_389_16S_022_3	ENV_NH4	1
ASV_308_16S_022_3	ENV_NH4	1
ASV_301_16S_022_3	ENV_NH4	1
ASV_273_16S_022_3	ENV_NH4	1
ASV_41_16S_022_3	ENV_NH4	1
ASV_63_16S_022_3	ENV_NH4	1
ASV_182_16S_022_3	ENV_NH4	1
ASV_295_16S_022_3	ENV_NH4	1
ASV_453_16S_022_3	ENV_NH4	1
ASV_102_16S_022_3	ENV_NH4	1
ASV_258_16S_022_3	ENV_NH4	1
ASV_253_16S_022_3	ENV_NH4	1
ASV_390_16S_022_3	ENV_NH4	1
ASV_382_16S_022_3	ENV_NH4	1
ASV_478_16S_022_3	ENV_NH4	1
ASV_332_16S_022_3	ENV_NH4	1
ASV_494_16S_022_3	ENV_NH4	1
ASV_265_16S_022_3	ENV_NH4	1
ASV_412_16S_022_3	ENV_NH4	1
ASV_113_16S_022_3	ENV_NH4	1
ASV_463_16S_022_3	ENV_NH4	1
ASV_347_16S_022_3	ENV_NH4	1
ASV_477_16S_022_3	ENV_NH4	1
ASV_36_16S_022_3	ENV_NH4	1
ASV_215_16S_022_3	ENV_NH4	1
ASV_416_16S_022_3	ENV_NH4	1
ASV_327_16S_022_3	ENV_NH4	1
ASV_481_16S_022_3	ENV_NH4	1
ASV_365_16S_022_3	ENV_NH4	1
ASV_103_16S_022_3	ENV_NH4	1
ASV_531_16S_022_3	ENV_NH4	1
ASV_414_16S_022_3	ENV_NH4	1
ASV_317_16S_022_3	ENV_NH4	1
ASV_316_16S_022_3	ENV_NH4	1
ASV_428_16S_022_3	ENV_NH4	1
ASV_53_16S_022_3	ENV_NH4	1
ASV_490_16S_022_3	ENV_NH4	1
ASV_196_16S_022_3	ENV_NH4	1
ASV_227_16S_022_3	ENV_NH4	1
ASV_421_16S_022_3	ENV_NH4	1
ASV_137_16S_022_3	ENV_NH4	1
ASV_340_16S_022_3	ENV_NH4	1
ASV_333_16S_022_3	ENV_NH4	1
ASV_294_16S_022_3	ENV_NH4	1
ASV_207_16S_022_3	ENV_NH4	1
ASV_269_16S_022_3	ENV_NH4	1
ASV_495_16S_022_3	ENV_NH4	1
ASV_268_16S_022_3	ENV_NH4	1
ASV_129_16S_022_3	ENV_NH4	1
ASV_578_16S_022_3	ENV_NH4	1
ASV_556_16S_022_3	ENV_NH4	1
ASV_387_16S_022_3	ENV_NH4	1
ASV_304_16S_022_3	ENV_NH4	1
ASV_300_16S_022_3	ENV_NH4	1
ASV_552_16S_022_3	ENV_NH4	1
ASV_411_16S_022_3	ENV_NH4	1
ASV_455_16S_022_3	ENV_NH4	1
ASV_596_16S_022_3	ENV_NH4	1
ASV_234_16S_022_3	ENV_NH4	1
ASV_259_16S_022_3	ENV_NH4	1
ASV_643_16S_022_3	ENV_NH4	1
ASV_281_16S_022_3	ENV_NH4	1
ASV_361_16S_022_3	ENV_NH4	1
ASV_427_16S_022_3	ENV_NH4	1
ASV_517_16S_022_3	ENV_NH4	1
ASV_331_16S_022_3	ENV_NH4	1
ASV_370_16S_022_3	ENV_NH4	1
ASV_560_16S_022_3	ENV_NH4	1
ASV_647_16S_022_3	ENV_NH4	1
ASV_652_16S_022_3	ENV_NH4	1
ASV_284_16S_022_3	ENV_NH4	1
ASV_363_16S_022_3	ENV_NH4	1
ASV_426_16S_022_3	ENV_NH4	1
ASV_519_16S_022_3	ENV_NH4	1
ASV_396_16S_022_3	ENV_NH4	1
ASV_599_16S_022_3	ENV_NH4	1
ASV_540_16S_022_3	ENV_NH4	1
ASV_533_16S_022_3	ENV_NH4	1
ASV_506_16S_022_3	ENV_NH4	1
ASV_749_16S_022_3	ENV_NH4	1
ASV_383_16S_022_3	ENV_NH4	1
ASV_539_16S_022_3	ENV_NH4	1
ASV_610_16S_022_3	ENV_NH4	1
ASV_350_16S_022_3	ENV_NH4	1
ASV_588_16S_022_3	ENV_NH4	1
ASV_134_16S_022_3	ENV_NH4	1
ASV_744_16S_022_3	ENV_NH4	1
ASV_476_16S_022_3	ENV_NH4	1
ASV_310_16S_022_3	ENV_NH4	1
ASV_210_16S_022_3	ENV_NH4	1
ASV_199_16S_022_3	ENV_NH4	1
ASV_401_16S_022_3	ENV_NH4	1
ASV_392_16S_022_3	ENV_NH4	1
ASV_782_16S_022_3	ENV_NH4	1
ASV_462_16S_022_3	ENV_NH4	1
ASV_739_16S_022_3	ENV_NH4	1
ASV_139_16S_022_3	ENV_NH4	1
ASV_379_16S_022_3	ENV_NH4	1
ASV_644_16S_022_3	ENV_NH4	1
ASV_710_16S_022_3	ENV_NH4	1
ASV_751_16S_022_3	ENV_NH4	1
ASV_563_16S_022_3	ENV_NH4	1
ASV_406_16S_022_3	ENV_NH4	1
ASV_779_16S_022_3	ENV_NH4	1
ASV_704_16S_022_3	ENV_NH4	1
ASV_564_16S_022_3	ENV_NH4	1
ASV_722_16S_022_3	ENV_NH4	1
ASV_192_16S_022_3	ENV_NH4	1
