Source	Target	association_score
ASV_2_16S_022_3	ASV_6_16S_022_3	0.6092888712883
ASV_3_16S_022_3	ASV_7_16S_022_3	0.94186262846594
ASV_3_16S_022_3	ASV_8_16S_022_3	0.623721420764923
ASV_4_16S_022_3	ASV_13_16S_022_3	0.864403307437897
ASV_13_16S_022_3	ASV_14_16S_022_3	0.670509357094355
ASV_1_16S_022_3	ASV_20_16S_022_3	0.904800415039062
ASV_19_16S_022_3	ASV_23_16S_022_3	0.552891969680786
ASV_1_16S_022_3	ASV_34_16S_022_3	0.582216560840607
ASV_26_16S_022_3	ASV_35_16S_022_3	0.92380827665329
ASV_20_16S_022_3	ASV_47_16S_022_3	-0.531857123834532
ASV_44_16S_022_3	ASV_51_16S_022_3	0.767334100113716
ASV_47_16S_022_3	ASV_57_16S_022_3	0.712561625897653
ASV_34_16S_022_3	ASV_60_16S_022_3	0.77471649646759
ASV_9_16S_022_3	ASV_65_16S_022_3	0.683823861586373
ASV_34_16S_022_3	ASV_72_16S_022_3	0.62001109814453
ASV_30_16S_022_3	ASV_81_16S_022_3	0.891857623946993
ASV_32_16S_022_3	ASV_81_16S_022_3	0.65997352982908
ASV_27_16S_022_3	ASV_83_16S_022_3	0.923680484294891
ASV_78_16S_022_3	ASV_83_16S_022_3	0.732268466718171
ASV_14_16S_022_3	ASV_89_16S_022_3	0.521396746476525
ASV_25_16S_022_3	ASV_89_16S_022_3	0.526125609874725
ASV_32_16S_022_3	ASV_93_16S_022_3	0.784914103977978
ASV_88_16S_022_3	ASV_101_16S_022_3	0.640389978885651
ASV_8_16S_022_3	ASV_105_16S_022_3	0.662272691726685
ASV_57_16S_022_3	ASV_122_16S_022_3	-0.52477
ASV_119_16S_022_3	ASV_122_16S_022_3	0.592810332775116
ASV_57_16S_022_3	ASV_123_16S_022_3	0.608934562011144
ASV_99_16S_022_3	ASV_123_16S_022_3	0.932683520934783
ASV_66_16S_022_3	ASV_124_16S_022_3	0.536862907983249
ASV_19_16S_022_3	ASV_126_16S_022_3	0.601227879524231
ASV_68_16S_022_3	ASV_128_16S_022_3	0.877995163698924
ASV_9_16S_022_3	ASV_129_16S_022_3	0.529352128505707
ASV_75_16S_022_3	ASV_129_16S_022_3	0.56883
ASV_10_16S_022_3	ASV_131_16S_022_3	0.758543400602286
ASV_45_16S_022_3	ASV_135_16S_022_3	0.778719953626876
ASV_66_16S_022_3	ASV_139_16S_022_3	0.602671940177078
ASV_23_16S_022_3	ASV_149_16S_022_3	0.683844858476171
ASV_2_16S_022_3	ASV_156_16S_022_3	0.77471512556076
ASV_33_16S_022_3	ASV_156_16S_022_3	0.753299897600427
ASV_54_16S_022_3	ASV_156_16S_022_3	0.875134220628464
ASV_15_16S_022_3	ASV_158_16S_022_3	0.520798861980438
ASV_93_16S_022_3	ASV_160_16S_022_3	0.554896877280998
ASV_144_16S_022_3	ASV_161_16S_022_3	0.830075085163116
ASV_11_16S_022_3	ASV_163_16S_022_3	0.583691615358397
ASV_45_16S_022_3	ASV_164_16S_022_3	0.824802380709697
ASV_131_16S_022_3	ASV_164_16S_022_3	-0.61873
ASV_17_16S_022_3	ASV_166_16S_022_3	0.586653411388397
ASV_61_16S_022_3	ASV_168_16S_022_3	0.52789443731308
ASV_50_16S_022_3	ASV_169_16S_022_3	-0.555363557565027
ASV_72_16S_022_3	ASV_169_16S_022_3	0.911231224982028
ASV_65_16S_022_3	ASV_175_16S_022_3	0.590146362781525
ASV_123_16S_022_3	ASV_175_16S_022_3	0.531827990430551
ASV_25_16S_022_3	ASV_185_16S_022_3	0.608330190181732
