Source	Target	association_score	num_Triplets	MutualInformation	InterationInformation	II_p_value	DataProcessingInequality_MI_rank	DataProcessingInequality_indirect	COMBI_II_DPI
ASV_2_16S_022_3	ASV_6_16S_022_3	0.6092888712883	1	0.485888	-0.080389	0.502498	3	1	1
ASV_3_16S_022_3	ASV_7_16S_022_3	0.94186262846594	1	0.679927	-0.203106	0.058941	3	1	1
ASV_3_16S_022_3	ASV_8_16S_022_3	0.623721420764923	1	0.593437	-0.320097	0.117882	3	1	1
ASV_4_16S_022_3	ASV_13_16S_022_3	0.864403307437897	1	0.617159	-0.398096	0.176823	3	1	1
ASV_13_16S_022_3	ASV_14_16S_022_3	0.670509357094355	1	0.617159	-0.494555	0.000999	3	1	1
ASV_1_16S_022_3	ASV_20_16S_022_3	0.904800415039062	1	0.785546	-0.315757	0.412587	3	1	1
ASV_19_16S_022_3	ASV_23_16S_022_3	0.552891969680786	1	0.629019	-0.212685	0.411588	3	1	1
ASV_1_16S_022_3	ASV_34_16S_022_3	0.582216560840607	1	0.647130	-0.379684	0.236763	3	1	1
ASV_26_16S_022_3	ASV_35_16S_022_3	0.92380827665329	1	0.725830	-0.461758	0.117882	3	1	1
ASV_20_16S_022_3	ASV_47_16S_022_3	-0.531857123834532	1	0.425400	0.193036	nan	3	1	1
ASV_44_16S_022_3	ASV_51_16S_022_3	0.767334100113716	1	0.182496	0.222969	nan	2	1	1
ASV_47_16S_022_3	ASV_57_16S_022_3	0.712561625897653	1	0.737447	0.401024	nan	3	1	1
ASV_34_16S_022_3	ASV_60_16S_022_3	0.77471649646759	1	0.717763	-0.404369	0.206793	3	1	1
ASV_9_16S_022_3	ASV_65_16S_022_3	0.683823861586373	1	0.677322	-0.205901	0.588412	3	1	1
ASV_34_16S_022_3	ASV_72_16S_022_3	0.62001109814453	1	0.758601	-0.436251	0.531469	3	1	1
ASV_30_16S_022_3	ASV_81_16S_022_3	0.891857623946993	1	0.604538	-0.068629	0.648352	3	1	1
ASV_32_16S_022_3	ASV_81_16S_022_3	0.65997352982908	1	0.863480	-0.141437	0.530470	3	1	1
ASV_27_16S_022_3	ASV_83_16S_022_3	0.923680484294891	1	0.649150	-0.370458	0.235764	3	1	1
ASV_78_16S_022_3	ASV_83_16S_022_3	0.732268466718171	1	0.519000	-0.155170	0.000999	3	1	1
ASV_14_16S_022_3	ASV_89_16S_022_3	0.521396746476525	1	0.694425	-0.495611	0.000999	3	1	1
ASV_25_16S_022_3	ASV_89_16S_022_3	0.526125609874725	1	0.810153	-0.540122	0.000999	3	1	1
ASV_32_16S_022_3	ASV_93_16S_022_3	0.784914103977978	1	1.032176	-0.109293	0.559441	3	1	1
ASV_88_16S_022_3	ASV_101_16S_022_3	0.640389978885651	1	0.542557	-0.698293	0.410589	3	1	1
ASV_8_16S_022_3	ASV_105_16S_022_3	0.662272691726685	1	0.381678	-0.192539	0.058941	3	1	1
ASV_57_16S_022_3	ASV_122_16S_022_3	-0.52477	1	0.453598	0.130116	nan	3	1	1
ASV_119_16S_022_3	ASV_122_16S_022_3	0.592810332775116	1	0.649691	-0.300100	0.530470	3	1	1
ASV_57_16S_022_3	ASV_123_16S_022_3	0.608934562011144	1	0.662935	0.673305	nan	3	1	1
ASV_99_16S_022_3	ASV_123_16S_022_3	0.932683520934783	1	0.813038	0.680297	nan	3	1	1
ASV_66_16S_022_3	ASV_124_16S_022_3	0.536862907983249	1	0.688487	-0.515866	0.530470	3	1	1
ASV_19_16S_022_3	ASV_126_16S_022_3	0.601227879524231	1	0.848331	-0.020350	0.531469	3	1	1
ASV_68_16S_022_3	ASV_128_16S_022_3	0.877995163698924	1	1.013428	-0.815850	0.058941	3	1	1
ASV_9_16S_022_3	ASV_129_16S_022_3	0.529352128505707	1	0.875171	-0.429968	0.471528	3	1	1
ASV_75_16S_022_3	ASV_129_16S_022_3	0.56883	1	0.695917	-0.607102	0.030969	3	1	1
ASV_10_16S_022_3	ASV_131_16S_022_3	0.758543400602286	1	0.711994	-0.001731	0.353646	3	1	1
ASV_45_16S_022_3	ASV_135_16S_022_3	0.778719953626876	1	0.589463	-0.526635	0.029970	3	1	1
ASV_66_16S_022_3	ASV_139_16S_022_3	0.602671940177078	1	0.783264	-0.334612	0.412587	3	1	1
ASV_23_16S_022_3	ASV_149_16S_022_3	0.683844858476171	1	0.763461	-0.231910	0.323676	3	1	1
ASV_2_16S_022_3	ASV_156_16S_022_3	0.77471512556076	1	0.545441	0.001152	nan	3	1	1
ASV_33_16S_022_3	ASV_156_16S_022_3	0.753299897600427	1	0.539841	-0.029131	0.913087	3	1	1
ASV_54_16S_022_3	ASV_156_16S_022_3	0.875134220628464	1	0.580606	-0.022810	0.825175	3	1	1
ASV_15_16S_022_3	ASV_158_16S_022_3	0.520798861980438	1	0.676736	0.083464	nan	3	1	1
ASV_93_16S_022_3	ASV_160_16S_022_3	0.554896877280998	1	0.742991	-0.648555	0.205794	3	1	1
ASV_144_16S_022_3	ASV_161_16S_022_3	0.830075085163116	1	0.797950	-0.328356	0.648352	3	1	1
ASV_11_16S_022_3	ASV_163_16S_022_3	0.583691615358397	1	0.695917	0.660296	nan	3	1	1
ASV_45_16S_022_3	ASV_164_16S_022_3	0.824802380709697	1	0.389849	-0.309720	0.119880	3	1	1
ASV_131_16S_022_3	ASV_164_16S_022_3	-0.61873	1	0.284976	0.181505	nan	2	1	1
ASV_17_16S_022_3	ASV_166_16S_022_3	0.586653411388397	1	0.231999	-0.055545	0.531469	3	1	1
ASV_61_16S_022_3	ASV_168_16S_022_3	0.52789443731308	1	0.564941	-0.387930	0.648352	3	1	1
ASV_50_16S_022_3	ASV_169_16S_022_3	-0.555363557565027	1	0.419309	-0.342535	0.295704	3	1	1
ASV_72_16S_022_3	ASV_169_16S_022_3	0.911231224982028	1	0.684687	-0.385048	0.502498	3	1	1
ASV_65_16S_022_3	ASV_175_16S_022_3	0.590146362781525	1	0.866443	-0.001073	0.647353	3	1	1
ASV_123_16S_022_3	ASV_175_16S_022_3	0.531827990430551	1	0.682226	0.498851	nan	3	1	1
ASV_25_16S_022_3	ASV_185_16S_022_3	0.608330190181732	1	0.524226	-0.158217	0.707293	3	1	1
ASV_122_16S_022_3	ASV_185_16S_022_3	0.559521284371017	1	0.849540	-0.320361	0.707293	3	1	1
ASV_32_16S_022_3	ASV_187_16S_022_3	0.549963662477221	1	0.669774	-0.586708	0.030969	3	1	1
ASV_74_16S_022_3	ASV_192_16S_022_3	0.654264535830193	1	0.566234	-0.414897	0.236763	3	1	1
ASV_75_16S_022_3	ASV_193_16S_022_3	0.857553064823151	1	0.926220	-0.770422	0.000999	3	1	1
ASV_61_16S_022_3	ASV_196_16S_022_3	0.627816379070282	1	0.445865	-0.233882	0.706294	3	1	1
ASV_2_16S_022_3	ASV_197_16S_022_3	-0.632649421691895	1	0.359671	-0.281813	0.059940	3	1	1
ASV_119_16S_022_3	ASV_199_16S_022_3	0.815240383148193	1	0.639288	-0.251160	0.352647	3	1	1
ASV_148_16S_022_3	ASV_204_16S_022_3	0.538835227489471	1	0.505925	-0.259038	0.000999	3	1	1
ASV_163_16S_022_3	ASV_204_16S_022_3	0.631073494732725	1	0.604655	-0.424400	0.235764	3	1	1
ASV_58_16S_022_3	ASV_210_16S_022_3	0.630467772483826	1	0.231575	0.826877	nan	3	1	1
ASV_204_16S_022_3	ASV_212_16S_022_3	0.872970970669438	1	0.841473	-0.314312	0.232767	3	1	1
ASV_59_16S_022_3	ASV_214_16S_022_3	0.761008845638064	1	0.452202	-0.314198	0.177822	3	1	1
ASV_14_16S_022_3	ASV_217_16S_022_3	0.62775	1	0.611976	-0.409243	0.000999	3	1	1
ASV_197_16S_022_3	ASV_225_16S_022_3	0.975269947788812	1	0.855975	-0.536237	0.088911	3	1	1
ASV_2_16S_022_3	ASV_226_16S_022_3	0.53177615961523	1	0.390241	-0.030028	0.619381	3	1	1
ASV_81_16S_022_3	ASV_226_16S_022_3	0.701210164936012	1	0.670400	0.050995	nan	3	1	1
ASV_154_16S_022_3	ASV_227_16S_022_3	0.557167172431946	1	0.799421	-0.746049	0.147852	3	1	1
ASV_160_16S_022_3	ASV_233_16S_022_3	0.990538859628519	1	0.894476	-0.711373	0.707293	3	1	1
ASV_110_16S_022_3	ASV_235_16S_022_3	0.704398930072784	1	0.764674	-0.193813	0.735265	3	1	1
ASV_26_16S_022_3	ASV_237_16S_022_3	0.668489992618561	1	0.652313	-0.391867	0.088911	3	1	1
ASV_128_16S_022_3	ASV_238_16S_022_3	0.738723266670667	1	0.889797	-0.872903	0.354645	3	1	1
ASV_67_16S_022_3	ASV_246_16S_022_3	-0.824152597134301	1	0.403475	-0.387781	0.324675	3	1	1
ASV_35_16S_022_3	ASV_249_16S_022_3	0.625333250366655	1	0.540925	-0.226763	0.118881	3	1	1
ASV_37_16S_022_3	ASV_249_16S_022_3	0.857808496152068	1	0.349844	-0.192149	0.088911	3	1	1
ASV_237_16S_022_3	ASV_249_16S_022_3	0.575781610343098	1	0.528721	-0.433919	0.000999	3	1	1
ASV_235_16S_022_3	ASV_253_16S_022_3	0.663446962833405	1	0.758239	-0.140540	0.707293	3	1	1
ASV_157_16S_022_3	ASV_258_16S_022_3	0.845418989658356	1	0.779325	-0.665972	0.530470	3	1	1
ASV_7_16S_022_3	ASV_263_16S_022_3	0.832559585571289	1	0.526846	-0.084801	0.411588	3	1	1
ASV_27_16S_022_3	ASV_263_16S_022_3	-0.63182920217514	1	0.360075	-0.119902	0.411588	3	1	1
ASV_83_16S_022_3	ASV_264_16S_022_3	0.899286737980721	1	0.737645	-0.411858	0.000999	3	1	1
ASV_124_16S_022_3	ASV_268_16S_022_3	0.577209764677199	1	0.713342	-0.606598	0.236763	3	1	1
ASV_170_16S_022_3	ASV_268_16S_022_3	0.649279236793518	1	0.608346	-0.638742	0.234765	3	1	1
ASV_223_16S_022_3	ASV_268_16S_022_3	0.670466491420968	1	0.749964	-0.687294	0.000999	3	1	1
ASV_179_16S_022_3	ASV_271_16S_022_3	0.598352313041687	1	0.639084	-0.172226	0.589411	3	1	1
ASV_45_16S_022_3	ASV_273_16S_022_3	0.868830919265747	1	0.414675	-0.351846	0.030969	3	1	1
ASV_74_16S_022_3	ASV_277_16S_022_3	0.690560281276703	1	0.828061	-0.257767	0.353646	3	1	1
ASV_169_16S_022_3	ASV_277_16S_022_3	0.594768538143369	1	0.801301	-0.384119	0.235764	3	1	1
ASV_106_16S_022_3	ASV_278_16S_022_3	-0.778593928911259	1	0.263727	0.331920	nan	3	1	1
ASV_187_16S_022_3	ASV_278_16S_022_3	0.601621925830841	1	0.652233	-0.561326	0.000999	3	1	1
ASV_121_16S_022_3	ASV_284_16S_022_3	-0.568820984076842	1	0.795408	-0.729345	0.383616	3	1	1
ASV_228_16S_022_3	ASV_287_16S_022_3	0.998407712984974	1	0.728162	-0.636611	0.000999	3	1	1
ASV_276_16S_022_3	ASV_289_16S_022_3	-0.564036071300507	1	0.324443	-0.324443	0.352647	3	1	1
ASV_217_16S_022_3	ASV_290_16S_022_3	0.698131203651428	1	0.662095	-0.616467	0.059940	3	1	1
ASV_6_16S_022_3	ASV_298_16S_022_3	0.52712	1	0.114464	-0.061804	0.266733	2	1	1
ASV_204_16S_022_3	ASV_298_16S_022_3	-0.616472464588262	1	0.247275	-0.231342	0.029970	2	1	1
ASV_122_16S_022_3	ASV_299_16S_022_3	-0.615206821148181	1	0.542557	-0.509627	0.030969	3	1	1
ASV_88_16S_022_3	ASV_300_16S_022_3	0.558212637901306	1	0.505503	-0.551278	0.234765	3	1	1
ASV_248_16S_022_3	ASV_300_16S_022_3	0.58943784236908	1	0.468051	-0.460454	0.000999	3	1	1
ASV_123_16S_022_3	ASV_301_16S_022_3	0.858396913212981	1	0.682226	-0.534105	0.322677	3	1	1
ASV_179_16S_022_3	ASV_304_16S_022_3	0.657195687294006	1	0.879731	-0.263197	0.618382	3	1	1
ASV_206_16S_022_3	ASV_304_16S_022_3	0.8971728682518	1	0.812575	-0.420215	0.295704	3	1	1
ASV_184_16S_022_3	ASV_306_16S_022_3	0.68226874551345	1	0.627457	-0.427461	0.853147	3	1	1
ASV_6_16S_022_3	ASV_307_16S_022_3	0.681625562569206	1	0.195520	-0.151716	0.177822	2	1	1
ASV_162_16S_022_3	ASV_308_16S_022_3	-0.891894161701202	1	0.704146	-0.670358	0.647353	3	1	1
ASV_299_16S_022_3	ASV_308_16S_022_3	0.529218137934036	1	0.915692	-0.744576	0.059940	3	1	1
ASV_97_16S_022_3	ASV_309_16S_022_3	0.856187625539886	1	0.942377	-0.667724	0.589411	3	1	1
ASV_145_16S_022_3	ASV_311_16S_022_3	0.626801252365112	1	0.510933	-0.070785	0.678322	3	1	1
ASV_154_16S_022_3	ASV_316_16S_022_3	0.921032865594157	1	1.069638	1.143077	nan	3	1	1
ASV_67_16S_022_3	ASV_317_16S_022_3	0.632342854444799	1	0.583943	-0.334464	0.324675	3	1	1
ASV_97_16S_022_3	ASV_317_16S_022_3	0.840700273022928	1	0.697169	-0.554935	0.411588	3	1	1
ASV_189_16S_022_3	ASV_318_16S_022_3	-0.666919765898783	1	0.769896	-0.348517	0.619381	3	1	1
ASV_161_16S_022_3	ASV_320_16S_022_3	0.610999364332116	1	0.697169	-0.326723	0.588412	3	1	1
ASV_35_16S_022_3	ASV_324_16S_022_3	0.580836176872253	1	0.462451	-0.209305	0.383616	3	1	1
ASV_89_16S_022_3	ASV_324_16S_022_3	0.778015673160553	1	0.945137	-0.520700	0.000999	3	1	1
ASV_92_16S_022_3	ASV_325_16S_022_3	0.918775737285614	1	0.917567	0.390857	nan	3	1	1
ASV_110_16S_022_3	ASV_325_16S_022_3	0.59889028273615	1	0.684101	-0.438114	0.059940	3	1	1
ASV_109_16S_022_3	ASV_327_16S_022_3	-0.552551238741182	1	0.535331	-0.504944	0.206793	3	1	1
ASV_152_16S_022_3	ASV_328_16S_022_3	0.712233345012876	1	0.319818	0.014174	nan	3	1	1
ASV_130_16S_022_3	ASV_331_16S_022_3	0.563628792762756	1	0.403391	-0.545107	0.410589	3	1	1
ASV_162_16S_022_3	ASV_334_16S_022_3	-0.653156886953715	1	0.618814	-0.594322	0.588412	3	1	1
ASV_126_16S_022_3	ASV_335_16S_022_3	0.524992048862802	1	0.635071	-0.274613	0.059940	3	1	1
ASV_149_16S_022_3	ASV_335_16S_022_3	0.61451	1	0.675044	-0.355160	0.295704	3	1	1
ASV_65_16S_022_3	ASV_337_16S_022_3	0.793156017683715	1	0.614054	-0.386396	0.147852	3	1	1
ASV_291_16S_022_3	ASV_340_16S_022_3	0.958724949583442	1	0.829736	-0.739369	0.354645	3	1	1
ASV_276_16S_022_3	ASV_343_16S_022_3	-0.730718720723102	1	0.418827	-0.223738	0.177822	3	1	1
ASV_235_16S_022_3	ASV_345_16S_022_3	0.728875696659088	1	0.781249	-0.336025	0.707293	3	1	1
ASV_262_16S_022_3	ASV_347_16S_022_3	0.855201482772827	1	0.869418	-0.501708	0.735265	3	1	1
ASV_50_16S_022_3	ASV_351_16S_022_3	0.542472599579001	1	0.507557	-0.146926	0.618382	3	1	1
ASV_175_16S_022_3	ASV_357_16S_022_3	0.656689811757063	1	0.645803	0.354717	nan	3	1	1
ASV_121_16S_022_3	ASV_358_16S_022_3	0.788085993529516	1	0.669276	1.070035	nan	3	1	1
ASV_216_16S_022_3	ASV_358_16S_022_3	-0.536342562360786	1	0.755355	1.084758	nan	3	1	1
ASV_193_16S_022_3	ASV_360_16S_022_3	0.760752868717725	1	0.444662	-0.451967	0.029970	3	1	1
ASV_233_16S_022_3	ASV_362_16S_022_3	0.950029373168945	1	0.891591	-0.693296	0.707293	3	1	1
ASV_246_16S_022_3	ASV_362_16S_022_3	0.56574	1	0.615606	-0.562234	0.117882	3	1	1
ASV_277_16S_022_3	ASV_362_16S_022_3	-0.52640026807785	1	0.429031	-0.283119	0.059940	3	1	1
ASV_274_16S_022_3	ASV_365_16S_022_3	0.525131046772003	1	0.662095	-0.520720	0.413586	3	1	1
ASV_345_16S_022_3	ASV_365_16S_022_3	0.739086866378784	1	0.761323	-0.211905	0.529471	3	1	1
ASV_138_16S_022_3	ASV_369_16S_022_3	0.664310388037154	1	0.840887	1.037675	nan	3	1	1
ASV_267_16S_022_3	ASV_379_16S_022_3	0.552697013899815	1	0.684737	-0.634054	0.234765	3	1	1
ASV_157_16S_022_3	ASV_381_16S_022_3	0.544515669345856	1	0.671230	-0.683217	0.058941	3	1	1
ASV_66_16S_022_3	ASV_383_16S_022_3	0.67673796415329	1	0.673120	-0.391388	0.589411	3	1	1
ASV_320_16S_022_3	ASV_386_16S_022_3	0.615967940486595	1	0.754639	-0.518118	0.176823	3	1	1
ASV_260_16S_022_3	ASV_387_16S_022_3	0.85853034205904	1	0.943262	-0.728543	0.294705	3	1	1
ASV_21_16S_022_3	ASV_388_16S_022_3	0.528603792190552	1	0.514271	0.153539	nan	3	1	1
ASV_7_16S_022_3	ASV_390_16S_022_3	-0.524275662360035	1	0.351261	0.722813	nan	3	1	1
ASV_386_16S_022_3	ASV_392_16S_022_3	0.590017709385017	1	0.694922	-0.536143	0.088911	3	1	1
ASV_132_16S_022_3	ASV_396_16S_022_3	0.530401753279096	1	0.691371	-0.425313	0.648352	3	1	1
ASV_311_16S_022_3	ASV_396_16S_022_3	0.538688832488591	1	0.680843	-0.332717	0.648352	3	1	1
ASV_218_16S_022_3	ASV_397_16S_022_3	0.57076	1	0.582530	-0.446922	0.059940	3	1	1
ASV_274_16S_022_3	ASV_400_16S_022_3	0.55338584387192	1	0.541810	-0.322231	0.648352	3	1	1
ASV_193_16S_022_3	ASV_402_16S_022_3	0.820168134430121	1	0.791777	-0.657638	0.000999	3	1	1
ASV_185_16S_022_3	ASV_401_16S_022_3	0.931910014153259	1	0.934609	-0.693745	0.590410	3	1	1
ASV_225_16S_022_3	ASV_401_16S_022_3	0.521462346565947	1	0.764207	-0.626880	0.471528	3	1	1
ASV_312_16S_022_3	ASV_401_16S_022_3	0.610412013269483	1	0.689402	-0.678931	0.118881	3	1	1
ASV_218_16S_022_3	ASV_407_16S_022_3	-0.58763592770795	1	0.443995	-0.443995	0.353646	3	1	1
ASV_109_16S_022_3	ASV_408_16S_022_3	0.56431120634079	1	0.395583	-0.217416	0.265734	3	1	1
ASV_153_16S_022_3	ASV_408_16S_022_3	0.718317717055079	1	0.474481	-0.273669	0.264735	3	1	1
ASV_19_16S_022_3	ASV_410_16S_022_3	0.700259506702423	1	0.685895	-0.180884	0.472527	3	1	1
ASV_163_16S_022_3	ASV_410_16S_022_3	0.706401859673474	1	0.865150	0.375538	nan	3	1	1
ASV_189_16S_022_3	ASV_414_16S_022_3	-0.549083967249259	1	0.530488	-0.120058	0.471528	3	1	1
ASV_226_16S_022_3	ASV_414_16S_022_3	-0.631913702974152	1	0.329969	0.685675	nan	3	1	1
ASV_145_16S_022_3	ASV_421_16S_022_3	0.734014895910037	1	0.767877	1.389146	nan	3	1	1
ASV_154_16S_022_3	ASV_421_16S_022_3	0.753625631332397	1	0.893467	1.261485	nan	3	1	1
ASV_189_16S_022_3	ASV_422_16S_022_3	0.8807	1	0.966193	-0.844087	0.058941	3	1	1
ASV_318_16S_022_3	ASV_422_16S_022_3	0.921970170285537	1	0.932192	-0.789165	0.293706	3	1	1
ASV_388_16S_022_3	ASV_422_16S_022_3	0.603611469268799	1	0.622788	0.374976	nan	3	1	1
ASV_155_16S_022_3	ASV_424_16S_022_3	0.627217173576355	1	0.623912	-0.578136	0.648352	3	1	1
