Source	Target	association_score	MutualInformation	num_Triplets	percentage_co_occurrence
ASV_1_16S_022_3	ASV_20_16S_022_3	0.904800415039062	0.785546	0	100
ASV_1_16S_022_3	ASV_227_16S_3_200	-0.685865223407745	0.333309	0	43.478261
ASV_1_16S_022_3	ASV_34_16S_022_3	0.582216560840607	0.64713	0	81.818182
ASV_10_16S_022_3	ASV_131_16S_022_3	0.758543400602286	0.711994	0	100
ASV_1002_16S_022_3	OTU_858_18S_3_200	0.766291737556458	0.931565	0	92.307692
ASV_101_16S_022_3	ASV_559_16S_3_200	0.528479993343353	0.509481	0	83.333333
ASV_101_16S_022_3	OTU_455_18S_022_3	0.551533639431	0.519532	0	80
ASV_101_16S_3_200	OTU_997_18S_3_200	0.63292054541579	0.493623	0	60
ASV_102_16S_022_3	ASV_478_16S_022_3	0.728323254372746	0.753679	0	88.888889
ASV_102_16S_022_3	ASV_673_16S_3_200	0.530659521591895	0.554875	0	66.666667
ASV_102_16S_022_3	ASV_793_16S_022_3	0.730534040101215	0.884958	0	100
ASV_1028_16S_022_3	ASV_1348_16S_022_3	0.56577	0.599096	0	80
ASV_1028_16S_022_3	OTU_1123_18S_022_3	0.743325491074276	0.589045	0	71.428571
ASV_1028_16S_022_3	OTU_1358_18S_022_3	0.711562037467957	0.531283	0	71.428571
ASV_1029_16S_022_3	OTU_1023_18S_3_200	0.563713729381561	0.379992	0	55.555556
ASV_1029_16S_022_3	OTU_106_18S_3_200	0.522381126880646	0.710075	0	72.727273
ASV_1029_16S_022_3	OTU_1202_18S_3_200	0.801478559300357	0.574419	0	66.666667
ASV_1029_16S_022_3	OTU_2419_18S_3_200	0.628233253955841	0.49773	0	50
ASV_103_16S_022_3	ASV_539_16S_022_3	0.81544996556603	0.809143	0	100
ASV_103_16S_022_3	ASV_615_16S_022_3	0.522589325904846	0.790225	0	85.714286
ASV_103_16S_022_3	ASV_871_16S_022_3	0.539592685122036	0.634648	0	85.714286
ASV_103_16S_022_3	ASV_917_16S_022_3	0.593865735194133	0.661926	0	83.333333
ASV_1036_16S_022_3	ASV_1777_16S_022_3	0.596518126892817	0.545441	0	83.333333
ASV_1036_16S_022_3	OTU_2155_18S_3_200	0.532529842072544	0.439968	0	80
ASV_1037_16S_022_3	ASV_1769_16S_022_3	0.534600853919983	0.576016	0	70
ASV_104_16S_022_3	ASV_1226_16S_3_200	-0.700844367043393	0.325418	0	17.391304
ASV_1042_16S_022_3	ASV_96_16S_3_200	0.710397973322887	0.682767	0	62.5
ASV_1042_16S_022_3	OTU_5090_18S_3_200	0.576860177721575	0.648598	0	75
ASV_1043_16S_022_3	OTU_1263_18S_022_3	0.70751194397162	0.533073	0	85.714286
ASV_1043_16S_022_3	OTU_1575_18S_022_3	0.578850269317627	0.446527	0	71.428571
ASV_1043_16S_022_3	OTU_2317_18S_022_3	0.670318305492401	0.432369	0	71.428571
ASV_1043_16S_022_3	OTU_493_18S_022_3	0.595469176769257	0.407682	0	71.428571
ASV_1043_16S_022_3	OTU_791_18S_3_200	0.522135651791967	0.439968	0	66.666667
ASV_1044_16S_022_3	OTU_1844_18S_022_3	0.52556	0.527857	0	60
ASV_1047_16S_022_3	OTU_2848_18S_3_200	0.540817975997925	0.435861	0	60
ASV_1049_16S_022_3	ASV_1411_16S_022_3	0.555987558454478	0.699184	0	87.5
ASV_105_16S_022_3	OTU_129_18S_3_200	-0.542387843132019	0.211275	0	69.565217
ASV_1050_16S_022_3	ASV_348_16S_3_200	0.794668484384913	0.466574	0	63.636364
ASV_1050_16S_022_3	OTU_118_18S_3_200	0.56740317213675	0.566149	0	75
ASV_1050_16S_022_3	OTU_1390_18S_3_200	0.718919348563463	0.456011	0	66.666667
ASV_1054_16S_022_3	ASV_1071_16S_022_3	0.615128993988037	0.425809	0	57.142857
ASV_1054_16S_022_3	OTU_942_18S_022_3	0.61601448059082	0.571923	0	77.777778
ASV_1055_16S_022_3	ASV_1107_16S_3_200	0.540130126261591	0.625005	0	83.333333
ASV_1055_16S_022_3	ASV_1589_16S_022_3	0.93056117993119	0.545441	0	100
ASV_1055_16S_022_3	ASV_1869_16S_022_3	0.578995943069458	0.46177	0	80
