Source	Target	association_score	original	MutualInformation	ENV_daylength_InterationInformation	ENV_daylength_II_p_value	ENV_daylength_DataProcessingInequality_MI_rank	ENV_daylength_COMBI_II_DPI	ENV_Temperature_InterationInformation	ENV_Temperature_II_p_value	ENV_Temperature_DataProcessingInequality_MI_rank	ENV_Temperature_COMBI_II_DPI	ENV_Salinity_InterationInformation	ENV_Salinity_II_p_value	ENV_Salinity_DataProcessingInequality_MI_rank	ENV_Salinity_COMBI_II_DPI	ENV_NH4_InterationInformation	ENV_NH4_II_p_value	ENV_NH4_DataProcessingInequality_MI_rank	ENV_NH4_COMBI_II_DPI	ENV_NO2_InterationInformation	ENV_NO2_II_p_value	ENV_NO2_DataProcessingInequality_MI_rank	ENV_NO2_COMBI_II_DPI	ENV_NO3_InterationInformation	ENV_NO3_II_p_value	ENV_NO3_DataProcessingInequality_MI_rank	ENV_NO3_COMBI_II_DPI	ENV_PO4_InterationInformation	ENV_PO4_II_p_value	ENV_PO4_DataProcessingInequality_MI_rank	ENV_PO4_COMBI_II_DPI	ENV_Si_InterationInformation	ENV_Si_II_p_value	ENV_Si_DataProcessingInequality_MI_rank	ENV_Si_COMBI_II_DPI	COMBI_allENV
ASV_1_16S_022_3	ASV_20_16S_022_3	0.904800415039062	1	0.785546	-0.269283	0.250749	3	1	-0.306042	0.42957	3	1	-0.464337	0.273726	3	1	-0.315757	0.412587	3	1	-0.049905	0.084915	3	1	-0.383281	0.000999	3	1	0.191876	NA	3	1	-0.462208	0.070929	3	1	8
ASV_1_16S_022_3	ASV_227_16S_3_200	-0.685865223407745	1	0.333309	0.365021	NA	3	1	-0.268499	0.000999	2	1	-0.243368	0.000999	3	1	-0.26667	0.265734	3	1	-0.191075	0.084915	1	1	-0.219338	0.434565	2	1	0.080324	NA	2	1	-0.153924	0.320679	2	1	8
ASV_1_16S_022_3	ASV_34_16S_022_3	0.582216560840607	1	0.64713	-0.249378	0.55045	3	1	-0.24561	0.572428	3	1	-0.204192	0.91009	3	1	-0.379684	0.236763	3	1	0.166053	NA	3	1	-0.226049	0.368631	3	1	0.250542	NA	3	1	-0.117429	0.160839	3	1	8
ASV_10_16S_022_3	ASV_131_16S_022_3	0.758543400602286	1	0.711994	-0.377408	0.050949	3	1	-0.363829	0.071928	3	1	-0.30167	0.000999	3	1	-0.001731	0.353646	3	1	-0.022452	0.666334	3	1	-0.19389	0.667333	3	1	0.165163	NA	3	1	-0.083948	0.40959	3	1	8
ASV_1002_16S_022_3	OTU_858_18S_3_200	0.766291737556458	1	0.931565	-0.825143	0.000999	3	1	-0.568927	0.285714	3	1	-0.717047	0.182817	3	1	1.120541	NA	3	1	-0.129039	0.5005	3	1	-0.621194	0.400599	3	1	-0.646673	0.166833	3	1	-0.398138	0.625375	3	1	8
ASV_101_16S_022_3	ASV_559_16S_3_200	0.528479993343353	1	0.509481	-0.427745	0.050949	3	1	-0.396645	0.786214	3	1	3.0358	NA	3	1	2.349084	NA	3	1	-0.370436	0.667333	3	1	-0.427745	0.000999	3	1	-0.468613	0.501499	3	1	-0.401035	0.463536	3	1	8
ASV_101_16S_022_3	OTU_455_18S_022_3	0.551533639431	1	0.519532	-0.478664	0.000999	3	1	-0.438452	0.000999	3	1	3.267946	NA	3	1	-0.566823	0.46953	3	1	-0.195214	0.417582	3	1	-0.478664	0.000999	3	1	-0.423591	0.166833	3	1	-0.427981	0.572428	3	1	8
ASV_101_16S_3_200	OTU_997_18S_3_200	0.63292054541579	1	0.493623	-0.493623	1	3	1	-0.493623	0.929071	3	1	-0.493623	0.545455	3	1	-0.493623	0.882118	3	1	-0.493623	0.5005	3	1	-0.493623	0.866134	3	1	-0.574703	0.5005	3	1	-0.493623	0.946054	3	1	8
ASV_102_16S_022_3	ASV_294_16S_3_200	-0.550202548503876	1	0.401058	-0.355283	0.65035	3	1	-0.401058	0.714286	2	1	-0.234432	0.455544	3	1	-0.401058	0.588412	3	1	0.027816	NA	1	1	-0.333998	0.668332	3	1	-0.45882	0.083916	3	1	-0.093634	0.519481	2	1	8
ASV_102_16S_022_3	ASV_478_16S_022_3	0.728323254372746	1	0.753679	-0.707903	0.55045	3	1	-0.707044	0.214785	3	1	-0.71989	0.091908	3	1	-0.753679	0.941059	3	1	-0.902992	0.083916	3	1	-0.2172	0.934066	3	1	-0.689826	0.000999	3	1	0.179565	NA	3	1	8
ASV_102_16S_022_3	ASV_673_16S_3_200	0.530659521591895	1	0.554875	-0.480219	0.7003	3	1	-0.554875	0.714286	2	1	-0.554875	0.727273	3	1	-0.271571	0.883117	3	1	-0.508241	0.584416	2	1	-0.635204	0.732268	3	1	-0.579366	0.75025	3	1	-0.641519	0.071928	3	1	8
ASV_102_16S_022_3	ASV_793_16S_022_3	0.730534040101215	1	0.884958	-0.42286	0.6004	3	1	-0.815006	0.42957	3	1	-0.801004	0.000999	3	1	-0.764526	0.589411	3	1	0.149107	NA	3	1	-0.84409	0.000999	3	1	-0.842389	0.333666	3	1	-0.772779	0.412587	3	1	8
ASV_1028_16S_022_3	ASV_1348_16S_022_3	0.56577	1	0.599096	-0.599096	0.9001	3	1	-0.599096	0.856144	3	1	-0.565307	0.637363	3	1	-0.553321	0.648352	3	1	-0.478664	0.168831	3	1	-0.532036	0.566434	3	1	-0.599096	1	3	1	-0.518017	0.42957	3	1	8
ASV_1028_16S_022_3	OTU_1123_18S_022_3	0.743325491074276	1	0.589045	-0.589045	0.95005	3	1	-0.589045	1	3	1	-0.555256	0.637363	3	1	-0.589045	0.882118	3	1	-0.589045	0.167832	3	1	-0.589045	0.767233	3	1	-0.589045	1	3	1	-0.589045	0.946054	3	1	8
ASV_1028_16S_022_3	OTU_1358_18S_022_3	0.711562037467957	1	0.531283	-0.444639	0.7003	3	1	-0.531283	0.857143	3	1	-0.497494	0.637363	3	1	-0.41085	0.883117	3	1	-0.531283	0.5005	3	1	-0.531283	0.467532	3	1	-0.444639	0.667333	3	1	-0.468613	0.679321	3	1	8
