Source	Target	Occurrence	Occurrence_Percentage	Source_Kingdom	Source_DivisionPhylum	Target_Kingdom	Target_DivisionPhylum
ASV_1_16S_022_3	ASV_20_16S_022_3	5	100	Bacteria	Cyanobacteria	Bacteria	Cyanobacteria
ASV_1_16S_022_3	ASV_227_16S_3_200	3	60	Bacteria	Cyanobacteria	Bacteria	Bacteroidota
ASV_1_16S_022_3	ASV_34_16S_022_3	3	60	Bacteria	Cyanobacteria	Bacteria	Bacteroidota
ASV_10_16S_022_3	ASV_131_16S_022_3	5	100	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_1002_16S_022_3	OTU_858_18S_3_200	1	20	Bacteria	Verrucomicrobiota	Eukaryota	Telonemia
ASV_102_16S_022_3	ASV_478_16S_022_3	1	20	Bacteria	Bacteroidota	Bacteria	Gammaproteobacteria
ASV_102_16S_022_3	ASV_673_16S_3_200	1	20	Bacteria	Bacteroidota	Bacteria	Bacteroidota
ASV_102_16S_022_3	ASV_793_16S_022_3	1	20	Bacteria	Bacteroidota	Bacteria	Alphaproteobacteria
ASV_1028_16S_022_3	OTU_1123_18S_022_3	1	20	Bacteria	Gammaproteobacteria	Eukaryota	Ochrophyta
ASV_1028_16S_022_3	OTU_1358_18S_022_3	1	20	Bacteria	Gammaproteobacteria	Eukaryota	Ochrophyta
ASV_103_16S_022_3	ASV_539_16S_022_3	2	40	Bacteria	Gammaproteobacteria	Bacteria	Bacteroidota
ASV_103_16S_022_3	ASV_615_16S_022_3	2	40	Bacteria	Gammaproteobacteria	Bacteria	Alphaproteobacteria
ASV_103_16S_022_3	ASV_871_16S_022_3	2	40	Bacteria	Gammaproteobacteria	Bacteria	Alphaproteobacteria
ASV_103_16S_022_3	ASV_917_16S_022_3	1	20	Bacteria	Gammaproteobacteria	Bacteria	Alphaproteobacteria
ASV_1036_16S_022_3	ASV_1777_16S_022_3	1	20	Bacteria	Bacteroidota	Bacteria	Alphaproteobacteria
ASV_1036_16S_022_3	OTU_2155_18S_3_200	1	20	Bacteria	Bacteroidota	Eukaryota	Dinoflagellata
ASV_1037_16S_022_3	ASV_1769_16S_022_3	1	20	Bacteria	Bacteroidota	Bacteria	Bacteroidota
ASV_104_16S_022_3	ASV_1226_16S_3_200	1	20	Bacteria	Alphaproteobacteria	Bacteria	Firmicutes
ASV_1049_16S_022_3	ASV_1411_16S_022_3	1	20	Bacteria	Actinobacteriota	Bacteria	Gammaproteobacteria
ASV_105_16S_022_3	OTU_129_18S_3_200	1	20	Bacteria	Alphaproteobacteria	Eukaryota	Dinoflagellata
ASV_1050_16S_022_3	ASV_348_16S_3_200	1	20	Bacteria	Alphaproteobacteria	Bacteria	Gammaproteobacteria
ASV_1050_16S_022_3	OTU_118_18S_3_200	1	20	Bacteria	Alphaproteobacteria	Eukaryota	Dinoflagellata
ASV_1055_16S_022_3	ASV_1107_16S_3_200	1	20	Bacteria	Bacteroidota	Bacteria	Gammaproteobacteria
ASV_1055_16S_022_3	ASV_1589_16S_022_3	1	20	Bacteria	Bacteroidota	Bacteria	Alphaproteobacteria
ASV_1055_16S_022_3	ASV_2653_16S_022_3	1	20	Bacteria	Bacteroidota	Bacteria	Gammaproteobacteria
ASV_1059_16S_022_3	ASV_2134_16S_3_200	1	20	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_1059_16S_022_3	ASV_2288_16S_3_200	1	20	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_1059_16S_022_3	OTU_3133_18S_022_3	1	20	Bacteria	Alphaproteobacteria	Eukaryota	Rhodelphidia
ASV_1059_16S_022_3	OTU_338_18S_022_3	1	20	Bacteria	Alphaproteobacteria	Eukaryota	Ciliophora
ASV_106_16S_022_3	ASV_278_16S_022_3	2	40	Bacteria	Bacteroidota	Bacteria	Gammaproteobacteria
ASV_1061_16S_022_3	ASV_1560_16S_022_3	2	40	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_1062_16S_022_3	ASV_1110_16S_022_3	1	20	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_1062_16S_022_3	ASV_1934_16S_022_3	1	20	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_1062_16S_022_3	ASV_2102_16S_022_3	1	20	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_1088_16S_022_3	OTU_997_18S_3_200	1	20	Bacteria	Alphaproteobacteria	Eukaryota	Dinoflagellata
ASV_109_16S_022_3	ASV_327_16S_022_3	1	20	Bacteria	Bacteroidota	Bacteria	Alphaproteobacteria
ASV_109_16S_022_3	ASV_35_16S_3_200	5	100	Bacteria	Bacteroidota	Bacteria	Cyanobacteria
ASV_109_16S_022_3	ASV_408_16S_022_3	3	60	Bacteria	Bacteroidota	Bacteria	Bacteroidota
ASV_1092_16S_022_3	ASV_1426_16S_022_3	1	20	Bacteria	Alphaproteobacteria	Bacteria	Gammaproteobacteria
ASV_1092_16S_022_3	ASV_255_16S_3_200	1	20	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_1094_16S_022_3	ASV_1269_16S_022_3	2	40	Bacteria	Gammaproteobacteria	Bacteria	Bacteroidota
ASV_1094_16S_022_3	ASV_1490_16S_022_3	1	20	Bacteria	Gammaproteobacteria	Bacteria	Bacteroidota
ASV_1094_16S_022_3	ASV_1498_16S_022_3	2	40	Bacteria	Gammaproteobacteria	Bacteria	Marinimicrobia (SAR406 clade)
ASV_1094_16S_022_3	ASV_1675_16S_3_200	2	40	Bacteria	Gammaproteobacteria	Bacteria	Gammaproteobacteria
ASV_1094_16S_022_3	OTU_277_18S_3_200	2	40	Bacteria	Gammaproteobacteria	Eukaryota	Dinoflagellata
ASV_11_16S_022_3	ASV_163_16S_022_3	1	20	Bacteria	Bacteroidota	Bacteria	Bacteroidota
ASV_11_16S_022_3	ASV_503_16S_022_3	1	20	Bacteria	Bacteroidota	Bacteria	Bacteroidota
ASV_11_16S_022_3	ASV_517_16S_022_3	1	20	Bacteria	Bacteroidota	Bacteria	Bacteroidota
ASV_11_16S_022_3	ASV_553_16S_022_3	1	20	Bacteria	Bacteroidota	Bacteria	Chloroflexi
ASV_110_16S_022_3	ASV_235_16S_022_3	2	40	Bacteria	Alphaproteobacteria	Bacteria	Bacteroidota
ASV_110_16S_022_3	ASV_325_16S_022_3	2	40	Bacteria	Alphaproteobacteria	Bacteria	Bacteroidota
ASV_110_16S_022_3	ASV_449_16S_022_3	2	40	Bacteria	Alphaproteobacteria	Bacteria	Bacteroidota
ASV_110_16S_022_3	ASV_537_16S_3_200	2	40	Bacteria	Alphaproteobacteria	Bacteria	Bacteroidota
ASV_1105_16S_022_3	ASV_2068_16S_022_3	1	20	Bacteria	Alphaproteobacteria	Bacteria	Bacteroidota
ASV_1106_16S_022_3	ASV_1344_16S_022_3	2	40	Bacteria	Bacteroidota	Bacteria	Alphaproteobacteria
ASV_1106_16S_022_3	OTU_287_18S_022_3	2	40	Bacteria	Bacteroidota	Eukaryota	Dinoflagellata
ASV_1107_16S_022_3	ASV_2030_16S_022_3	1	20	Bacteria	Gammaproteobacteria	Bacteria	Bacteroidota
ASV_1110_16S_022_3	ASV_1244_16S_022_3	1	20	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_1110_16S_022_3	ASV_1633_16S_022_3	1	20	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_1117_16S_022_3	ASV_1781_16S_022_3	1	20	Bacteria	Bacteroidota	Bacteria	Gammaproteobacteria
ASV_113_16S_022_3	OTU_29_18S_3_200	1	20	Bacteria	Planctomycetota	Eukaryota	Cryptophyta
ASV_113_16S_3_200	ASV_133_16S_3_200	4	80	Bacteria	Planctomycetota	Bacteria	Planctomycetota
ASV_1138_16S_3_200	OTU_3933_18S_3_200	1	20	Bacteria	Bacteroidota	Eukaryota	Dinoflagellata
ASV_1145_16S_022_3	OTU_1143_18S_022_3	1	20	Bacteria	Alphaproteobacteria	Eukaryota	Katablepharidophyta
ASV_1149_16S_022_3	ASV_705_16S_3_200	2	40	Bacteria	Gammaproteobacteria	Bacteria	Alphaproteobacteria
ASV_1158_16S_022_3	ASV_2030_16S_022_3	1	20	Bacteria	Verrucomicrobiota	Bacteria	Bacteroidota
ASV_1173_16S_022_3	ASV_1287_16S_022_3	1	20	Bacteria	Alphaproteobacteria	Bacteria	Verrucomicrobiota
ASV_1186_16S_022_3	ASV_1781_16S_022_3	1	20	Bacteria	Alphaproteobacteria	Bacteria	Gammaproteobacteria
ASV_119_16S_022_3	ASV_122_16S_022_3	3	60	Bacteria	Bacteroidota	Bacteria	Bacteroidota
ASV_119_16S_022_3	ASV_199_16S_022_3	3	60	Bacteria	Bacteroidota	Bacteria	Bacteroidota
ASV_1193_16S_3_200	OTU_2058_18S_3_200	2	40	Bacteria	Gammaproteobacteria	Eukaryota	Dinoflagellata
ASV_1203_16S_022_3	ASV_1203_16S_3_200	1	20	Bacteria	Firmicutes	Bacteria	Firmicutes
ASV_121_16S_022_3	ASV_284_16S_022_3	2	40	Bacteria	Bacteroidota	Bacteria	Alphaproteobacteria
ASV_121_16S_022_3	ASV_358_16S_022_3	2	40	Bacteria	Bacteroidota	Bacteria	Bacteroidota
ASV_121_16S_022_3	ASV_452_16S_022_3	2	40	Bacteria	Bacteroidota	Bacteria	Alphaproteobacteria
ASV_121_16S_022_3	ASV_871_16S_022_3	2	40	Bacteria	Bacteroidota	Bacteria	Alphaproteobacteria
ASV_1212_16S_022_3	ASV_1250_16S_3_200	3	60	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_1212_16S_022_3	ASV_2007_16S_3_200	2	40	Bacteria	Alphaproteobacteria	Bacteria	Bacteroidota
ASV_122_16S_022_3	ASV_185_16S_022_3	2	40	Bacteria	Bacteroidota	Bacteria	Alphaproteobacteria
ASV_123_16S_022_3	ASV_175_16S_022_3	3	60	Bacteria	Dadabacteria	Bacteria	Alphaproteobacteria
ASV_123_16S_022_3	ASV_301_16S_022_3	3	60	Bacteria	Dadabacteria	Bacteria	Gammaproteobacteria
ASV_124_16S_022_3	ASV_1361_16S_022_3	1	20	Bacteria	Bacteroidota	Bacteria	Bacteroidota
ASV_124_16S_022_3	ASV_268_16S_022_3	2	40	Bacteria	Bacteroidota	Bacteria	Bacteroidota
ASV_124_16S_022_3	ASV_640_16S_022_3	2	40	Bacteria	Bacteroidota	Bacteria	Alphaproteobacteria
ASV_1244_16S_022_3	OTU_1562_18S_3_200	2	40	Bacteria	Alphaproteobacteria	Eukaryota	Dinoflagellata
ASV_1244_16S_022_3	OTU_487_18S_3_200	2	40	Bacteria	Alphaproteobacteria	Eukaryota	Dinoflagellata
ASV_1250_16S_022_3	ASV_1303_16S_022_3	2	40	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_1250_16S_022_3	ASV_1374_16S_022_3	1	20	Bacteria	Alphaproteobacteria	Bacteria	Bacteroidota
ASV_1257_16S_022_3	ASV_1332_16S_022_3	1	20	Bacteria	Bacteroidota	Bacteria	Gammaproteobacteria
ASV_1257_16S_022_3	ASV_2156_16S_3_200	1	20	Bacteria	Bacteroidota	Bacteria	Planctomycetota
ASV_126_16S_022_3	ASV_335_16S_022_3	2	40	Bacteria	Bacteroidota	Bacteria	Bacteroidota
ASV_126_16S_022_3	ASV_466_16S_022_3	2	40	Bacteria	Bacteroidota	Bacteria	Verrucomicrobiota
ASV_126_16S_022_3	OTU_162_18S_3_200	2	40	Bacteria	Bacteroidota	Eukaryota	Dinoflagellata
ASV_128_16S_022_3	ASV_238_16S_022_3	1	20	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_1287_16S_022_3	ASV_1676_16S_022_3	1	20	Bacteria	Verrucomicrobiota	Bacteria	Myxococcota
ASV_1287_16S_022_3	ASV_1894_16S_022_3	1	20	Bacteria	Verrucomicrobiota	Bacteria	Alphaproteobacteria
ASV_129_16S_022_3	ASV_605_16S_022_3	2	40	Bacteria	Bacteroidota	Bacteria	Bacteroidota
ASV_13_16S_022_3	ASV_1124_16S_3_200	2	40	Bacteria	Bacteroidota	Bacteria	Cyanobacteria
ASV_13_16S_022_3	ASV_14_16S_022_3	2	40	Bacteria	Bacteroidota	Bacteria	Bacteroidota
ASV_13_16S_022_3	ASV_1480_16S_3_200	2	40	Bacteria	Bacteroidota	Bacteria	Cyanobacteria
ASV_13_16S_022_3	ASV_890_16S_022_3	2	40	Bacteria	Bacteroidota	Bacteria	Alphaproteobacteria
ASV_130_16S_022_3	ASV_331_16S_022_3	1	20	Bacteria	Alphaproteobacteria	Bacteria	Bacteroidota
ASV_130_16S_022_3	ASV_932_16S_022_3	2	40	Bacteria	Alphaproteobacteria	Bacteria	Bacteroidota
ASV_1305_16S_022_3	ASV_140_16S_3_200	2	40	Bacteria	Alphaproteobacteria	Bacteria	Actinobacteriota
ASV_1305_16S_022_3	OTU_290_18S_3_200	1	20	Bacteria	Alphaproteobacteria	Eukaryota	Ochrophyta
ASV_131_16S_022_3	ASV_164_16S_022_3	5	100	Bacteria	Alphaproteobacteria	Bacteria	Gammaproteobacteria
ASV_1317_16S_022_3	ASV_1411_16S_022_3	1	20	Bacteria	Bacteroidota	Bacteria	Gammaproteobacteria
ASV_132_16S_022_3	ASV_396_16S_022_3	3	60	Archaea	Thermoplasmatota	Archaea	Thermoplasmatota
ASV_132_16S_022_3	ASV_430_16S_022_3	3	60	Archaea	Thermoplasmatota	Archaea	Thermoplasmatota
ASV_132_16S_022_3	OTU_95_18S_022_3	1	20	Archaea	Thermoplasmatota	Eukaryota	Dinoflagellata
ASV_1322_16S_022_3	ASV_1332_16S_022_3	2	40	Bacteria	Gammaproteobacteria	Bacteria	Gammaproteobacteria
ASV_1322_16S_022_3	OTU_453_18S_3_200	1	20	Bacteria	Gammaproteobacteria	Eukaryota	Dinoflagellata
ASV_1335_16S_022_3	ASV_1521_16S_022_3	1	20	Bacteria	Bacteroidota	Bacteria	Bacteroidota
ASV_1335_16S_022_3	ASV_1769_16S_022_3	1	20	Bacteria	Bacteroidota	Bacteria	Bacteroidota
ASV_1335_16S_022_3	OTU_910_18S_022_3	1	20	Bacteria	Bacteroidota	Eukaryota	Telonemia
ASV_134_16S_022_3	ASV_1250_16S_3_200	3	60	Bacteria	Cyanobacteria	Bacteria	Alphaproteobacteria
ASV_134_16S_022_3	ASV_139_16S_3_200	4	80	Bacteria	Cyanobacteria	Bacteria	Cyanobacteria
ASV_134_16S_022_3	ASV_784_16S_022_3	4	80	Bacteria	Cyanobacteria	Bacteria	Cyanobacteria
ASV_134_16S_022_3	ASV_899_16S_022_3	3	60	Bacteria	Cyanobacteria	Bacteria	Gammaproteobacteria
ASV_134_16S_3_200	ASV_139_16S_3_200	5	100	Bacteria	Cyanobacteria	Bacteria	Cyanobacteria
ASV_134_16S_3_200	ASV_307_16S_3_200	5	100	Bacteria	Cyanobacteria	Bacteria	Cyanobacteria
ASV_135_16S_022_3	ASV_904_16S_3_200	1	20	Bacteria	Bacteroidota	Bacteria	Alphaproteobacteria
ASV_136_16S_022_3	ASV_1250_16S_022_3	2	40	Bacteria	Bacteroidota	Bacteria	Alphaproteobacteria
ASV_136_16S_022_3	ASV_426_16S_022_3	2	40	Bacteria	Bacteroidota	Bacteria	Gammaproteobacteria
ASV_137_16S_022_3	ASV_574_16S_022_3	1	20	Bacteria	Bacteroidota	Bacteria	Bacteroidota
ASV_1375_16S_022_3	OTU_839_18S_3_200	1	20	Bacteria	Bacteroidota	Eukaryota	Dinoflagellata
ASV_138_16S_022_3	ASV_369_16S_022_3	2	40	Bacteria	Gammaproteobacteria	Bacteria	Bacteroidota
ASV_138_16S_022_3	ASV_561_16S_022_3	1	20	Bacteria	Gammaproteobacteria	Bacteria	Bacteroidota
ASV_1380_16S_022_3	ASV_1287_16S_3_200	1	20	Bacteria	Alphaproteobacteria	Bacteria	Verrucomicrobiota
ASV_1380_16S_022_3	OTU_213_18S_3_200	1	20	Bacteria	Alphaproteobacteria	Eukaryota	Ochrophyta
ASV_1380_16S_022_3	OTU_351_18S_022_3	1	20	Bacteria	Alphaproteobacteria	Eukaryota	Ciliophora
ASV_1380_16S_022_3	OTU_537_18S_022_3	1	20	Bacteria	Alphaproteobacteria	Eukaryota	Cercozoa
ASV_139_16S_022_3	ASV_134_16S_3_200	4	80	Bacteria	Cyanobacteria	Bacteria	Cyanobacteria
ASV_139_16S_022_3	ASV_818_16S_022_3	4	80	Bacteria	Cyanobacteria	Bacteria	Alphaproteobacteria
ASV_1397_16S_022_3	ASV_523_16S_3_200	1	20	Bacteria	Bacteroidota	Bacteria	Gammaproteobacteria
ASV_1397_16S_022_3	OTU_107_18S_022_3	1	20	Bacteria	Bacteroidota	Eukaryota	Dinoflagellata
ASV_14_16S_022_3	ASV_217_16S_022_3	3	60	Bacteria	Bacteroidota	Bacteria	Gammaproteobacteria
ASV_14_16S_022_3	ASV_690_16S_022_3	1	20	Bacteria	Bacteroidota	Bacteria	Gammaproteobacteria
ASV_14_16S_022_3	ASV_89_16S_022_3	3	60	Bacteria	Bacteroidota	Bacteria	Gammaproteobacteria
ASV_1411_16S_022_3	OTU_858_18S_3_200	1	20	Bacteria	Gammaproteobacteria	Eukaryota	Telonemia
ASV_1415_16S_022_3	ASV_888_16S_3_200	1	20	Bacteria	Bacteroidota	Bacteria	Alphaproteobacteria
ASV_1420_16S_022_3	ASV_1591_16S_3_200	1	20	Bacteria	Cyanobacteria	Bacteria	Alphaproteobacteria
ASV_144_16S_022_3	ASV_144_16S_3_200	2	40	Bacteria	Gammaproteobacteria	Bacteria	Gammaproteobacteria
ASV_144_16S_022_3	ASV_161_16S_022_3	2	40	Bacteria	Gammaproteobacteria	Bacteria	Alphaproteobacteria
ASV_1443_16S_022_3	ASV_1769_16S_022_3	1	20	Bacteria	Myxococcota	Bacteria	Bacteroidota
ASV_1443_16S_022_3	ASV_1894_16S_022_3	1	20	Bacteria	Myxococcota	Bacteria	Alphaproteobacteria
ASV_1446_16S_022_3	ASV_1029_16S_3_200	1	20	Bacteria	Bacteroidota	Bacteria	Planctomycetota
ASV_1446_16S_022_3	OTU_652_18S_022_3	2	40	Bacteria	Bacteroidota	Eukaryota	Ochrophyta
ASV_145_16S_022_3	ASV_311_16S_022_3	2	40	Archaea	Thermoplasmatota	Archaea	Thermoplasmatota
ASV_145_16S_022_3	ASV_421_16S_022_3	1	20	Archaea	Thermoplasmatota	Bacteria	Marinimicrobia (SAR406 clade)
ASV_145_16S_022_3	ASV_723_16S_3_200	1	20	Archaea	Thermoplasmatota	Bacteria	Desulfobacterota
ASV_148_16S_022_3	ASV_204_16S_022_3	2	40	Bacteria	Dadabacteria	Bacteria	Marinimicrobia (SAR406 clade)
ASV_148_16S_022_3	ASV_553_16S_022_3	1	20	Bacteria	Dadabacteria	Bacteria	Chloroflexi
ASV_148_16S_022_3	ASV_697_16S_022_3	2	40	Bacteria	Dadabacteria	Bacteria	Bacteroidota
ASV_1480_16S_3_200	ASV_1821_16S_3_200	5	100	Bacteria	Cyanobacteria	Bacteria	Cyanobacteria
