Source	Target	Occurrence	Occurrence_Percentage	Source_Kingdom	Source_DivisionPhylum	Target_Kingdom	Target_DivisionPhylum
ASV_1_16S_022_3	ASV_20_16S_022_3	4	100	Bacteria	Cyanobacteria	Bacteria	Cyanobacteria
ASV_1_16S_022_3	ASV_34_16S_022_3	4	100	Bacteria	Cyanobacteria	Bacteria	Bacteroidota
ASV_10_16S_022_3	ASV_131_16S_022_3	4	100	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_101_16S_022_3	ASV_559_16S_3_200	2	50	Bacteria	Gammaproteobacteria	Bacteria	Planctomycetota
ASV_101_16S_022_3	OTU_455_18S_022_3	2	50	Bacteria	Gammaproteobacteria	Eukaryota	Ochrophyta
ASV_101_16S_3_200	OTU_997_18S_3_200	2	50	Bacteria	Gammaproteobacteria	Eukaryota	Dinoflagellata
ASV_102_16S_022_3	ASV_478_16S_022_3	3	75	Bacteria	Bacteroidota	Bacteria	Gammaproteobacteria
ASV_102_16S_022_3	ASV_673_16S_3_200	3	75	Bacteria	Bacteroidota	Bacteria	Bacteroidota
ASV_102_16S_022_3	ASV_793_16S_022_3	4	100	Bacteria	Bacteroidota	Bacteria	Alphaproteobacteria
ASV_1029_16S_022_3	OTU_106_18S_3_200	1	25	Bacteria	Planctomycetota	Eukaryota	Dinoflagellata
ASV_1029_16S_022_3	OTU_1202_18S_3_200	1	25	Bacteria	Planctomycetota	Eukaryota	Dinoflagellata
ASV_1047_16S_022_3	OTU_2848_18S_3_200	1	25	Bacteria	Gammaproteobacteria	Eukaryota	Pseudofungi
ASV_105_16S_022_3	OTU_129_18S_3_200	2	50	Bacteria	Alphaproteobacteria	Eukaryota	Dinoflagellata
ASV_1050_16S_022_3	ASV_348_16S_3_200	2	50	Bacteria	Alphaproteobacteria	Bacteria	Gammaproteobacteria
ASV_1050_16S_022_3	OTU_118_18S_3_200	1	25	Bacteria	Alphaproteobacteria	Eukaryota	Dinoflagellata
ASV_1050_16S_022_3	OTU_1390_18S_3_200	2	50	Bacteria	Alphaproteobacteria	Eukaryota	Dinoflagellata
ASV_1054_16S_022_3	ASV_1071_16S_022_3	3	75	Bacteria	Alphaproteobacteria	Bacteria	Bacteroidota
ASV_1054_16S_022_3	OTU_942_18S_022_3	3	75	Bacteria	Alphaproteobacteria	Eukaryota	Dinoflagellata
ASV_1059_16S_022_3	ASV_2134_16S_3_200	3	75	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_1059_16S_022_3	ASV_2288_16S_3_200	3	75	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_1059_16S_022_3	OTU_3133_18S_022_3	3	75	Bacteria	Alphaproteobacteria	Eukaryota	Rhodelphidia
ASV_1059_16S_022_3	OTU_338_18S_022_3	3	75	Bacteria	Alphaproteobacteria	Eukaryota	Ciliophora
ASV_1065_16S_022_3	OTU_1355_18S_3_200	1	25	Bacteria	Bacteroidota	Eukaryota	Dinoflagellata
ASV_1065_16S_022_3	OTU_2750_18S_3_200	1	25	Bacteria	Bacteroidota	Eukaryota	Cercozoa
ASV_1065_16S_022_3	OTU_3422_18S_3_200	1	25	Bacteria	Bacteroidota	Eukaryota	Dinoflagellata
ASV_1067_16S_3_200	OTU_3774_18S_3_200	2	50	Bacteria	Bacteroidota	Eukaryota	Dinoflagellata
ASV_1067_16S_3_200	OTU_75_18S_3_200	2	50	Bacteria	Bacteroidota	Eukaryota	Dinoflagellata
ASV_1071_16S_022_3	ASV_1879_16S_3_200	3	75	Bacteria	Bacteroidota	Bacteria	Gammaproteobacteria
ASV_1071_16S_3_200	OTU_2253_18S_3_200	3	75	Bacteria	Bacteroidota	Eukaryota	Chlorophyta
ASV_1088_16S_022_3	OTU_997_18S_3_200	2	50	Bacteria	Alphaproteobacteria	Eukaryota	Dinoflagellata
ASV_109_16S_022_3	ASV_35_16S_3_200	4	100	Bacteria	Bacteroidota	Bacteria	Cyanobacteria
ASV_109_16S_022_3	ASV_408_16S_022_3	4	100	Bacteria	Bacteroidota	Bacteria	Bacteroidota
ASV_1092_16S_022_3	ASV_1426_16S_022_3	1	25	Bacteria	Alphaproteobacteria	Bacteria	Gammaproteobacteria
ASV_1092_16S_022_3	ASV_255_16S_3_200	1	25	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_1092_16S_022_3	OTU_92_18S_022_3	1	25	Bacteria	Alphaproteobacteria	Eukaryota	Opalozoa
ASV_11_16S_022_3	ASV_163_16S_022_3	1	25	Bacteria	Bacteroidota	Bacteria	Bacteroidota
ASV_11_16S_022_3	ASV_503_16S_022_3	1	25	Bacteria	Bacteroidota	Bacteria	Bacteroidota
ASV_11_16S_022_3	ASV_553_16S_022_3	1	25	Bacteria	Bacteroidota	Bacteria	Chloroflexi
ASV_110_16S_022_3	ASV_235_16S_022_3	1	25	Bacteria	Alphaproteobacteria	Bacteria	Bacteroidota
ASV_110_16S_022_3	ASV_325_16S_022_3	1	25	Bacteria	Alphaproteobacteria	Bacteria	Bacteroidota
ASV_110_16S_022_3	ASV_449_16S_022_3	1	25	Bacteria	Alphaproteobacteria	Bacteria	Bacteroidota
ASV_110_16S_022_3	ASV_537_16S_3_200	1	25	Bacteria	Alphaproteobacteria	Bacteria	Bacteroidota
ASV_1115_16S_022_3	OTU_550_18S_3_200	1	25	Bacteria	Alphaproteobacteria	Eukaryota	Dinoflagellata
ASV_112_16S_022_3	ASV_888_16S_3_200	1	25	Bacteria	Bacteroidota	Bacteria	Alphaproteobacteria
ASV_112_16S_022_3	OTU_5407_18S_3_200	1	25	Bacteria	Bacteroidota	Eukaryota	Ciliophora
ASV_113_16S_022_3	ASV_504_16S_022_3	1	25	Bacteria	Planctomycetota	Bacteria	Verrucomicrobiota
ASV_113_16S_3_200	ASV_133_16S_3_200	1	25	Bacteria	Planctomycetota	Bacteria	Planctomycetota
ASV_1138_16S_3_200	OTU_3933_18S_3_200	2	50	Bacteria	Bacteroidota	Eukaryota	Dinoflagellata
ASV_1139_16S_022_3	ASV_1382_16S_022_3	2	50	Bacteria	Gammaproteobacteria	Bacteria	Bacteroidota
ASV_1139_16S_022_3	OTU_1144_18S_022_3	2	50	Bacteria	Gammaproteobacteria	Eukaryota	Dinoflagellata
ASV_1139_16S_022_3	OTU_624_18S_3_200	2	50	Bacteria	Gammaproteobacteria	Eukaryota	Dinoflagellata
ASV_1139_16S_022_3	OTU_873_18S_022_3	1	25	Bacteria	Gammaproteobacteria	Eukaryota	Dinoflagellata
ASV_1143_16S_022_3	OTU_2284_18S_022_3	1	25	Bacteria	Alphaproteobacteria	Eukaryota	Dinoflagellata
ASV_1143_16S_022_3	OTU_2631_18S_3_200	1	25	Bacteria	Alphaproteobacteria	Eukaryota	Ochrophyta
ASV_1145_16S_022_3	OTU_1143_18S_022_3	1	25	Bacteria	Alphaproteobacteria	Eukaryota	Katablepharidophyta
ASV_1147_16S_022_3	ASV_1067_16S_3_200	2	50	Bacteria	Bacteroidota	Bacteria	Bacteroidota
ASV_1147_16S_022_3	OTU_207_18S_022_3	2	50	Bacteria	Bacteroidota	Eukaryota	Dinoflagellata
ASV_119_16S_022_3	ASV_122_16S_022_3	4	100	Bacteria	Bacteroidota	Bacteria	Bacteroidota
ASV_119_16S_022_3	ASV_199_16S_022_3	4	100	Bacteria	Bacteroidota	Bacteria	Bacteroidota
ASV_1190_16S_022_3	OTU_2009_18S_3_200	1	25	Bacteria	Gammaproteobacteria	Eukaryota	Dinoflagellata
ASV_1190_16S_022_3	OTU_817_18S_3_200	1	25	Bacteria	Gammaproteobacteria	Eukaryota	Dinoflagellata
ASV_1190_16S_022_3	OTU_887_18S_022_3	1	25	Bacteria	Gammaproteobacteria	Eukaryota	Ciliophora
ASV_1201_16S_022_3	ASV_1523_16S_022_3	1	25	Bacteria	Alphaproteobacteria	Bacteria	Gammaproteobacteria
ASV_1201_16S_022_3	ASV_1820_16S_022_3	1	25	Bacteria	Alphaproteobacteria	Bacteria	Gammaproteobacteria
ASV_1201_16S_022_3	OTU_2635_18S_3_200	1	25	Bacteria	Alphaproteobacteria	Eukaryota	Dinoflagellata
ASV_1201_16S_022_3	OTU_873_18S_022_3	1	25	Bacteria	Alphaproteobacteria	Eukaryota	Dinoflagellata
ASV_1201_16S_3_200	OTU_1917_18S_3_200	1	25	Bacteria	Alphaproteobacteria	Eukaryota	Dinoflagellata
ASV_1201_16S_3_200	OTU_3774_18S_3_200	2	50	Bacteria	Alphaproteobacteria	Eukaryota	Dinoflagellata
ASV_121_16S_022_3	ASV_284_16S_022_3	1	25	Bacteria	Bacteroidota	Bacteria	Alphaproteobacteria
ASV_121_16S_022_3	ASV_358_16S_022_3	1	25	Bacteria	Bacteroidota	Bacteria	Bacteroidota
ASV_121_16S_022_3	ASV_452_16S_022_3	1	25	Bacteria	Bacteroidota	Bacteria	Alphaproteobacteria
ASV_121_16S_022_3	ASV_871_16S_022_3	1	25	Bacteria	Bacteroidota	Bacteria	Alphaproteobacteria
ASV_122_16S_022_3	ASV_185_16S_022_3	4	100	Bacteria	Bacteroidota	Bacteria	Alphaproteobacteria
ASV_1254_16S_022_3	ASV_888_16S_3_200	1	25	Bacteria	Bacteroidota	Bacteria	Alphaproteobacteria
ASV_126_16S_022_3	ASV_335_16S_022_3	2	50	Bacteria	Bacteroidota	Bacteria	Bacteroidota
ASV_126_16S_022_3	ASV_466_16S_022_3	2	50	Bacteria	Bacteroidota	Bacteria	Verrucomicrobiota
ASV_126_16S_022_3	OTU_162_18S_3_200	2	50	Bacteria	Bacteroidota	Eukaryota	Dinoflagellata
ASV_128_16S_022_3	ASV_238_16S_022_3	3	75	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_129_16S_022_3	ASV_605_16S_022_3	2	50	Bacteria	Bacteroidota	Bacteria	Bacteroidota
ASV_13_16S_022_3	ASV_1124_16S_3_200	1	25	Bacteria	Bacteroidota	Bacteria	Cyanobacteria
ASV_13_16S_022_3	ASV_14_16S_022_3	4	100	Bacteria	Bacteroidota	Bacteria	Bacteroidota
ASV_13_16S_022_3	ASV_890_16S_022_3	1	25	Bacteria	Bacteroidota	Bacteria	Alphaproteobacteria
ASV_130_16S_022_3	ASV_331_16S_022_3	2	50	Bacteria	Alphaproteobacteria	Bacteria	Bacteroidota
ASV_130_16S_022_3	ASV_932_16S_022_3	1	25	Bacteria	Alphaproteobacteria	Bacteria	Bacteroidota
ASV_131_16S_022_3	ASV_164_16S_022_3	3	75	Bacteria	Alphaproteobacteria	Bacteria	Gammaproteobacteria
ASV_132_16S_022_3	OTU_95_18S_022_3	1	25	Archaea	Thermoplasmatota	Eukaryota	Dinoflagellata
ASV_135_16S_022_3	ASV_904_16S_3_200	1	25	Bacteria	Bacteroidota	Bacteria	Alphaproteobacteria
ASV_136_16S_022_3	ASV_426_16S_022_3	1	25	Bacteria	Bacteroidota	Bacteria	Gammaproteobacteria
ASV_137_16S_022_3	ASV_574_16S_022_3	2	50	Bacteria	Bacteroidota	Bacteria	Bacteroidota
ASV_137_16S_022_3	OTU_4_18S_022_3	2	50	Bacteria	Bacteroidota	Eukaryota	Dinoflagellata
ASV_1382_16S_022_3	ASV_559_16S_3_200	2	50	Bacteria	Bacteroidota	Bacteria	Planctomycetota
