Source	Target	num_triplets	ENVs	MutualInformation	ConditionalMutualInformation	InteractionInformation	II_p_value	DataProcessingInequality_MI_rank	DataProcessingInequality_indirect	DPI_num_MI_rank1	DPI_num_MI_rank2	DPI_num_MI_rank3	COMBI_II_DPI	portion_nan_Source_Target	portion_nan_Source_Target_ENV
ASV_2_16S_022_3	ASV_6_16S_022_3	1	ENV_NO2	0.485888	0.072326	-0.413561	0.418581	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_3_16S_022_3	ASV_7_16S_022_3	1	ENV_NO2	0.679927	0.679717	-0.000210	0.667333	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_3_16S_022_3	ASV_8_16S_022_3	1	ENV_NO2	0.593437	0.156798	-0.436639	0.000999	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_4_16S_022_3	ASV_13_16S_022_3	1	ENV_NO2	0.617159	0.360482	-0.256677	0.418581	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_13_16S_022_3	ASV_14_16S_022_3	1	ENV_NO2	0.617159	0.692602	0.075444	nan	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_1_16S_022_3	ASV_20_16S_022_3	1	ENV_NO2	0.785546	0.735642	-0.049905	0.084915	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_19_16S_022_3	ASV_23_16S_022_3	1	ENV_NO2	0.629019	0.478742	-0.150276	0.667333	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_1_16S_022_3	ASV_34_16S_022_3	1	ENV_NO2	0.647130	0.813183	0.166053	nan	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_26_16S_022_3	ASV_35_16S_022_3	1	ENV_NO2	0.725830	0.334790	-0.391040	0.250749	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_20_16S_022_3	ASV_47_16S_022_3	1	ENV_NO2	0.425400	0.220984	-0.204417	0.416583	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
