Source	Target	num_triplets	ENVs	MutualInformation	ConditionalMutualInformation	InteractionInformation	II_p_value	DataProcessingInequality_MI_rank	DataProcessingInequality_indirect	DPI_num_MI_rank1	DPI_num_MI_rank2	DPI_num_MI_rank3	COMBI_II_DPI	portion_nan_Source_Target	portion_nan_Source_Target_ENV
ASV_2_16S_022_3	ASV_6_16S_022_3	1	ENV_Salinity	0.485888	0.194629	-0.291259	0.273726	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_3_16S_022_3	ASV_7_16S_022_3	1	ENV_Salinity	0.679927	0.214936	-0.464992	0.000999	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_3_16S_022_3	ASV_8_16S_022_3	1	ENV_Salinity	0.593437	0.192406	-0.401032	0.091908	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_4_16S_022_3	ASV_13_16S_022_3	1	ENV_Salinity	0.617159	0.365689	-0.251469	0.637363	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_13_16S_022_3	ASV_14_16S_022_3	1	ENV_Salinity	0.617159	0.345404	-0.271754	0.455544	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_1_16S_022_3	ASV_20_16S_022_3	1	ENV_Salinity	0.785546	0.321209	-0.464337	0.273726	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_19_16S_022_3	ASV_23_16S_022_3	1	ENV_Salinity	0.629019	0.513965	-0.115054	0.364635	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_1_16S_022_3	ASV_34_16S_022_3	1	ENV_Salinity	0.647130	0.442938	-0.204192	0.910090	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_26_16S_022_3	ASV_35_16S_022_3	1	ENV_Salinity	0.725830	0.854367	0.128537	nan	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_20_16S_022_3	ASV_47_16S_022_3	1	ENV_Salinity	0.425400	0.021284	-0.404116	0.091908	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_44_16S_022_3	ASV_51_16S_022_3	1	ENV_Salinity	0.182496	0.176319	-0.006177	0.637363	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_47_16S_022_3	ASV_57_16S_022_3	1	ENV_Salinity	0.737447	0.157385	-0.580063	0.000999	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_34_16S_022_3	ASV_60_16S_022_3	1	ENV_Salinity	0.717763	0.574510	-0.143253	0.819181	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_9_16S_022_3	ASV_65_16S_022_3	1	ENV_Salinity	0.677322	0.164926	-0.512396	0.000999	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
