Source	Target	num_triplets	ENVs	MutualInformation	ConditionalMutualInformation	InteractionInformation	II_p_value	DataProcessingInequality_MI_rank	DataProcessingInequality_indirect	DPI_num_MI_rank1	DPI_num_MI_rank2	DPI_num_MI_rank3	COMBI_II_DPI	portion_nan_Source_Target	portion_nan_Source_Target_ENV
ASV_2_16S_022_3	ASV_6_16S_022_3	1	ENV_Si	0.485888	1.012625	0.526737	nan	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_3_16S_022_3	ASV_7_16S_022_3	1	ENV_Si	0.679927	0.414521	-0.265407	0.053946	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_3_16S_022_3	ASV_8_16S_022_3	1	ENV_Si	0.593437	0.407590	-0.185848	0.125874	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_4_16S_022_3	ASV_13_16S_022_3	1	ENV_Si	0.617159	0.334190	-0.282968	0.250749	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_13_16S_022_3	ASV_14_16S_022_3	1	ENV_Si	0.617159	0.335661	-0.281497	0.340659	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_1_16S_022_3	ASV_20_16S_022_3	1	ENV_Si	0.785546	0.323338	-0.462208	0.070929	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_19_16S_022_3	ASV_23_16S_022_3	1	ENV_Si	0.629019	0.377738	-0.251281	0.626374	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_1_16S_022_3	ASV_34_16S_022_3	1	ENV_Si	0.647130	0.529701	-0.117429	0.160839	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_26_16S_022_3	ASV_35_16S_022_3	1	ENV_Si	0.725830	0.587844	-0.137986	0.340659	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_20_16S_022_3	ASV_47_16S_022_3	1	ENV_Si	0.425400	0.485009	0.059609	nan	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_44_16S_022_3	ASV_51_16S_022_3	1	ENV_Si	0.182496	-0.004908	-0.187404	0.875125	1.000000	0.000000	1	0	0	1.000000	0.000000	0.000000
ASV_47_16S_022_3	ASV_57_16S_022_3	1	ENV_Si	0.737447	0.052050	-0.685397	0.445554	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_34_16S_022_3	ASV_60_16S_022_3	1	ENV_Si	0.717763	0.310863	-0.406900	0.357642	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_9_16S_022_3	ASV_65_16S_022_3	1	ENV_Si	0.677322	0.654894	-0.022428	0.839161	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_34_16S_022_3	ASV_72_16S_022_3	1	ENV_Si	0.758601	0.246825	-0.511777	0.161838	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_30_16S_022_3	ASV_81_16S_022_3	1	ENV_Si	0.604538	0.334466	-0.270072	0.482517	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_32_16S_022_3	ASV_81_16S_022_3	1	ENV_Si	0.863480	0.497984	-0.365496	0.482517	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_27_16S_022_3	ASV_83_16S_022_3	1	ENV_Si	0.649150	0.328422	-0.320728	0.143856	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_78_16S_022_3	ASV_83_16S_022_3	1	ENV_Si	0.519000	0.205966	-0.313033	0.054945	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
