Source	Target	num_triplets	ENVs	MutualInformation	ConditionalMutualInformation	InteractionInformation	II_p_value	DataProcessingInequality_MI_rank	DataProcessingInequality_indirect	DPI_num_MI_rank1	DPI_num_MI_rank2	DPI_num_MI_rank3	COMBI_II_DPI	portion_nan_Source_Target	portion_nan_Source_Target_ENV
ASV_2_16S_022_3	ASV_6_16S_022_3	1	ENV_Temperature	0.485888	0.678982	0.193095	nan	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_3_16S_022_3	ASV_7_16S_022_3	1	ENV_Temperature	0.679927	0.350765	-0.329162	0.000999	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_3_16S_022_3	ASV_8_16S_022_3	1	ENV_Temperature	0.593437	0.232358	-0.361080	0.000999	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_4_16S_022_3	ASV_13_16S_022_3	1	ENV_Temperature	0.617159	0.367768	-0.249390	0.500500	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_13_16S_022_3	ASV_14_16S_022_3	1	ENV_Temperature	0.617159	0.372146	-0.245013	0.428571	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_1_16S_022_3	ASV_20_16S_022_3	1	ENV_Temperature	0.785546	0.479504	-0.306042	0.429570	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_19_16S_022_3	ASV_23_16S_022_3	1	ENV_Temperature	0.629019	0.224997	-0.404021	0.572428	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_1_16S_022_3	ASV_34_16S_022_3	1	ENV_Temperature	0.647130	0.401520	-0.245610	0.572428	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_26_16S_022_3	ASV_35_16S_022_3	1	ENV_Temperature	0.725830	0.079990	-0.645839	0.000999	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_20_16S_022_3	ASV_47_16S_022_3	1	ENV_Temperature	0.425400	0.113890	-0.311511	0.000999	2.000000	1.000000	0	1	0	1.000000	0.000000	0.000000
ASV_44_16S_022_3	ASV_51_16S_022_3	1	ENV_Temperature	0.182496	0.219641	0.037145	nan	2.000000	1.000000	0	1	0	1.000000	0.000000	0.000000
ASV_47_16S_022_3	ASV_57_16S_022_3	1	ENV_Temperature	0.737447	0.172860	-0.564588	0.072927	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_34_16S_022_3	ASV_60_16S_022_3	1	ENV_Temperature	0.717763	0.975648	0.257886	nan	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_9_16S_022_3	ASV_65_16S_022_3	1	ENV_Temperature	0.677322	0.189914	-0.487408	0.071928	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_34_16S_022_3	ASV_72_16S_022_3	1	ENV_Temperature	0.758601	0.704054	-0.054547	0.500500	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_30_16S_022_3	ASV_81_16S_022_3	1	ENV_Temperature	0.604538	0.126679	-0.477859	0.000999	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_32_16S_022_3	ASV_81_16S_022_3	1	ENV_Temperature	0.863480	0.205166	-0.658314	0.000999	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_27_16S_022_3	ASV_83_16S_022_3	1	ENV_Temperature	0.649150	0.664260	0.015110	nan	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_78_16S_022_3	ASV_83_16S_022_3	1	ENV_Temperature	0.519000	0.245523	-0.273476	0.142857	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_14_16S_022_3	ASV_89_16S_022_3	1	ENV_Temperature	0.694425	0.672612	-0.021813	0.786214	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_25_16S_022_3	ASV_89_16S_022_3	1	ENV_Temperature	0.810153	0.457772	-0.352381	0.429570	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_32_16S_022_3	ASV_93_16S_022_3	1	ENV_Temperature	1.032176	0.338867	-0.693310	0.000999	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_88_16S_022_3	ASV_101_16S_022_3	1	ENV_Temperature	0.542557	0.000000	-0.542557	0.571429	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_8_16S_022_3	ASV_105_16S_022_3	1	ENV_Temperature	0.381678	0.085206	-0.296471	0.071928	2.000000	1.000000	0	1	0	1.000000	0.000000	0.000000
ASV_57_16S_022_3	ASV_122_16S_022_3	1	ENV_Temperature	0.453598	0.047700	-0.405898	0.000999	2.000000	1.000000	0	1	0	1.000000	0.000000	0.000000
ASV_119_16S_022_3	ASV_122_16S_022_3	1	ENV_Temperature	0.649691	0.202754	-0.446937	0.285714	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_57_16S_022_3	ASV_123_16S_022_3	1	ENV_Temperature	0.662935	0.037492	-0.625443	0.000999	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_99_16S_022_3	ASV_123_16S_022_3	1	ENV_Temperature	0.813038	0.214839	-0.598198	0.000999	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_66_16S_022_3	ASV_124_16S_022_3	1	ENV_Temperature	0.688487	0.820930	0.132443	nan	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_19_16S_022_3	ASV_126_16S_022_3	1	ENV_Temperature	0.848331	0.253386	-0.594945	0.142857	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_68_16S_022_3	ASV_128_16S_022_3	1	ENV_Temperature	1.013428	0.386000	-0.627428	0.357642	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_9_16S_022_3	ASV_129_16S_022_3	1	ENV_Temperature	0.875171	0.308939	-0.566232	0.143856	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_75_16S_022_3	ASV_129_16S_022_3	1	ENV_Temperature	0.695917	0.180440	-0.515477	0.000999	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_10_16S_022_3	ASV_131_16S_022_3	1	ENV_Temperature	0.711994	0.348166	-0.363829	0.071928	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_45_16S_022_3	ASV_135_16S_022_3	1	ENV_Temperature	0.589463	0.210339	-0.379125	0.071928	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_66_16S_022_3	ASV_139_16S_022_3	1	ENV_Temperature	0.783264	0.763780	-0.019484	0.571429	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_23_16S_022_3	ASV_149_16S_022_3	1	ENV_Temperature	0.763461	0.299007	-0.464454	0.358641	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_2_16S_022_3	ASV_156_16S_022_3	1	ENV_Temperature	0.545441	0.298564	-0.246877	0.072927	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_33_16S_022_3	ASV_156_16S_022_3	1	ENV_Temperature	0.539841	0.205430	-0.334411	0.143856	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_54_16S_022_3	ASV_156_16S_022_3	1	ENV_Temperature	0.580606	0.125884	-0.454722	0.214785	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_15_16S_022_3	ASV_158_16S_022_3	1	ENV_Temperature	0.676736	0.310838	-0.365898	0.072927	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_93_16S_022_3	ASV_160_16S_022_3	1	ENV_Temperature	0.742991	0.288877	-0.454113	0.213786	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_144_16S_022_3	ASV_161_16S_022_3	1	ENV_Temperature	0.797950	0.439511	-0.358439	0.357642	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_11_16S_022_3	ASV_163_16S_022_3	1	ENV_Temperature	0.695917	0.272806	-0.423111	0.501499	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_45_16S_022_3	ASV_164_16S_022_3	1	ENV_Temperature	0.389849	0.370189	-0.019660	0.285714	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_131_16S_022_3	ASV_164_16S_022_3	1	ENV_Temperature	0.284976	0.182405	-0.102571	0.214785	2.000000	1.000000	0	1	0	1.000000	0.000000	0.000000
