Source	Target	num_triplets	ENVs	MutualInformation	ConditionalMutualInformation	InteractionInformation	II_p_value	DataProcessingInequality_MI_rank	DataProcessingInequality_indirect	DPI_num_MI_rank1	DPI_num_MI_rank2	DPI_num_MI_rank3	COMBI_II_DPI	portion_nan_Source_Target	portion_nan_Source_Target_ENV
ASV_2_16S_022_3	ASV_6_16S_022_3	1	ENV_daylength	0.485888	0.610777	0.124890	nan	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_3_16S_022_3	ASV_7_16S_022_3	1	ENV_daylength	0.679927	0.464545	-0.215382	0.050949	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_3_16S_022_3	ASV_8_16S_022_3	1	ENV_daylength	0.593437	0.250619	-0.342819	0.000999	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_4_16S_022_3	ASV_13_16S_022_3	1	ENV_daylength	0.617159	0.167250	-0.449909	0.050949	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_13_16S_022_3	ASV_14_16S_022_3	1	ENV_daylength	0.617159	0.190236	-0.426923	0.200799	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_1_16S_022_3	ASV_20_16S_022_3	1	ENV_daylength	0.785546	0.516263	-0.269283	0.250749	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_19_16S_022_3	ASV_23_16S_022_3	1	ENV_daylength	0.629019	0.525517	-0.103501	0.550450	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_1_16S_022_3	ASV_34_16S_022_3	1	ENV_daylength	0.647130	0.397753	-0.249378	0.550450	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_26_16S_022_3	ASV_35_16S_022_3	1	ENV_daylength	0.725830	1.023344	0.297514	nan	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_20_16S_022_3	ASV_47_16S_022_3	1	ENV_daylength	0.425400	0.322035	-0.103365	0.900100	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_44_16S_022_3	ASV_51_16S_022_3	1	ENV_daylength	0.182496	0.072149	-0.110347	0.050949	2.000000	1.000000	0	1	0	1.000000	0.000000	0.000000
ASV_47_16S_022_3	ASV_57_16S_022_3	1	ENV_daylength	0.737447	0.779816	0.042368	nan	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_34_16S_022_3	ASV_60_16S_022_3	1	ENV_daylength	0.717763	0.527435	-0.190328	0.600400	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_9_16S_022_3	ASV_65_16S_022_3	1	ENV_daylength	0.677322	0.213805	-0.463517	0.000999	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_34_16S_022_3	ASV_72_16S_022_3	1	ENV_daylength	0.758601	0.521782	-0.236820	0.700300	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_30_16S_022_3	ASV_81_16S_022_3	1	ENV_daylength	0.604538	0.416072	-0.188465	0.600400	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_32_16S_022_3	ASV_81_16S_022_3	1	ENV_daylength	0.863480	0.608425	-0.255055	0.500500	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_27_16S_022_3	ASV_83_16S_022_3	1	ENV_daylength	0.649150	0.329655	-0.319495	0.100899	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_78_16S_022_3	ASV_83_16S_022_3	1	ENV_daylength	0.519000	0.564427	0.045428	nan	2.000000	1.000000	0	1	0	1.000000	0.000000	0.000000
ASV_14_16S_022_3	ASV_89_16S_022_3	1	ENV_daylength	0.694425	0.254458	-0.439966	0.050949	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_25_16S_022_3	ASV_89_16S_022_3	1	ENV_daylength	0.810153	0.308255	-0.501899	0.000999	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_32_16S_022_3	ASV_93_16S_022_3	1	ENV_daylength	1.032176	0.777619	-0.254557	0.500500	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_88_16S_022_3	ASV_101_16S_022_3	1	ENV_daylength	0.542557	0.000000	-0.542557	1.000000	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_8_16S_022_3	ASV_105_16S_022_3	1	ENV_daylength	0.381678	0.084136	-0.297542	0.050949	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_57_16S_022_3	ASV_122_16S_022_3	1	ENV_daylength	0.453598	0.241805	-0.211793	0.550450	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_119_16S_022_3	ASV_122_16S_022_3	1	ENV_daylength	0.649691	0.939982	0.290290	nan	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_57_16S_022_3	ASV_123_16S_022_3	1	ENV_daylength	0.662935	0.703582	0.040647	nan	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_99_16S_022_3	ASV_123_16S_022_3	1	ENV_daylength	0.813038	0.800040	-0.012997	0.450549	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_66_16S_022_3	ASV_124_16S_022_3	1	ENV_daylength	0.688487	1.606345	0.917858	nan	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_19_16S_022_3	ASV_126_16S_022_3	1	ENV_daylength	0.848331	0.421175	-0.427156	0.050949	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_68_16S_022_3	ASV_128_16S_022_3	1	ENV_daylength	1.013428	0.223564	-0.789864	0.100899	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_9_16S_022_3	ASV_129_16S_022_3	1	ENV_daylength	0.875171	0.337573	-0.537598	0.450549	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_75_16S_022_3	ASV_129_16S_022_3	1	ENV_daylength	0.695917	0.439605	-0.256311	0.650350	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_10_16S_022_3	ASV_131_16S_022_3	1	ENV_daylength	0.711994	0.334587	-0.377408	0.050949	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_45_16S_022_3	ASV_135_16S_022_3	1	ENV_daylength	0.589463	0.300743	-0.288720	0.050949	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_66_16S_022_3	ASV_139_16S_022_3	1	ENV_daylength	0.783264	0.345861	-0.437403	0.450549	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_23_16S_022_3	ASV_149_16S_022_3	1	ENV_daylength	0.763461	0.715961	-0.047500	0.450549	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_2_16S_022_3	ASV_156_16S_022_3	1	ENV_daylength	0.545441	0.487926	-0.057515	0.600400	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_33_16S_022_3	ASV_156_16S_022_3	1	ENV_daylength	0.539841	0.391938	-0.147903	0.450549	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_54_16S_022_3	ASV_156_16S_022_3	1	ENV_daylength	0.580606	0.477018	-0.103588	0.550450	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_15_16S_022_3	ASV_158_16S_022_3	1	ENV_daylength	0.676736	0.357996	-0.318740	0.400599	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_93_16S_022_3	ASV_160_16S_022_3	1	ENV_daylength	0.742991	0.115525	-0.627466	0.250749	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_144_16S_022_3	ASV_161_16S_022_3	1	ENV_daylength	0.797950	0.461533	-0.336416	0.350649	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_11_16S_022_3	ASV_163_16S_022_3	1	ENV_daylength	0.695917	-0.067578	-0.763494	0.100899	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_45_16S_022_3	ASV_164_16S_022_3	1	ENV_daylength	0.389849	0.339570	-0.050279	0.050949	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_131_16S_022_3	ASV_164_16S_022_3	1	ENV_daylength	0.284976	0.165137	-0.119839	0.000999	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_17_16S_022_3	ASV_166_16S_022_3	1	ENV_daylength	0.231999	0.044301	-0.187698	0.250749	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_61_16S_022_3	ASV_168_16S_022_3	1	ENV_daylength	0.564941	0.327978	-0.236963	0.350649	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_50_16S_022_3	ASV_169_16S_022_3	1	ENV_daylength	0.419309	0.232656	-0.186653	0.850150	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_72_16S_022_3	ASV_169_16S_022_3	1	ENV_daylength	0.684687	0.682517	-0.002170	0.900100	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_65_16S_022_3	ASV_175_16S_022_3	1	ENV_daylength	0.866443	0.625570	-0.240873	0.350649	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_123_16S_022_3	ASV_175_16S_022_3	1	ENV_daylength	0.682226	0.763441	0.081215	nan	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
