Source	Target	Occurrence	Occurrence_Percentage	Source_Kingdom	Source_DivisionPhylum	Target_Kingdom	Target_DivisionPhylum
ASV_1_16S_022_3	ASV_20_16S_022_3	8	100	Bacteria	Cyanobacteria	Bacteria	Cyanobacteria
ASV_1_16S_022_3	ASV_227_16S_3_200	7	87.5	Bacteria	Cyanobacteria	Bacteria	Bacteroidota
ASV_1_16S_022_3	ASV_34_16S_022_3	5	62.5	Bacteria	Cyanobacteria	Bacteria	Bacteroidota
ASV_10_16S_022_3	ASV_131_16S_022_3	8	100	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_1002_16S_022_3	OTU_858_18S_3_200	7	87.5	Bacteria	Verrucomicrobiota	Eukaryota	Telonemia
ASV_1028_16S_022_3	ASV_1348_16S_022_3	4	50	Bacteria	Gammaproteobacteria	Bacteria	Marinimicrobia (SAR406 clade)
ASV_1028_16S_022_3	OTU_1123_18S_022_3	4	50	Bacteria	Gammaproteobacteria	Eukaryota	Ochrophyta
ASV_1028_16S_022_3	OTU_1358_18S_022_3	4	50	Bacteria	Gammaproteobacteria	Eukaryota	Ochrophyta
ASV_1029_16S_022_3	OTU_1023_18S_3_200	2	25	Bacteria	Planctomycetota	Eukaryota	Dinoflagellata
ASV_1029_16S_022_3	OTU_106_18S_3_200	3	37.5	Bacteria	Planctomycetota	Eukaryota	Dinoflagellata
ASV_1029_16S_022_3	OTU_1202_18S_3_200	2	25	Bacteria	Planctomycetota	Eukaryota	Dinoflagellata
ASV_103_16S_022_3	ASV_539_16S_022_3	8	100	Bacteria	Gammaproteobacteria	Bacteria	Bacteroidota
ASV_103_16S_022_3	ASV_615_16S_022_3	8	100	Bacteria	Gammaproteobacteria	Bacteria	Alphaproteobacteria
ASV_103_16S_022_3	ASV_871_16S_022_3	8	100	Bacteria	Gammaproteobacteria	Bacteria	Alphaproteobacteria
ASV_103_16S_022_3	ASV_917_16S_022_3	7	87.5	Bacteria	Gammaproteobacteria	Bacteria	Alphaproteobacteria
ASV_1036_16S_022_3	ASV_1777_16S_022_3	4	50	Bacteria	Bacteroidota	Bacteria	Alphaproteobacteria
ASV_1036_16S_022_3	OTU_2155_18S_3_200	3	37.5	Bacteria	Bacteroidota	Eukaryota	Dinoflagellata
ASV_1037_16S_022_3	ASV_1769_16S_022_3	5	62.5	Bacteria	Bacteroidota	Bacteria	Bacteroidota
ASV_104_16S_022_3	ASV_1226_16S_3_200	3	37.5	Bacteria	Alphaproteobacteria	Bacteria	Firmicutes
ASV_1042_16S_022_3	ASV_96_16S_3_200	2	25	Bacteria	Bacteroidota	Bacteria	Planctomycetota
ASV_1042_16S_022_3	OTU_5090_18S_3_200	4	50	Bacteria	Bacteroidota	Eukaryota	Ciliophora
ASV_1043_16S_022_3	OTU_1263_18S_022_3	2	25	Bacteria	Actinobacteriota	Eukaryota	Dinoflagellata
ASV_1043_16S_022_3	OTU_1575_18S_022_3	1	12.5	Bacteria	Actinobacteriota	Eukaryota	Dinoflagellata
ASV_1043_16S_022_3	OTU_2317_18S_022_3	1	12.5	Bacteria	Actinobacteriota	Eukaryota	Dinoflagellata
ASV_1043_16S_022_3	OTU_493_18S_022_3	1	12.5	Bacteria	Actinobacteriota	Eukaryota	Dinoflagellata
ASV_1044_16S_022_3	OTU_1844_18S_022_3	6	75	Bacteria	PAUC34f	Eukaryota	Dinoflagellata
ASV_1047_16S_022_3	OTU_2848_18S_3_200	1	12.5	Bacteria	Gammaproteobacteria	Eukaryota	Pseudofungi
ASV_1049_16S_022_3	ASV_1411_16S_022_3	5	62.5	Bacteria	Actinobacteriota	Bacteria	Gammaproteobacteria
ASV_105_16S_022_3	OTU_129_18S_3_200	8	100	Bacteria	Alphaproteobacteria	Eukaryota	Dinoflagellata
ASV_1055_16S_022_3	ASV_1107_16S_3_200	4	50	Bacteria	Bacteroidota	Bacteria	Gammaproteobacteria
ASV_1055_16S_022_3	ASV_1589_16S_022_3	4	50	Bacteria	Bacteroidota	Bacteria	Alphaproteobacteria
ASV_1055_16S_022_3	ASV_1869_16S_022_3	4	50	Bacteria	Bacteroidota	Bacteria	Marinimicrobia (SAR406 clade)
