Source	Target	Occurrence	Occurrence_Percentage	Source_Kingdom	Source_DivisionPhylum	Target_Kingdom	Target_DivisionPhylum
ASV_10_16S_022_3	ASV_128_16S_022_3	8	100	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_10_16S_022_3	ASV_68_16S_022_3	8	100	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_100_16S_022_3	ASV_359_16S_3_200	1	12.5	Bacteria	Gammaproteobacteria	Bacteria	Cyanobacteria
ASV_100_16S_022_3	OTU_2605_18S_3_200	2	25	Bacteria	Gammaproteobacteria	Eukaryota	Haptophyta
ASV_100_16S_022_3	OTU_3421_18S_3_200	1	12.5	Bacteria	Gammaproteobacteria	Eukaryota	Ochrophyta
ASV_100_16S_022_3	OTU_7002_18S_022_3	2	25	Bacteria	Gammaproteobacteria	Eukaryota	Cercozoa
ASV_1000_16S_022_3	ASV_1423_16S_022_3	1	12.5	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_1003_16S_022_3	OTU_1659_18S_3_200	2	25	Bacteria	Cyanobacteria	Eukaryota	Dinoflagellata
ASV_1008_16S_022_3	OTU_3772_18S_022_3	1	12.5	Bacteria	Alphaproteobacteria	Eukaryota	Ochrophyta
ASV_1008_16S_022_3	OTU_7991_18S_3_200	1	12.5	Bacteria	Alphaproteobacteria	Eukaryota	Ochrophyta
ASV_101_16S_022_3	ASV_433_16S_022_3	8	100	Bacteria	Gammaproteobacteria	Bacteria	Alphaproteobacteria
ASV_1014_16S_022_3	OTU_192_18S_3_200	1	12.5	Bacteria	Cyanobacteria	Eukaryota	Ochrophyta
ASV_1018_16S_022_3	ASV_1342_16S_022_3	2	25	Bacteria	Bacteroidota	Bacteria	Alphaproteobacteria
ASV_1019_16S_022_3	OTU_1854_18S_3_200	1	12.5	Bacteria	Marinimicrobia (SAR406 clade)	Eukaryota	Ochrophyta
ASV_1019_16S_022_3	OTU_258_18S_3_200	1	12.5	Bacteria	Marinimicrobia (SAR406 clade)	Eukaryota	Ciliophora
ASV_1019_16S_022_3	OTU_2754_18S_3_200	1	12.5	Bacteria	Marinimicrobia (SAR406 clade)	Eukaryota	Ochrophyta
ASV_1025_16S_022_3	ASV_1398_16S_022_3	7	87.5	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_1025_16S_022_3	ASV_2171_16S_022_3	6	75	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_1026_16S_022_3	OTU_2752_18S_3_200	1	12.5	Bacteria	Alphaproteobacteria	Eukaryota	Chlorophyta
ASV_103_16S_022_3	ASV_198_16S_022_3	7	87.5	Bacteria	Gammaproteobacteria	Bacteria	Marinimicrobia (SAR406 clade)
ASV_103_16S_022_3	OTU_4111_18S_022_3	1	12.5	Bacteria	Gammaproteobacteria	Eukaryota	Cercozoa
ASV_1031_16S_022_3	OTU_1438_18S_3_200	3	37.5	Bacteria	Alphaproteobacteria	Eukaryota	Sagenista
ASV_1032_16S_022_3	ASV_1252_16S_022_3	2	25	Bacteria	Marinimicrobia (SAR406 clade)	Bacteria	Alphaproteobacteria
ASV_1032_16S_022_3	ASV_1669_16S_022_3	1	12.5	Bacteria	Marinimicrobia (SAR406 clade)	Bacteria	Marinimicrobia (SAR406 clade)
ASV_1032_16S_022_3	OTU_1736_18S_022_3	2	25	Bacteria	Marinimicrobia (SAR406 clade)	Eukaryota	Cercozoa
ASV_1032_16S_022_3	OTU_201_18S_022_3	2	25	Bacteria	Marinimicrobia (SAR406 clade)	Eukaryota	Dinoflagellata
ASV_1033_16S_022_3	ASV_1690_16S_022_3	2	25	Bacteria	Bacteroidota	Bacteria	Alphaproteobacteria
ASV_1035_16S_022_3	ASV_1787_16S_022_3	3	37.5	Bacteria	Alphaproteobacteria	Bacteria	Planctomycetota
ASV_1053_16S_022_3	ASV_1230_16S_022_3	1	12.5	Archaea	Thermoplasmatota	Bacteria	Alphaproteobacteria
ASV_1053_16S_022_3	OTU_3627_18S_022_3	1	12.5	Archaea	Thermoplasmatota	Eukaryota	Sagenista
ASV_1053_16S_022_3	OTU_58_18S_022_3	1	12.5	Archaea	Thermoplasmatota	Eukaryota	Ochrophyta
ASV_1056_16S_022_3	ASV_1033_16S_3_200	2	25	Bacteria	Planctomycetota	Bacteria	Bacteroidota
ASV_1056_16S_022_3	OTU_638_18S_022_3	1	12.5	Bacteria	Planctomycetota	Eukaryota	Sagenista
ASV_106_16S_022_3	ASV_1324_16S_022_3	3	37.5	Bacteria	Bacteroidota	Bacteria	Actinobacteriota
ASV_106_16S_022_3	ASV_1991_16S_022_3	4	50	Bacteria	Bacteroidota	Bacteria	Alphaproteobacteria
ASV_1069_16S_022_3	OTU_1062_18S_022_3	2	25	Bacteria	Marinimicrobia (SAR406 clade)	Eukaryota	Dinoflagellata
ASV_1069_16S_022_3	OTU_1616_18S_022_3	2	25	Bacteria	Marinimicrobia (SAR406 clade)	Eukaryota	Dinoflagellata
ASV_1069_16S_022_3	OTU_252_18S_3_200	2	25	Bacteria	Marinimicrobia (SAR406 clade)	Eukaryota	Ochrophyta
ASV_1069_16S_022_3	OTU_391_18S_022_3	2	25	Bacteria	Marinimicrobia (SAR406 clade)	Eukaryota	Dinoflagellata
ASV_1070_16S_022_3	ASV_1319_16S_022_3	2	25	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_1070_16S_022_3	ASV_1868_16S_022_3	3	37.5	Bacteria	Alphaproteobacteria	Bacteria	Gammaproteobacteria
ASV_1073_16S_022_3	ASV_1875_16S_022_3	5	62.5	Bacteria	Gammaproteobacteria	Bacteria	Alphaproteobacteria
ASV_1073_16S_022_3	OTU_1052_18S_022_3	4	50	Bacteria	Gammaproteobacteria	Eukaryota	Dinoflagellata
ASV_1073_16S_022_3	OTU_1965_18S_022_3	5	62.5	Bacteria	Gammaproteobacteria	Eukaryota	Ochrophyta
ASV_1074_16S_022_3	OTU_1057_18S_022_3	1	12.5	Bacteria	Bacteroidota	Eukaryota	Dinoflagellata
ASV_1080_16S_022_3	OTU_1361_18S_3_200	1	12.5	Bacteria	Gammaproteobacteria	Eukaryota	Dinoflagellata
