Source	Target	association_score
ASV_10_16S_022_3	ASV_68_16S_022_3	0.952161478707018
ASV_13_16S_022_3	ASV_91_16S_022_3	0.630048155784607
ASV_77_16S_022_3	ASV_107_16S_022_3	0.816791389124318
ASV_56_16S_022_3	ASV_125_16S_022_3	0.746903955936432
ASV_10_16S_022_3	ASV_128_16S_022_3	0.819535053805344
ASV_128_16S_022_3	ASV_159_16S_022_3	0.67879
ASV_43_16S_022_3	ASV_173_16S_022_3	0.825358088385562
ASV_103_16S_022_3	ASV_198_16S_022_3	0.746736474003712
ASV_191_16S_022_3	ASV_205_16S_022_3	0.760247039119558
ASV_70_16S_022_3	ASV_213_16S_022_3	0.786708348580244
ASV_97_16S_022_3	ASV_216_16S_022_3	-0.563813865184784
ASV_163_16S_022_3	ASV_216_16S_022_3	-0.743872146733143
ASV_56_16S_022_3	ASV_219_16S_022_3	0.597372472286224
ASV_91_16S_022_3	ASV_219_16S_022_3	0.859111153185118
ASV_204_16S_022_3	ASV_224_16S_022_3	0.757253799280748
ASV_160_16S_022_3	ASV_233_16S_022_3	0.914555430412292
ASV_198_16S_022_3	ASV_240_16S_022_3	0.859845695296051
ASV_219_16S_022_3	ASV_254_16S_022_3	0.786430125462969
ASV_155_16S_022_3	ASV_260_16S_022_3	0.615441620349884
ASV_182_16S_022_3	ASV_271_16S_022_3	0.53357532916677
ASV_96_16S_022_3	ASV_279_16S_022_3	0.536831974983215
ASV_175_16S_022_3	ASV_282_16S_022_3	0.784282707544326
ASV_281_16S_022_3	ASV_285_16S_022_3	0.789616447760299
ASV_111_16S_022_3	ASV_299_16S_022_3	0.836897810540674
ASV_49_16S_022_3	ASV_306_16S_022_3	0.670655786991119
ASV_91_16S_022_3	ASV_306_16S_022_3	0.570200383663177
ASV_182_16S_022_3	ASV_319_16S_022_3	0.768093335785445
ASV_217_16S_022_3	ASV_323_16S_022_3	0.791950759475541
ASV_241_16S_022_3	ASV_329_16S_022_3	0.922629953742428
ASV_155_16S_022_3	ASV_336_16S_022_3	0.695068657398224
ASV_299_16S_022_3	ASV_341_16S_022_3	0.562888023224762
ASV_328_16S_022_3	ASV_342_16S_022_3	0.949204724714465
ASV_209_16S_022_3	ASV_346_16S_022_3	0.78435874248344
ASV_160_16S_022_3	ASV_362_16S_022_3	0.974623625049914
ASV_198_16S_022_3	ASV_362_16S_022_3	0.666879374164094
ASV_260_16S_022_3	ASV_362_16S_022_3	0.868525869532648
ASV_159_16S_022_3	ASV_375_16S_022_3	0.883517801761627
ASV_376_16S_022_3	ASV_393_16S_022_3	0.818687677383423
ASV_111_16S_022_3	ASV_395_16S_022_3	0.956461250782013
ASV_330_16S_022_3	ASV_400_16S_022_3	-0.773919857795132
ASV_190_16S_022_3	ASV_403_16S_022_3	0.762258709197643
ASV_299_16S_022_3	ASV_403_16S_022_3	0.605481336823353
ASV_232_16S_022_3	ASV_404_16S_022_3	0.769001886400487
ASV_393_16S_022_3	ASV_404_16S_022_3	0.923902414190015
ASV_322_16S_022_3	ASV_418_16S_022_3	0.842755167290556
ASV_198_16S_022_3	ASV_427_16S_022_3	0.648522977133288
ASV_361_16S_022_3	ASV_427_16S_022_3	0.710175256186037
ASV_314_16S_022_3	ASV_432_16S_022_3	0.739688452205526
ASV_149_16S_022_3	ASV_431_16S_022_3	0.739852131571701
ASV_94_16S_022_3	ASV_433_16S_022_3	-0.839736959457224
ASV_101_16S_022_3	ASV_433_16S_022_3	0.753950916213088
ASV_95_16S_022_3	ASV_443_16S_022_3	0.740713918848504
ASV_342_16S_022_3	ASV_443_16S_022_3	0.763418686967404
ASV_336_16S_022_3	ASV_446_16S_022_3	0.735290229320526
ASV_361_16S_022_3	ASV_446_16S_022_3	0.543407868354733
ASV_399_16S_022_3	ASV_446_16S_022_3	0.537756536818005
ASV_252_16S_022_3	ASV_485_16S_022_3	0.844882934981318
ASV_322_16S_022_3	ASV_498_16S_022_3	0.60405083426451
ASV_131_16S_022_3	ASV_520_16S_022_3	0.653575122356415
ASV_346_16S_022_3	ASV_520_16S_022_3	0.56547
ASV_513_16S_022_3	ASV_526_16S_022_3	0.898167879673384
ASV_259_16S_022_3	ASV_534_16S_022_3	0.571564853191376
ASV_356_16S_022_3	ASV_554_16S_022_3	0.821875007808464
ASV_404_16S_022_3	ASV_567_16S_022_3	0.821476590394346
ASV_442_16S_022_3	ASV_572_16S_022_3	0.834374966558984
ASV_513_16S_022_3	ASV_604_16S_022_3	0.638205766677856
ASV_191_16S_022_3	ASV_614_16S_022_3	0.59643552116619
ASV_259_16S_022_3	ASV_618_16S_022_3	0.832971939335272
ASV_528_16S_022_3	ASV_619_16S_022_3	0.877277909425732
ASV_39_16S_022_3	ASV_620_16S_022_3	0.787747759991725
ASV_90_16S_022_3	ASV_626_16S_022_3	0.562155306339264
ASV_600_16S_022_3	ASV_626_16S_022_3	0.759975383747704
ASV_481_16S_022_3	ASV_645_16S_022_3	0.77140093393267
ASV_554_16S_022_3	ASV_645_16S_022_3	0.684720396995544
ASV_510_16S_022_3	ASV_649_16S_022_3	0.531745910644531
ASV_427_16S_022_3	ASV_652_16S_022_3	0.881113648450394
ASV_77_16S_022_3	ASV_653_16S_022_3	0.741600070007248
ASV_155_16S_022_3	ASV_659_16S_022_3	0.983102713068996
ASV_565_16S_022_3	ASV_712_16S_022_3	-0.655871689319611
ASV_712_16S_022_3	ASV_719_16S_022_3	-0.846705506504987
ASV_510_16S_022_3	ASV_726_16S_022_3	0.654107749462128
ASV_733_16S_022_3	ASV_742_16S_022_3	0.926028582493933
ASV_521_16S_022_3	ASV_748_16S_022_3	0.901947533190336
ASV_534_16S_022_3	ASV_748_16S_022_3	0.745245247762314
ASV_681_16S_022_3	ASV_748_16S_022_3	0.757218518264951
ASV_155_16S_022_3	ASV_783_16S_022_3	0.972434219373678
ASV_487_16S_022_3	ASV_826_16S_022_3	0.770200079447663
ASV_394_16S_022_3	ASV_828_16S_022_3	-0.739532602741098
ASV_171_16S_022_3	ASV_830_16S_022_3	-0.785075746366659
ASV_618_16S_022_3	ASV_838_16S_022_3	0.798643463519431
ASV_626_16S_022_3	ASV_849_16S_022_3	0.747067159950179
ASV_318_16S_022_3	ASV_879_16S_022_3	0.936165204463862
ASV_394_16S_022_3	ASV_886_16S_022_3	0.613287320618887
ASV_759_16S_022_3	ASV_886_16S_022_3	0.57037878036499
ASV_362_16S_022_3	ASV_890_16S_022_3	0.931883346356854
ASV_318_16S_022_3	ASV_896_16S_022_3	0.766157759392637
ASV_498_16S_022_3	ASV_911_16S_022_3	0.629976511001587
ASV_922_16S_022_3	ASV_923_16S_022_3	0.757442666366094
ASV_879_16S_022_3	ASV_925_16S_022_3	0.64146
ASV_766_16S_022_3	ASV_941_16S_022_3	0.751638144517528
ASV_318_16S_022_3	ASV_958_16S_022_3	0.799488544464111
ASV_934_16S_022_3	ASV_958_16S_022_3	0.83200287288689
ASV_395_16S_022_3	ASV_963_16S_022_3	0.743139431386344
ASV_894_16S_022_3	ASV_967_16S_022_3	0.604727923318069
ASV_97_16S_022_3	ASV_970_16S_022_3	0.904897153377533
ASV_204_16S_022_3	ASV_970_16S_022_3	0.628483463450684
ASV_238_16S_022_3	ASV_970_16S_022_3	0.655738711357117
ASV_330_16S_022_3	ASV_970_16S_022_3	0.629599988460541
ASV_894_16S_022_3	ASV_988_16S_022_3	0.846818197691666
ASV_908_16S_022_3	ASV_990_16S_022_3	0.766166046218225
ASV_682_16S_022_3	ASV_995_16S_022_3	0.808301448066254
ASV_149_16S_022_3	ASV_1001_16S_022_3	-0.773842730792395
ASV_748_16S_022_3	ASV_1001_16S_022_3	0.893990942685456
ASV_8_16S_022_3	ASV_1000_16S_022_3	0.8027812666339
ASV_515_16S_022_3	ASV_1003_16S_022_3	0.980003101357241
ASV_510_16S_022_3	ASV_1006_16S_022_3	0.818610508945925
ASV_238_16S_022_3	ASV_1013_16S_022_3	0.641768276691437
ASV_361_16S_022_3	ASV_1013_16S_022_3	0.675530016422272
ASV_446_16S_022_3	ASV_1013_16S_022_3	0.742998361587524
ASV_90_16S_022_3	ASV_1014_16S_022_3	0.803245484828949
ASV_935_16S_022_3	ASV_1033_16S_022_3	0.802186454612983
ASV_345_16S_022_3	ASV_1077_16S_022_3	-0.766910852832204
ASV_184_16S_022_3	ASV_1080_16S_022_3	-0.538058444041367
ASV_489_16S_022_3	ASV_1090_16S_022_3	0.98708445886377
ASV_205_16S_022_3	ASV_1095_16S_022_3	0.57406622171402
ASV_405_16S_022_3	ASV_1102_16S_022_3	0.82200156675523
ASV_882_16S_022_3	ASV_1109_16S_022_3	0.9863221798227
ASV_573_16S_022_3	ASV_1113_16S_022_3	0.738656468979159
ASV_727_16S_022_3	ASV_1118_16S_022_3	0.813763214688671
ASV_698_16S_022_3	ASV_1123_16S_022_3	0.886460884602551
ASV_929_16S_022_3	ASV_1132_16S_022_3	0.754648918177312
ASV_748_16S_022_3	ASV_1130_16S_022_3	0.825456479606105
ASV_184_16S_022_3	ASV_1129_16S_022_3	0.968173384666443
ASV_251_16S_022_3	ASV_1129_16S_022_3	0.847181138638923
ASV_773_16S_022_3	ASV_1134_16S_022_3	0.745556888195622
ASV_271_16S_022_3	ASV_1161_16S_022_3	0.634882986545563
ASV_525_16S_022_3	ASV_1161_16S_022_3	0.747477851878826
ASV_603_16S_022_3	ASV_1167_16S_022_3	0.779033150791157
ASV_155_16S_022_3	ASV_1165_16S_022_3	0.570205271244049
ASV_314_16S_022_3	ASV_1165_16S_022_3	0.688795328140259
ASV_604_16S_022_3	ASV_1211_16S_022_3	0.795439164899419
ASV_315_16S_022_3	ASV_1221_16S_022_3	0.751480885986368
ASV_879_16S_022_3	ASV_1225_16S_022_3	0.680556907081519
ASV_1053_16S_022_3	ASV_1230_16S_022_3	0.626027430755337
ASV_748_16S_022_3	ASV_1234_16S_022_3	0.777509229120296
ASV_1019_16S_022_3	ASV_1238_16S_022_3	0.585050162357425
ASV_515_16S_022_3	ASV_1252_16S_022_3	0.536397695541382
ASV_1032_16S_022_3	ASV_1252_16S_022_3	0.81115112543458
ASV_238_16S_022_3	ASV_1273_16S_022_3	0.917755864147409
ASV_305_16S_022_3	ASV_1273_16S_022_3	0.756468485630262
ASV_772_16S_022_3	ASV_1273_16S_022_3	-0.660895586013794
ASV_394_16S_022_3	ASV_1277_16S_022_3	0.688673257827759
ASV_916_16S_022_3	ASV_1285_16S_022_3	0.804180997252019
ASV_1070_16S_022_3	ASV_1319_16S_022_3	0.743521801587646
ASV_106_16S_022_3	ASV_1324_16S_022_3	0.67657083272934
ASV_1132_16S_022_3	ASV_1329_16S_022_3	0.821829681139993
ASV_1018_16S_022_3	ASV_1342_16S_022_3	0.783206928756699
ASV_911_16S_022_3	ASV_1358_16S_022_3	0.851488391508287
ASV_1040_16S_022_3	ASV_1392_16S_022_3	0.884832561016083
ASV_661_16S_022_3	ASV_1398_16S_022_3	0.785620186739879
ASV_1025_16S_022_3	ASV_1398_16S_022_3	0.975168843660942
ASV_282_16S_022_3	ASV_1413_16S_022_3	0.668842494487762
ASV_427_16S_022_3	ASV_1413_16S_022_3	0.901871562004089
ASV_929_16S_022_3	ASV_1423_16S_022_3	0.982410768896495
ASV_1000_16S_022_3	ASV_1423_16S_022_3	0.637939989566803
ASV_1336_16S_022_3	ASV_1428_16S_022_3	0.56087201833725
ASV_595_16S_022_3	ASV_1468_16S_022_3	0.782169461250305
ASV_788_16S_022_3	ASV_1486_16S_022_3	0.605189085006714
ASV_330_16S_022_3	ASV_1499_16S_022_3	0.971247656808959
ASV_724_16S_022_3	ASV_1506_16S_022_3	0.883120344705819
ASV_791_16S_022_3	ASV_1506_16S_022_3	0.54491400718689
ASV_1231_16S_022_3	ASV_1511_16S_022_3	0.823186472538603
ASV_1342_16S_022_3	ASV_1511_16S_022_3	0.631115138530731
ASV_733_16S_022_3	ASV_1522_16S_022_3	-0.757125494325336
ASV_1428_16S_022_3	ASV_1536_16S_022_3	0.735751483544054
ASV_35_16S_022_3	ASV_1539_16S_022_3	-0.733372521432686
ASV_1004_16S_022_3	ASV_1567_16S_022_3	0.690743446350098
ASV_604_16S_022_3	ASV_1580_16S_022_3	0.606176614761353
ASV_770_16S_022_3	ASV_1580_16S_022_3	0.784495382186339
ASV_1404_16S_022_3	ASV_1598_16S_022_3	0.988826196603215
