Source	Target	association_score	num_Triplets	MutualInformation	InterationInformation	II_p_value	DataProcessingInequality_MI_rank	DataProcessingInequality_indirect	COMBI_II_DPI
ASV_10_16S_022_3	ASV_68_16S_022_3	0.952161478707018	1	0.713253	-0.427991	0.023976	3	1	1
ASV_13_16S_022_3	ASV_91_16S_022_3	0.630048155784607	1	0.430929	-0.276408	0.192807	3	1	1
ASV_77_16S_022_3	ASV_107_16S_022_3	0.816791389124318	1	0.556317	0.294901	nan	3	1	1
ASV_56_16S_022_3	ASV_125_16S_022_3	0.746903955936432	1	0.534057	0.038494	nan	3	1	1
ASV_10_16S_022_3	ASV_128_16S_022_3	0.819535053805344	1	0.602389	-0.253508	0.047952	3	1	1
ASV_128_16S_022_3	ASV_159_16S_022_3	0.67879	1	0.726542	-0.227313	0.143856	3	1	1
ASV_43_16S_022_3	ASV_173_16S_022_3	0.825358088385562	1	0.346644	-0.003171	0.597403	3	1	1
ASV_103_16S_022_3	ASV_198_16S_022_3	0.746736474003712	1	0.465179	0.528654	nan	3	1	1
ASV_191_16S_022_3	ASV_205_16S_022_3	0.760247039119558	1	0.693258	-0.372739	0.596404	3	1	1
ASV_70_16S_022_3	ASV_213_16S_022_3	0.786708348580244	1	0.587380	-0.134837	0.658342	3	1	1
ASV_97_16S_022_3	ASV_216_16S_022_3	-0.563813865184784	1	0.512774	-0.149898	0.691309	3	1	1
ASV_163_16S_022_3	ASV_216_16S_022_3	-0.743872146733143	1	0.436548	-0.018519	0.690310	3	1	1
ASV_56_16S_022_3	ASV_219_16S_022_3	0.597372472286224	1	0.449979	-0.104934	0.192807	3	1	1
ASV_91_16S_022_3	ASV_219_16S_022_3	0.859111153185118	1	0.503937	-0.296529	0.263736	3	1	1
ASV_204_16S_022_3	ASV_224_16S_022_3	0.757253799280748	1	0.664385	-0.166678	0.654346	3	1	1
ASV_160_16S_022_3	ASV_233_16S_022_3	0.914555430412292	1	0.892682	-0.291721	0.178821	3	1	1
ASV_198_16S_022_3	ASV_240_16S_022_3	0.859845695296051	1	0.703626	-0.633651	0.000999	3	1	1
ASV_219_16S_022_3	ASV_254_16S_022_3	0.786430125462969	1	0.442698	-0.096794	0.226773	3	1	1
ASV_155_16S_022_3	ASV_260_16S_022_3	0.615441620349884	1	0.733076	-0.313524	0.154845	3	1	1
ASV_182_16S_022_3	ASV_271_16S_022_3	0.53357532916677	1	0.621381	0.595078	nan	3	1	1
ASV_96_16S_022_3	ASV_279_16S_022_3	0.536831974983215	1	0.485458	-0.069407	0.250749	2	1	1
ASV_175_16S_022_3	ASV_282_16S_022_3	0.784282707544326	1	0.671541	-0.076444	0.227772	3	1	1
ASV_281_16S_022_3	ASV_285_16S_022_3	0.789616447760299	1	0.475733	0.077667	nan	3	1	1
ASV_111_16S_022_3	ASV_299_16S_022_3	0.836897810540674	1	0.649938	-0.640236	0.000999	3	1	1
ASV_49_16S_022_3	ASV_306_16S_022_3	0.670655786991119	1	0.792171	0.000057	nan	3	1	1
ASV_91_16S_022_3	ASV_306_16S_022_3	0.570200383663177	1	0.516962	-0.443150	0.084915	3	1	1
ASV_182_16S_022_3	ASV_319_16S_022_3	0.768093335785445	1	0.532738	0.926387	nan	3	1	1
ASV_217_16S_022_3	ASV_323_16S_022_3	0.791950759475541	1	0.564989	-0.042266	0.154845	3	1	1
ASV_241_16S_022_3	ASV_329_16S_022_3	0.922629953742428	1	0.459962	0.263102	nan	3	1	1
ASV_155_16S_022_3	ASV_336_16S_022_3	0.695068657398224	1	0.792654	-0.457648	0.083916	3	1	1
ASV_299_16S_022_3	ASV_341_16S_022_3	0.562888023224762	1	0.547165	0.262404	nan	3	1	1
