Source	Target	association_score	num_Triplets	MutualInformation	InterationInformation	II_p_value	DataProcessingInequality_MI_rank	DataProcessingInequality_indirect	COMBI_II_DPI
ASV_10_16S_022_3	ASV_68_16S_022_3	0.952161478707018	1	0.713253	-0.561401	0.083916	3	1	1
ASV_13_16S_022_3	ASV_91_16S_022_3	0.630048155784607	1	0.430929	-0.312638	0.388611	3	1	1
ASV_77_16S_022_3	ASV_107_16S_022_3	0.816791389124318	1	0.556317	-0.212033	0.556444	3	1	1
ASV_56_16S_022_3	ASV_125_16S_022_3	0.746903955936432	1	0.534057	-0.045773	0.527473	3	1	1
ASV_10_16S_022_3	ASV_128_16S_022_3	0.819535053805344	1	0.602389	-0.289170	0.418581	3	1	1
ASV_128_16S_022_3	ASV_159_16S_022_3	0.67879	1	0.726542	-0.350724	0.557443	3	1	1
ASV_43_16S_022_3	ASV_173_16S_022_3	0.825358088385562	1	0.346644	-0.078354	0.361638	2	1	1
ASV_103_16S_022_3	ASV_198_16S_022_3	0.746736474003712	1	0.465179	-0.410652	0.056943	3	1	1
ASV_191_16S_022_3	ASV_205_16S_022_3	0.760247039119558	1	0.693258	-0.347240	0.279720	3	1	1
ASV_70_16S_022_3	ASV_213_16S_022_3	0.786708348580244	1	0.587380	-0.344645	0.334665	3	1	1
ASV_97_16S_022_3	ASV_216_16S_022_3	-0.563813865184784	1	0.512774	-0.312531	0.166833	3	1	1
ASV_163_16S_022_3	ASV_216_16S_022_3	-0.743872146733143	1	0.436548	-0.094773	0.221778	2	1	1
ASV_56_16S_022_3	ASV_219_16S_022_3	0.597372472286224	1	0.449979	-0.197573	0.500500	2	1	1
ASV_91_16S_022_3	ASV_219_16S_022_3	0.859111153185118	1	0.503937	-0.380525	0.305694	3	1	1
ASV_204_16S_022_3	ASV_224_16S_022_3	0.757253799280748	1	0.664385	-0.265808	0.140859	3	1	1
ASV_160_16S_022_3	ASV_233_16S_022_3	0.914555430412292	1	0.892682	-0.244390	0.083916	3	1	1
ASV_198_16S_022_3	ASV_240_16S_022_3	0.859845695296051	1	0.703626	-0.508504	0.028971	3	1	1
ASV_219_16S_022_3	ASV_254_16S_022_3	0.786430125462969	1	0.442698	-0.191517	0.362637	1	0	1
ASV_155_16S_022_3	ASV_260_16S_022_3	0.615441620349884	1	0.733076	-0.166177	0.278721	3	1	1
ASV_182_16S_022_3	ASV_271_16S_022_3	0.53357532916677	1	0.621381	0.020065	nan	3	1	1
ASV_96_16S_022_3	ASV_279_16S_022_3	0.536831974983215	1	0.485458	0.023762	nan	2	1	1
ASV_175_16S_022_3	ASV_282_16S_022_3	0.784282707544326	1	0.671541	0.230065	nan	3	1	1
ASV_281_16S_022_3	ASV_285_16S_022_3	0.789616447760299	1	0.475733	-0.254640	0.000999	3	1	1
ASV_111_16S_022_3	ASV_299_16S_022_3	0.836897810540674	1	0.649938	-0.532331	0.195804	3	1	1
ASV_49_16S_022_3	ASV_306_16S_022_3	0.670655786991119	1	0.792171	-0.333195	0.835165	3	1	1
ASV_91_16S_022_3	ASV_306_16S_022_3	0.570200383663177	1	0.516962	-0.326574	0.417582	3	1	1
ASV_182_16S_022_3	ASV_319_16S_022_3	0.768093335785445	1	0.532738	0.340294	nan	3	1	1
ASV_217_16S_022_3	ASV_323_16S_022_3	0.791950759475541	1	0.564989	-0.141222	0.084915	3	1	1
ASV_241_16S_022_3	ASV_329_16S_022_3	0.922629953742428	1	0.459962	-0.005518	0.557443	3	1	1
ASV_155_16S_022_3	ASV_336_16S_022_3	0.695068657398224	1	0.792654	-0.353900	0.307692	3	1	1
ASV_299_16S_022_3	ASV_341_16S_022_3	0.562888023224762	1	0.547165	-0.360316	0.360639	3	1	1
ASV_328_16S_022_3	ASV_342_16S_022_3	0.949204724714465	1	0.836893	-0.577786	0.055944	3	1	1
ASV_209_16S_022_3	ASV_346_16S_022_3	0.78435874248344	1	0.535442	0.254094	nan	3	1	1
ASV_160_16S_022_3	ASV_362_16S_022_3	0.974623625049914	1	0.655293	-0.234362	0.194805	3	1	1
ASV_198_16S_022_3	ASV_362_16S_022_3	0.666879374164094	1	0.508810	-0.332348	0.083916	3	1	1
ASV_260_16S_022_3	ASV_362_16S_022_3	0.868525869532648	1	0.704581	-0.321174	0.139860	3	1	1
ASV_159_16S_022_3	ASV_375_16S_022_3	0.883517801761627	1	0.750859	-0.421727	0.418581	3	1	1
ASV_376_16S_022_3	ASV_393_16S_022_3	0.818687677383423	1	0.577806	-0.324852	0.195804	3	1	1
ASV_111_16S_022_3	ASV_395_16S_022_3	0.956461250782013	1	0.806566	-0.528574	0.278721	3	1	1
ASV_330_16S_022_3	ASV_400_16S_022_3	-0.773919857795132	1	0.619855	-0.232774	0.195804	3	1	1
ASV_190_16S_022_3	ASV_403_16S_022_3	0.762258709197643	1	0.482048	-0.068505	0.558442	3	1	1
ASV_299_16S_022_3	ASV_403_16S_022_3	0.605481336823353	1	0.533002	0.122370	nan	3	1	1
ASV_232_16S_022_3	ASV_404_16S_022_3	0.769001886400487	1	0.586602	-0.324117	0.194805	3	1	1
ASV_393_16S_022_3	ASV_404_16S_022_3	0.923902414190015	1	0.450102	-0.080988	0.278721	3	1	1
ASV_322_16S_022_3	ASV_418_16S_022_3	0.842755167290556	1	0.566250	-0.088208	0.194805	3	1	1
ASV_198_16S_022_3	ASV_427_16S_022_3	0.648522977133288	1	0.622559	-0.511983	0.028971	3	1	1
ASV_361_16S_022_3	ASV_427_16S_022_3	0.710175256186037	1	0.958618	-0.711824	0.000999	3	1	1
ASV_314_16S_022_3	ASV_432_16S_022_3	0.739688452205526	1	0.625515	-0.453288	0.055944	3	1	1
ASV_149_16S_022_3	ASV_431_16S_022_3	0.739852131571701	1	0.209008	-0.043067	0.028971	1	0	0
ASV_94_16S_022_3	ASV_433_16S_022_3	-0.839736959457224	1	0.387261	-0.313582	0.000999	2	1	1
ASV_101_16S_022_3	ASV_433_16S_022_3	0.753950916213088	1	0.364511	-0.136609	0.528472	2	1	1
ASV_95_16S_022_3	ASV_443_16S_022_3	0.740713918848504	1	0.472324	0.162942	nan	3	1	1
ASV_342_16S_022_3	ASV_443_16S_022_3	0.763418686967404	1	0.583064	-0.244239	0.195804	3	1	1
ASV_336_16S_022_3	ASV_446_16S_022_3	0.735290229320526	1	0.678126	-0.480139	0.028971	3	1	1
ASV_361_16S_022_3	ASV_446_16S_022_3	0.543407868354733	1	0.827085	-0.671058	0.000999	3	1	1
ASV_399_16S_022_3	ASV_446_16S_022_3	0.537756536818005	1	0.750859	-0.505107	0.028971	3	1	1
ASV_252_16S_022_3	ASV_485_16S_022_3	0.844882934981318	1	0.365652	-0.278897	0.530470	3	1	1
ASV_322_16S_022_3	ASV_498_16S_022_3	0.60405083426451	1	0.741540	-0.335933	0.362637	3	1	1
ASV_131_16S_022_3	ASV_520_16S_022_3	0.653575122356415	1	0.721882	0.172482	nan	3	1	1
ASV_346_16S_022_3	ASV_520_16S_022_3	0.56547	1	0.689807	0.157003	nan	3	1	1
ASV_513_16S_022_3	ASV_526_16S_022_3	0.898167879673384	1	0.663959	-0.138692	0.582418	3	1	1
ASV_259_16S_022_3	ASV_534_16S_022_3	0.571564853191376	1	0.484975	-0.205383	0.333666	3	1	1
ASV_356_16S_022_3	ASV_554_16S_022_3	0.821875007808464	1	0.599986	-0.036249	0.527473	3	1	1
ASV_404_16S_022_3	ASV_567_16S_022_3	0.821476590394346	1	0.532561	-0.344826	0.083916	3	1	1
ASV_442_16S_022_3	ASV_572_16S_022_3	0.834374966558984	1	0.610006	0.067738	nan	3	1	1
ASV_513_16S_022_3	ASV_604_16S_022_3	0.638205766677856	1	0.483138	-0.043160	0.528472	3	1	1
ASV_191_16S_022_3	ASV_614_16S_022_3	0.59643552116619	1	0.451722	-0.105704	0.391608	3	1	1
ASV_259_16S_022_3	ASV_618_16S_022_3	0.832971939335272	1	0.576494	-0.121202	0.472527	3	1	1
ASV_528_16S_022_3	ASV_619_16S_022_3	0.877277909425732	1	0.815145	0.487402	nan	3	1	1
ASV_39_16S_022_3	ASV_620_16S_022_3	0.787747759991725	1	0.528327	-0.087480	0.805195	3	1	1
ASV_90_16S_022_3	ASV_626_16S_022_3	0.562155306339264	1	0.481607	-0.148291	0.138861	2	1	1
