Source	Target	association_score	num_Triplets	MutualInformation	InterationInformation	II_p_value	DataProcessingInequality_MI_rank	DataProcessingInequality_indirect	COMBI_II_DPI
ASV_10_16S_022_3	ASV_68_16S_022_3	0.952161478707018	1	0.713253	-0.464354	0.500500	3	1	1
ASV_13_16S_022_3	ASV_91_16S_022_3	0.630048155784607	1	0.430929	-0.181525	0.611389	3	1	1
ASV_77_16S_022_3	ASV_107_16S_022_3	0.816791389124318	1	0.556317	-0.295324	0.278721	3	1	1
ASV_56_16S_022_3	ASV_125_16S_022_3	0.746903955936432	1	0.534057	-0.420034	0.279720	3	1	1
ASV_10_16S_022_3	ASV_128_16S_022_3	0.819535053805344	1	0.602389	-0.386353	0.445554	3	1	1
ASV_128_16S_022_3	ASV_159_16S_022_3	0.67879	1	0.726542	-0.518277	0.334665	3	1	1
ASV_43_16S_022_3	ASV_173_16S_022_3	0.825358088385562	1	0.346644	-0.299082	0.280719	3	1	1
ASV_103_16S_022_3	ASV_198_16S_022_3	0.746736474003712	1	0.465179	-0.117802	0.447552	3	1	1
ASV_191_16S_022_3	ASV_205_16S_022_3	0.760247039119558	1	0.693258	1.170865	nan	3	1	1
ASV_70_16S_022_3	ASV_213_16S_022_3	0.786708348580244	1	0.587380	-0.368963	0.556444	3	1	1
ASV_97_16S_022_3	ASV_216_16S_022_3	-0.563813865184784	1	0.512774	-0.512774	1.000000	3	1	1
ASV_163_16S_022_3	ASV_216_16S_022_3	-0.743872146733143	1	0.436548	-0.359708	0.000999	3	1	1
ASV_56_16S_022_3	ASV_219_16S_022_3	0.597372472286224	1	0.449979	-0.267549	0.667333	3	1	1
ASV_91_16S_022_3	ASV_219_16S_022_3	0.859111153185118	1	0.503937	-0.254533	0.556444	3	1	1
ASV_204_16S_022_3	ASV_224_16S_022_3	0.757253799280748	1	0.664385	-0.609917	0.000999	3	1	1
ASV_160_16S_022_3	ASV_233_16S_022_3	0.914555430412292	1	0.892682	-0.031106	0.667333	3	1	1
ASV_198_16S_022_3	ASV_240_16S_022_3	0.859845695296051	1	0.703626	-0.539585	0.336663	3	1	1
ASV_219_16S_022_3	ASV_254_16S_022_3	0.786430125462969	1	0.442698	-0.411972	0.556444	3	1	1
ASV_155_16S_022_3	ASV_260_16S_022_3	0.615441620349884	1	0.733076	0.093204	nan	3	1	1
ASV_182_16S_022_3	ASV_271_16S_022_3	0.53357532916677	1	0.621381	-0.467700	0.446553	3	1	1
ASV_96_16S_022_3	ASV_279_16S_022_3	0.536831974983215	1	0.485458	-0.465977	0.000999	3	1	1
ASV_175_16S_022_3	ASV_282_16S_022_3	0.784282707544326	1	0.671541	-0.660935	0.000999	3	1	1
ASV_281_16S_022_3	ASV_285_16S_022_3	0.789616447760299	1	0.475733	1.099828	nan	3	1	1
ASV_111_16S_022_3	ASV_299_16S_022_3	0.836897810540674	1	0.649938	-0.526373	0.167832	3	1	1
ASV_49_16S_022_3	ASV_306_16S_022_3	0.670655786991119	1	0.792171	-0.575074	0.000999	3	1	1
ASV_91_16S_022_3	ASV_306_16S_022_3	0.570200383663177	1	0.516962	-0.370670	0.334665	3	1	1
ASV_182_16S_022_3	ASV_319_16S_022_3	0.768093335785445	1	0.532738	0.033568	nan	3	1	1
ASV_217_16S_022_3	ASV_323_16S_022_3	0.791950759475541	1	0.564989	-0.512102	0.000999	3	1	1
ASV_241_16S_022_3	ASV_329_16S_022_3	0.922629953742428	1	0.459962	-0.259105	0.444555	3	1	1
ASV_155_16S_022_3	ASV_336_16S_022_3	0.695068657398224	1	0.792654	0.035621	nan	3	1	1
ASV_299_16S_022_3	ASV_341_16S_022_3	0.562888023224762	1	0.547165	-0.216984	0.446553	3	1	1
ASV_328_16S_022_3	ASV_342_16S_022_3	0.949204724714465	1	0.836893	-0.114766	0.890110	3	1	1
ASV_209_16S_022_3	ASV_346_16S_022_3	0.78435874248344	1	0.535442	0.782931	nan	3	1	1
ASV_160_16S_022_3	ASV_362_16S_022_3	0.974623625049914	1	0.655293	-0.511996	0.612388	3	1	1
ASV_198_16S_022_3	ASV_362_16S_022_3	0.666879374164094	1	0.508810	-0.435816	0.391608	3	1	1
ASV_260_16S_022_3	ASV_362_16S_022_3	0.868525869532648	1	0.704581	-0.559703	0.613387	3	1	1
ASV_159_16S_022_3	ASV_375_16S_022_3	0.883517801761627	1	0.750859	-0.424571	0.334665	3	1	1
ASV_376_16S_022_3	ASV_393_16S_022_3	0.818687677383423	1	0.577806	-0.482275	0.000999	3	1	1
ASV_111_16S_022_3	ASV_395_16S_022_3	0.956461250782013	1	0.806566	-0.629218	0.000999	3	1	1
ASV_330_16S_022_3	ASV_400_16S_022_3	-0.773919857795132	1	0.619855	-0.682151	0.111888	3	1	1
ASV_190_16S_022_3	ASV_403_16S_022_3	0.762258709197643	1	0.482048	-0.443628	0.445554	3	1	1
ASV_299_16S_022_3	ASV_403_16S_022_3	0.605481336823353	1	0.533002	-0.470449	0.335664	3	1	1
ASV_232_16S_022_3	ASV_404_16S_022_3	0.769001886400487	1	0.586602	-0.308955	0.611389	3	1	1
ASV_393_16S_022_3	ASV_404_16S_022_3	0.923902414190015	1	0.450102	-0.385586	0.556444	3	1	1
ASV_322_16S_022_3	ASV_418_16S_022_3	0.842755167290556	1	0.566250	-0.477894	0.000999	3	1	1
ASV_198_16S_022_3	ASV_427_16S_022_3	0.648522977133288	1	0.622559	-0.540647	0.168831	3	1	1
ASV_361_16S_022_3	ASV_427_16S_022_3	0.710175256186037	1	0.958618	-0.773451	0.000999	3	1	1
ASV_314_16S_022_3	ASV_432_16S_022_3	0.739688452205526	1	0.625515	-0.524579	0.000999	3	1	1
ASV_149_16S_022_3	ASV_431_16S_022_3	0.739852131571701	1	0.209008	-0.209468	0.556444	3	1	1
ASV_94_16S_022_3	ASV_433_16S_022_3	-0.839736959457224	1	0.387261	-0.387261	0.666334	3	1	1
ASV_101_16S_022_3	ASV_433_16S_022_3	0.753950916213088	1	0.364511	-0.366340	0.111888	3	1	1
ASV_95_16S_022_3	ASV_443_16S_022_3	0.740713918848504	1	0.472324	-0.212799	0.723277	3	1	1
ASV_342_16S_022_3	ASV_443_16S_022_3	0.763418686967404	1	0.583064	-0.062550	0.779221	3	1	1
ASV_336_16S_022_3	ASV_446_16S_022_3	0.735290229320526	1	0.678126	-0.608721	0.224775	3	1	1
ASV_361_16S_022_3	ASV_446_16S_022_3	0.543407868354733	1	0.827085	-0.649333	0.000999	3	1	1
ASV_399_16S_022_3	ASV_446_16S_022_3	0.537756536818005	1	0.750859	-0.633826	0.000999	3	1	1
ASV_252_16S_022_3	ASV_485_16S_022_3	0.844882934981318	1	0.365652	-0.311184	0.000999	3	1	1
ASV_322_16S_022_3	ASV_498_16S_022_3	0.60405083426451	1	0.741540	-0.669443	0.000999	3	1	1
ASV_131_16S_022_3	ASV_520_16S_022_3	0.653575122356415	1	0.721882	-0.665466	0.000999	3	1	1
ASV_346_16S_022_3	ASV_520_16S_022_3	0.56547	1	0.689807	-0.385961	0.611389	3	1	1
