Source	Target	Occurrence	Occurrence_Percentage	Source_Kingdom	Source_DivisionPhylum	Target_Kingdom	Target_DivisionPhylum
ASV_10_16S_022_3	ASV_128_16S_022_3	5	100	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_10_16S_022_3	ASV_68_16S_022_3	5	100	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_100_16S_022_3	ASV_359_16S_3_200	1	20	Bacteria	Gammaproteobacteria	Bacteria	Cyanobacteria
ASV_100_16S_022_3	OTU_3421_18S_3_200	1	20	Bacteria	Gammaproteobacteria	Eukaryota	Ochrophyta
ASV_100_16S_022_3	OTU_7002_18S_022_3	1	20	Bacteria	Gammaproteobacteria	Eukaryota	Cercozoa
ASV_1000_16S_022_3	ASV_1423_16S_022_3	2	40	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_1003_16S_022_3	OTU_1659_18S_3_200	1	20	Bacteria	Cyanobacteria	Eukaryota	Dinoflagellata
ASV_1004_16S_022_3	ASV_1567_16S_022_3	1	20	Bacteria	Actinobacteriota	Bacteria	Gammaproteobacteria
ASV_1004_16S_022_3	OTU_3517_18S_3_200	1	20	Bacteria	Actinobacteriota	Eukaryota	Dinoflagellata
ASV_1004_16S_022_3	OTU_935_18S_3_200	1	20	Bacteria	Actinobacteriota	Eukaryota	Dinoflagellata
ASV_1006_16S_022_3	OTU_828_18S_022_3	1	20	Bacteria	Gammaproteobacteria	Eukaryota	Cercozoa
ASV_101_16S_022_3	ASV_433_16S_022_3	4	80	Bacteria	Gammaproteobacteria	Bacteria	Alphaproteobacteria
ASV_1014_16S_022_3	OTU_192_18S_3_200	1	20	Bacteria	Cyanobacteria	Eukaryota	Ochrophyta
ASV_1018_16S_022_3	ASV_1342_16S_022_3	1	20	Bacteria	Bacteroidota	Bacteria	Alphaproteobacteria
ASV_1025_16S_022_3	ASV_1398_16S_022_3	2	40	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_1025_16S_022_3	ASV_2171_16S_022_3	2	40	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_103_16S_022_3	ASV_198_16S_022_3	5	100	Bacteria	Gammaproteobacteria	Bacteria	Marinimicrobia (SAR406 clade)
ASV_103_16S_022_3	OTU_4111_18S_022_3	2	40	Bacteria	Gammaproteobacteria	Eukaryota	Cercozoa
ASV_1031_16S_022_3	OTU_1438_18S_3_200	1	20	Bacteria	Alphaproteobacteria	Eukaryota	Sagenista
ASV_1033_16S_022_3	ASV_1690_16S_022_3	2	40	Bacteria	Bacteroidota	Bacteria	Alphaproteobacteria
ASV_1040_16S_022_3	ASV_1392_16S_022_3	3	60	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_1040_16S_022_3	OTU_1479_18S_3_200	2	40	Bacteria	Alphaproteobacteria	Eukaryota	Ciliophora
ASV_1053_16S_022_3	ASV_1230_16S_022_3	1	20	Archaea	Thermoplasmatota	Bacteria	Alphaproteobacteria
ASV_1053_16S_022_3	OTU_3627_18S_022_3	1	20	Archaea	Thermoplasmatota	Eukaryota	Sagenista
ASV_1053_16S_022_3	OTU_58_18S_022_3	2	40	Archaea	Thermoplasmatota	Eukaryota	Ochrophyta
ASV_106_16S_022_3	ASV_1324_16S_022_3	1	20	Bacteria	Bacteroidota	Bacteria	Actinobacteriota
ASV_106_16S_022_3	ASV_1991_16S_022_3	1	20	Bacteria	Bacteroidota	Bacteria	Alphaproteobacteria
ASV_1080_16S_022_3	OTU_1361_18S_3_200	1	20	Bacteria	Gammaproteobacteria	Eukaryota	Dinoflagellata
ASV_1080_16S_022_3	OTU_424_18S_3_200	2	40	Bacteria	Gammaproteobacteria	Eukaryota	Ochrophyta
ASV_1086_16S_022_3	OTU_1604_18S_022_3	1	20	Bacteria	Gammaproteobacteria	Eukaryota	Opalozoa
ASV_1086_16S_022_3	OTU_3627_18S_022_3	1	20	Bacteria	Gammaproteobacteria	Eukaryota	Sagenista
ASV_1086_16S_022_3	OTU_3836_18S_3_200	1	20	Bacteria	Gammaproteobacteria	Eukaryota	Dinoflagellata
ASV_1093_16S_022_3	ASV_1958_16S_022_3	5	100	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_1095_16S_022_3	OTU_4047_18S_022_3	4	80	Bacteria	Alphaproteobacteria	Eukaryota	Dinoflagellata
ASV_1102_16S_022_3	OTU_600_18S_022_3	4	80	Bacteria	unknown 16S	Eukaryota	Stramenopiles_X
ASV_111_16S_022_3	ASV_299_16S_022_3	5	100	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_111_16S_022_3	ASV_395_16S_022_3	5	100	Bacteria	Alphaproteobacteria	Bacteria	Gammaproteobacteria
ASV_1112_16S_022_3	OTU_1325_18S_3_200	2	40	Bacteria	Gammaproteobacteria	Eukaryota	Choanoflagellida
ASV_1112_16S_022_3	OTU_1474_18S_3_200	2	40	Bacteria	Gammaproteobacteria	Eukaryota	Cercozoa
ASV_1112_16S_022_3	OTU_3299_18S_3_200	1	20	Bacteria	Gammaproteobacteria	Eukaryota	Ochrophyta
ASV_113_16S_022_3	ASV_113_16S_3_200	5	100	Bacteria	Planctomycetota	Bacteria	Planctomycetota
ASV_1132_16S_022_3	ASV_1329_16S_022_3	2	40	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_1132_16S_022_3	ASV_2096_16S_022_3	1	20	Bacteria	Alphaproteobacteria	Bacteria	Gammaproteobacteria
ASV_1133_16S_022_3	OTU_450_18S_022_3	3	60	Bacteria	Alphaproteobacteria	Eukaryota	Dinoflagellata
ASV_1156_16S_022_3	OTU_423_18S_022_3	1	20	Bacteria	Bacteroidota	Eukaryota	Dinoflagellata
ASV_116_16S_022_3	OTU_934_18S_022_3	1	20	Bacteria	Gammaproteobacteria	Eukaryota	Cercozoa
ASV_1162_16S_022_3	OTU_236_18S_3_200	1	20	Bacteria	Bdellovibrionota	Eukaryota	Dinoflagellata
ASV_1162_16S_022_3	OTU_2679_18S_022_3	3	60	Bacteria	Bdellovibrionota	Eukaryota	Ochrophyta
ASV_1162_16S_022_3	OTU_3666_18S_022_3	2	40	Bacteria	Bdellovibrionota	Eukaryota	Ochrophyta
ASV_1165_16S_022_3	OTU_958_18S_022_3	2	40	Bacteria	Bacteroidota	Eukaryota	Cercozoa
ASV_1195_16S_022_3	ASV_1659_16S_022_3	1	20	Bacteria	Alphaproteobacteria	Bacteria	Gammaproteobacteria
ASV_1195_16S_022_3	OTU_1848_18S_022_3	1	20	Bacteria	Alphaproteobacteria	Eukaryota	Cercozoa
ASV_120_16S_022_3	OTU_1396_18S_022_3	1	20	Archaea	Thermoplasmatota	Eukaryota	Sagenista
ASV_120_16S_022_3	OTU_1966_18S_3_200	2	40	Archaea	Thermoplasmatota	Eukaryota	Ochrophyta
ASV_1221_16S_022_3	OTU_2784_18S_3_200	1	20	Bacteria	Verrucomicrobiota	Eukaryota	Ochrophyta
ASV_1221_16S_022_3	OTU_3517_18S_3_200	1	20	Bacteria	Verrucomicrobiota	Eukaryota	Dinoflagellata
ASV_1222_16S_3_200	ASV_2540_16S_3_200	1	20	Bacteria	Planctomycetota	Bacteria	Gammaproteobacteria
ASV_1225_16S_022_3	OTU_1063_18S_3_200	3	60	Bacteria	Alphaproteobacteria	Eukaryota	Ochrophyta
ASV_1225_16S_022_3	OTU_2696_18S_3_200	2	40	Bacteria	Alphaproteobacteria	Eukaryota	Telonemia
ASV_1225_16S_022_3	OTU_4005_18S_3_200	2	40	Bacteria	Alphaproteobacteria	Eukaryota	Pseudofungi
ASV_1230_16S_022_3	OTU_3758_18S_022_3	1	20	Bacteria	Alphaproteobacteria	Eukaryota	Dinoflagellata
ASV_1231_16S_022_3	ASV_1511_16S_022_3	1	20	Bacteria	Alphaproteobacteria	Bacteria	Gammaproteobacteria
ASV_125_16S_022_3	OTU_127_18S_022_3	5	100	Bacteria	Gammaproteobacteria	Eukaryota	Dinoflagellata
ASV_1262_16S_3_200	ASV_1502_16S_3_200	2	40	Bacteria	Alphaproteobacteria	Bacteria	Gammaproteobacteria
ASV_127_16S_022_3	ASV_1519_16S_3_200	3	60	Bacteria	Gammaproteobacteria	Bacteria	Alphaproteobacteria
ASV_1272_16S_022_3	OTU_1570_18S_3_200	1	20	Bacteria	Gammaproteobacteria	Eukaryota	Dinoflagellata
ASV_1272_16S_022_3	OTU_898_18S_3_200	1	20	Bacteria	Gammaproteobacteria	Eukaryota	Ochrophyta
ASV_1277_16S_022_3	OTU_387_18S_3_200	3	60	Bacteria	Bdellovibrionota	Eukaryota	Dinoflagellata
ASV_128_16S_022_3	ASV_159_16S_022_3	5	100	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_1292_16S_022_3	ASV_2111_16S_022_3	2	40	Bacteria	Bacteroidota	Bacteria	Alphaproteobacteria
ASV_13_16S_022_3	ASV_91_16S_022_3	5	100	Bacteria	Bacteroidota	Bacteria	Bacteroidota
