Source	Target	Occurrence	Occurrence_Percentage	Source_Kingdom	Source_DivisionPhylum	Target_Kingdom	Target_DivisionPhylum
ASV_10_16S_022_3	ASV_128_16S_022_3	3	100	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_10_16S_022_3	ASV_68_16S_022_3	3	100	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_100_16S_022_3	ASV_359_16S_3_200	1	33.33	Bacteria	Gammaproteobacteria	Bacteria	Cyanobacteria
ASV_100_16S_022_3	OTU_2605_18S_3_200	1	33.33	Bacteria	Gammaproteobacteria	Eukaryota	Haptophyta
ASV_100_16S_022_3	OTU_3421_18S_3_200	1	33.33	Bacteria	Gammaproteobacteria	Eukaryota	Ochrophyta
ASV_100_16S_022_3	OTU_7002_18S_022_3	1	33.33	Bacteria	Gammaproteobacteria	Eukaryota	Cercozoa
ASV_1000_16S_022_3	ASV_1423_16S_022_3	1	33.33	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_101_16S_022_3	ASV_433_16S_022_3	2	66.67	Bacteria	Gammaproteobacteria	Bacteria	Alphaproteobacteria
ASV_1025_16S_022_3	ASV_1398_16S_022_3	1	33.33	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_1025_16S_022_3	ASV_2171_16S_022_3	1	33.33	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_103_16S_022_3	ASV_198_16S_022_3	1	33.33	Bacteria	Gammaproteobacteria	Bacteria	Marinimicrobia (SAR406 clade)
ASV_1031_16S_022_3	OTU_1438_18S_3_200	1	33.33	Bacteria	Alphaproteobacteria	Eukaryota	Sagenista
ASV_1070_16S_022_3	ASV_1319_16S_022_3	1	33.33	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_1073_16S_022_3	OTU_1052_18S_022_3	1	33.33	Bacteria	Gammaproteobacteria	Eukaryota	Dinoflagellata
ASV_1073_16S_022_3	OTU_1965_18S_022_3	1	33.33	Bacteria	Gammaproteobacteria	Eukaryota	Ochrophyta
ASV_1080_16S_022_3	OTU_1361_18S_3_200	3	100	Bacteria	Gammaproteobacteria	Eukaryota	Dinoflagellata
ASV_1080_16S_022_3	OTU_424_18S_3_200	3	100	Bacteria	Gammaproteobacteria	Eukaryota	Ochrophyta
ASV_1093_16S_022_3	ASV_1958_16S_022_3	1	33.33	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_1102_16S_022_3	OTU_600_18S_022_3	3	100	Bacteria	unknown 16S	Eukaryota	Stramenopiles_X
ASV_111_16S_022_3	ASV_299_16S_022_3	2	66.67	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
