Source	Target	num_triplets	ENVs	MutualInformation	ConditionalMutualInformation	InteractionInformation	II_p_value	DataProcessingInequality_MI_rank	DataProcessingInequality_indirect	DPI_num_MI_rank1	DPI_num_MI_rank2	DPI_num_MI_rank3	COMBI_II_DPI	portion_nan_Source_Target	portion_nan_Source_Target_ENV
ASV_10_16S_022_3	ASV_68_16S_022_3	1	ENV_NH4	0.713253	0.452691	-0.260562	0.175824	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_13_16S_022_3	ASV_91_16S_022_3	1	ENV_NH4	0.430929	0.158120	-0.272809	0.201798	2.000000	1.000000	0	1	0	1.000000	0.000000	0.000000
ASV_77_16S_022_3	ASV_107_16S_022_3	1	ENV_NH4	0.556317	0.303192	-0.253125	0.364635	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_56_16S_022_3	ASV_125_16S_022_3	1	ENV_NH4	0.534057	0.461281	-0.072775	0.450549	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_10_16S_022_3	ASV_128_16S_022_3	1	ENV_NH4	0.602389	0.508334	-0.094055	0.398601	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_128_16S_022_3	ASV_159_16S_022_3	1	ENV_NH4	0.726542	0.727759	0.001217	nan	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_43_16S_022_3	ASV_173_16S_022_3	1	ENV_NH4	0.346644	0.646020	0.299375	nan	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_103_16S_022_3	ASV_198_16S_022_3	1	ENV_NH4	0.465179	0.184707	-0.280471	0.302697	2.000000	1.000000	0	1	0	1.000000	0.000000	0.000000
ASV_191_16S_022_3	ASV_205_16S_022_3	1	ENV_NH4	0.693258	0.342491	-0.350767	0.411588	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_70_16S_022_3	ASV_213_16S_022_3	1	ENV_NH4	0.587380	0.546447	-0.040933	0.524476	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_97_16S_022_3	ASV_216_16S_022_3	1	ENV_NH4	0.512774	0.188257	-0.324517	0.223776	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_163_16S_022_3	ASV_216_16S_022_3	1	ENV_NH4	0.436548	0.630657	0.194108	nan	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
