Source	Target	num_triplets	ENVs	MutualInformation	ConditionalMutualInformation	InteractionInformation	II_p_value	DataProcessingInequality_MI_rank	DataProcessingInequality_indirect	DPI_num_MI_rank1	DPI_num_MI_rank2	DPI_num_MI_rank3	COMBI_II_DPI	portion_nan_Source_Target	portion_nan_Source_Target_ENV
ASV_10_16S_022_3	ASV_68_16S_022_3	1	ENV_NO3	0.713253	0.595146	-0.118107	0.460539	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_13_16S_022_3	ASV_91_16S_022_3	1	ENV_NO3	0.430929	0.696051	0.265122	nan	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_77_16S_022_3	ASV_107_16S_022_3	1	ENV_NO3	0.556317	0.540534	-0.015784	0.697303	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_56_16S_022_3	ASV_125_16S_022_3	1	ENV_NO3	0.534057	0.373938	-0.160119	0.476523	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_10_16S_022_3	ASV_128_16S_022_3	1	ENV_NO3	0.602389	0.448322	-0.154067	0.425574	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_128_16S_022_3	ASV_159_16S_022_3	1	ENV_NO3	0.726542	0.301958	-0.424585	0.156843	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_43_16S_022_3	ASV_173_16S_022_3	1	ENV_NO3	0.346644	0.346917	0.000273	nan	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_103_16S_022_3	ASV_198_16S_022_3	1	ENV_NO3	0.465179	0.108018	-0.357161	0.010989	2.000000	1.000000	0	1	0	1.000000	0.000000	0.000000
ASV_191_16S_022_3	ASV_205_16S_022_3	1	ENV_NO3	0.693258	0.347023	-0.346236	0.007992	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_70_16S_022_3	ASV_213_16S_022_3	1	ENV_NO3	0.587380	0.521847	-0.065533	0.452547	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_97_16S_022_3	ASV_216_16S_022_3	1	ENV_NO3	0.512774	0.297531	-0.215243	0.739261	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_163_16S_022_3	ASV_216_16S_022_3	1	ENV_NO3	0.436548	0.420190	-0.016359	0.343656	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_56_16S_022_3	ASV_219_16S_022_3	1	ENV_NO3	0.449979	0.648286	0.198307	nan	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_91_16S_022_3	ASV_219_16S_022_3	1	ENV_NO3	0.503937	0.854122	0.350185	nan	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_204_16S_022_3	ASV_224_16S_022_3	1	ENV_NO3	0.664385	0.126903	-0.537482	0.102897	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_160_16S_022_3	ASV_233_16S_022_3	1	ENV_NO3	0.892682	0.357440	-0.535242	0.096903	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_198_16S_022_3	ASV_240_16S_022_3	1	ENV_NO3	0.703626	0.178253	-0.525373	0.008991	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_219_16S_022_3	ASV_254_16S_022_3	1	ENV_NO3	0.442698	0.693785	0.251087	nan	2.000000	1.000000	0	1	0	1.000000	0.000000	0.000000
ASV_155_16S_022_3	ASV_260_16S_022_3	1	ENV_NO3	0.733076	0.411839	-0.321237	0.335664	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_182_16S_022_3	ASV_271_16S_022_3	1	ENV_NO3	0.621381	0.504112	-0.117269	0.139860	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_96_16S_022_3	ASV_279_16S_022_3	1	ENV_NO3	0.485458	0.460772	-0.024685	0.479520	1.000000	0.000000	1	0	0	1.000000	0.000000	0.000000
ASV_175_16S_022_3	ASV_282_16S_022_3	1	ENV_NO3	0.671541	0.409169	-0.262372	0.207792	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_281_16S_022_3	ASV_285_16S_022_3	1	ENV_NO3	0.475733	0.142199	-0.333534	0.011988	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_111_16S_022_3	ASV_299_16S_022_3	1	ENV_NO3	0.649938	0.121292	-0.528646	0.004995	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_49_16S_022_3	ASV_306_16S_022_3	1	ENV_NO3	0.792171	1.208125	0.415954	nan	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_91_16S_022_3	ASV_306_16S_022_3	1	ENV_NO3	0.516962	0.746623	0.229661	nan	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_182_16S_022_3	ASV_319_16S_022_3	1	ENV_NO3	0.532738	0.444688	-0.088050	0.577423	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_217_16S_022_3	ASV_323_16S_022_3	1	ENV_NO3	0.564989	0.529464	-0.035525	0.730270	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_241_16S_022_3	ASV_329_16S_022_3	1	ENV_NO3	0.459962	0.996494	0.536532	nan	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_155_16S_022_3	ASV_336_16S_022_3	1	ENV_NO3	0.792654	0.304197	-0.488457	0.018981	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_299_16S_022_3	ASV_341_16S_022_3	1	ENV_NO3	0.547165	0.183702	-0.363462	0.101898	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_328_16S_022_3	ASV_342_16S_022_3	1	ENV_NO3	0.836893	0.365732	-0.471161	0.648352	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_209_16S_022_3	ASV_346_16S_022_3	1	ENV_NO3	0.535442	0.782035	0.246594	nan	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_160_16S_022_3	ASV_362_16S_022_3	1	ENV_NO3	0.655293	0.270200	-0.385093	0.075924	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_198_16S_022_3	ASV_362_16S_022_3	1	ENV_NO3	0.508810	0.133595	-0.375215	0.021978	2.000000	1.000000	0	1	0	1.000000	0.000000	0.000000
ASV_260_16S_022_3	ASV_362_16S_022_3	1	ENV_NO3	0.704581	0.311070	-0.393511	0.323676	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_159_16S_022_3	ASV_375_16S_022_3	1	ENV_NO3	0.750859	0.371933	-0.378926	0.153846	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_376_16S_022_3	ASV_393_16S_022_3	1	ENV_NO3	0.577806	0.138176	-0.439630	0.474525	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_111_16S_022_3	ASV_395_16S_022_3	1	ENV_NO3	0.806566	0.121292	-0.685275	0.008991	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_330_16S_022_3	ASV_400_16S_022_3	1	ENV_NO3	0.619855	0.039839	-0.580016	0.284715	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_190_16S_022_3	ASV_403_16S_022_3	1	ENV_NO3	0.482048	0.751695	0.269647	nan	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_299_16S_022_3	ASV_403_16S_022_3	1	ENV_NO3	0.533002	0.605592	0.072590	nan	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_232_16S_022_3	ASV_404_16S_022_3	1	ENV_NO3	0.586602	0.357265	-0.229337	0.251748	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_393_16S_022_3	ASV_404_16S_022_3	1	ENV_NO3	0.450102	0.130249	-0.319853	0.401598	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_322_16S_022_3	ASV_418_16S_022_3	1	ENV_NO3	0.566250	0.314416	-0.251834	0.333666	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_198_16S_022_3	ASV_427_16S_022_3	1	ENV_NO3	0.622559	0.165303	-0.457256	0.007992	2.000000	1.000000	0	1	0	1.000000	0.000000	0.000000
ASV_361_16S_022_3	ASV_427_16S_022_3	1	ENV_NO3	0.958618	0.275487	-0.683131	0.041958	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_314_16S_022_3	ASV_432_16S_022_3	1	ENV_NO3	0.625515	0.661488	0.035973	nan	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_149_16S_022_3	ASV_431_16S_022_3	1	ENV_NO3	0.209008	0.471456	0.262449	nan	1.000000	0.000000	1	0	0	1.000000	0.000000	0.000000
ASV_94_16S_022_3	ASV_433_16S_022_3	1	ENV_NO3	0.387261	0.060274	-0.326987	0.491508	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_101_16S_022_3	ASV_433_16S_022_3	1	ENV_NO3	0.364511	0.522365	0.157854	nan	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_95_16S_022_3	ASV_443_16S_022_3	1	ENV_NO3	0.472324	0.919287	0.446964	nan	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_342_16S_022_3	ASV_443_16S_022_3	1	ENV_NO3	0.583064	0.536148	-0.046915	0.644356	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_336_16S_022_3	ASV_446_16S_022_3	1	ENV_NO3	0.678126	0.251133	-0.426993	0.011988	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_361_16S_022_3	ASV_446_16S_022_3	1	ENV_NO3	0.827085	0.280469	-0.546617	0.088911	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_399_16S_022_3	ASV_446_16S_022_3	1	ENV_NO3	0.750859	0.628138	-0.122721	0.697303	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_252_16S_022_3	ASV_485_16S_022_3	1	ENV_NO3	0.365652	0.061017	-0.304634	0.336663	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_322_16S_022_3	ASV_498_16S_022_3	1	ENV_NO3	0.741540	0.386167	-0.355373	0.854146	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_131_16S_022_3	ASV_520_16S_022_3	1	ENV_NO3	0.721882	0.426006	-0.295876	0.411588	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_346_16S_022_3	ASV_520_16S_022_3	1	ENV_NO3	0.689807	0.754010	0.064203	nan	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_513_16S_022_3	ASV_526_16S_022_3	1	ENV_NO3	0.663959	2.069396	1.405436	nan	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_259_16S_022_3	ASV_534_16S_022_3	1	ENV_NO3	0.484975	0.481815	-0.003160	0.698302	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_356_16S_022_3	ASV_554_16S_022_3	1	ENV_NO3	0.599986	1.548388	0.948402	nan	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_404_16S_022_3	ASV_567_16S_022_3	1	ENV_NO3	0.532561	0.265774	-0.266787	0.118881	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_442_16S_022_3	ASV_572_16S_022_3	1	ENV_NO3	0.610006	0.463529	-0.146477	0.271728	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_513_16S_022_3	ASV_604_16S_022_3	1	ENV_NO3	0.483138	1.907880	1.424742	nan	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_191_16S_022_3	ASV_614_16S_022_3	1	ENV_NO3	0.451722	0.235819	-0.215903	0.034965	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
