Source	Target	num_triplets	ENVs	MutualInformation	ConditionalMutualInformation	InteractionInformation	II_p_value	DataProcessingInequality_MI_rank	DataProcessingInequality_indirect	DPI_num_MI_rank1	DPI_num_MI_rank2	DPI_num_MI_rank3	COMBI_II_DPI	portion_nan_Source_Target	portion_nan_Source_Target_ENV
ASV_10_16S_022_3	ASV_68_16S_022_3	1	ENV_Salinity	0.713253	0.248899	-0.464354	0.500500	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_13_16S_022_3	ASV_91_16S_022_3	1	ENV_Salinity	0.430929	0.249404	-0.181525	0.600400	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_77_16S_022_3	ASV_107_16S_022_3	1	ENV_Salinity	0.556317	0.260993	-0.295324	0.200799	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_56_16S_022_3	ASV_125_16S_022_3	1	ENV_Salinity	0.534057	0.226809	-0.307248	0.400599	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_10_16S_022_3	ASV_128_16S_022_3	1	ENV_Salinity	0.602389	0.216036	-0.386353	0.500500	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_128_16S_022_3	ASV_159_16S_022_3	1	ENV_Salinity	0.726542	0.208266	-0.518277	0.400599	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_43_16S_022_3	ASV_173_16S_022_3	1	ENV_Salinity	0.346644	0.047562	-0.299082	0.100899	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_103_16S_022_3	ASV_198_16S_022_3	1	ENV_Salinity	0.465179	0.347376	-0.117802	0.500500	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_191_16S_022_3	ASV_205_16S_022_3	1	ENV_Salinity	0.693258	1.864124	1.170865	nan	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_70_16S_022_3	ASV_213_16S_022_3	1	ENV_Salinity	0.587380	0.218417	-0.368963	0.600400	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_97_16S_022_3	ASV_216_16S_022_3	1	ENV_Salinity	0.512774	0.000000	-0.512774	1.000000	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_163_16S_022_3	ASV_216_16S_022_3	1	ENV_Salinity	0.436548	0.076840	-0.359708	0.000999	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_56_16S_022_3	ASV_219_16S_022_3	1	ENV_Salinity	0.449979	0.182429	-0.267549	0.600400	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_91_16S_022_3	ASV_219_16S_022_3	1	ENV_Salinity	0.503937	0.249404	-0.254533	0.500500	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_204_16S_022_3	ASV_224_16S_022_3	1	ENV_Salinity	0.664385	-0.019652	-0.684036	0.500500	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_160_16S_022_3	ASV_233_16S_022_3	1	ENV_Salinity	0.892682	0.861577	-0.031106	0.700300	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_198_16S_022_3	ASV_240_16S_022_3	1	ENV_Salinity	0.703626	0.585334	-0.118292	0.500500	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_219_16S_022_3	ASV_254_16S_022_3	1	ENV_Salinity	0.442698	0.134451	-0.308247	0.500500	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_155_16S_022_3	ASV_260_16S_022_3	1	ENV_Salinity	0.733076	0.118501	-0.614575	0.000999	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_182_16S_022_3	ASV_271_16S_022_3	1	ENV_Salinity	0.621381	0.125840	-0.495541	0.000999	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_96_16S_022_3	ASV_279_16S_022_3	1	ENV_Salinity	0.485458	0.080356	-0.405101	0.200799	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_175_16S_022_3	ASV_282_16S_022_3	1	ENV_Salinity	0.671541	0.997427	0.325886	nan	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_281_16S_022_3	ASV_285_16S_022_3	1	ENV_Salinity	0.475733	0.059116	-0.416617	0.000999	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_111_16S_022_3	ASV_299_16S_022_3	1	ENV_Salinity	0.649938	0.401752	-0.248185	0.200799	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_49_16S_022_3	ASV_306_16S_022_3	1	ENV_Salinity	0.792171	0.349604	-0.442567	0.500500	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_91_16S_022_3	ASV_306_16S_022_3	1	ENV_Salinity	0.516962	0.264034	-0.252929	0.500500	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_182_16S_022_3	ASV_319_16S_022_3	1	ENV_Salinity	0.532738	0.100117	-0.432621	0.000999	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
