Source	Target	num_triplets	ENVs	MutualInformation	ConditionalMutualInformation	InteractionInformation	II_p_value	DataProcessingInequality_MI_rank	DataProcessingInequality_indirect	DPI_num_MI_rank1	DPI_num_MI_rank2	DPI_num_MI_rank3	COMBI_II_DPI	portion_nan_Source_Target	portion_nan_Source_Target_ENV
ASV_10_16S_022_3	ASV_68_16S_022_3	1	ENV_Si	0.713253	0.151851	-0.561401	0.083916	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_13_16S_022_3	ASV_91_16S_022_3	1	ENV_Si	0.430929	0.118291	-0.312638	0.388611	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_77_16S_022_3	ASV_107_16S_022_3	1	ENV_Si	0.556317	0.344284	-0.212033	0.556444	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_56_16S_022_3	ASV_125_16S_022_3	1	ENV_Si	0.534057	0.488284	-0.045773	0.527473	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_10_16S_022_3	ASV_128_16S_022_3	1	ENV_Si	0.602389	0.313220	-0.289170	0.418581	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_128_16S_022_3	ASV_159_16S_022_3	1	ENV_Si	0.726542	0.375818	-0.350724	0.557443	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_43_16S_022_3	ASV_173_16S_022_3	1	ENV_Si	0.346644	0.268291	-0.078354	0.361638	2.000000	1.000000	0	1	0	1.000000	0.000000	0.000000
ASV_103_16S_022_3	ASV_198_16S_022_3	1	ENV_Si	0.465179	0.054527	-0.410652	0.056943	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_191_16S_022_3	ASV_205_16S_022_3	1	ENV_Si	0.693258	0.346018	-0.347240	0.279720	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_70_16S_022_3	ASV_213_16S_022_3	1	ENV_Si	0.587380	0.242735	-0.344645	0.334665	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_97_16S_022_3	ASV_216_16S_022_3	1	ENV_Si	0.512774	0.200243	-0.312531	0.166833	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_163_16S_022_3	ASV_216_16S_022_3	1	ENV_Si	0.436548	0.341775	-0.094773	0.221778	2.000000	1.000000	0	1	0	1.000000	0.000000	0.000000
ASV_56_16S_022_3	ASV_219_16S_022_3	1	ENV_Si	0.449979	0.252406	-0.197573	0.500500	2.000000	1.000000	0	1	0	1.000000	0.000000	0.000000
ASV_91_16S_022_3	ASV_219_16S_022_3	1	ENV_Si	0.503937	0.123412	-0.380525	0.305694	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_204_16S_022_3	ASV_224_16S_022_3	1	ENV_Si	0.664385	0.398576	-0.265808	0.140859	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_160_16S_022_3	ASV_233_16S_022_3	1	ENV_Si	0.892682	0.648293	-0.244390	0.083916	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_198_16S_022_3	ASV_240_16S_022_3	1	ENV_Si	0.703626	0.195122	-0.508504	0.028971	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
