Source	Target	num_triplets	ENVs	MutualInformation	ConditionalMutualInformation	InteractionInformation	II_p_value	DataProcessingInequality_MI_rank	DataProcessingInequality_indirect	DPI_num_MI_rank1	DPI_num_MI_rank2	DPI_num_MI_rank3	COMBI_II_DPI	portion_nan_Source_Target	portion_nan_Source_Target_ENV
ASV_10_16S_022_3	ASV_68_16S_022_3	1	ENV_Temperature	0.713253	0.248899	-0.464354	0.500500	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_13_16S_022_3	ASV_91_16S_022_3	1	ENV_Temperature	0.430929	0.249404	-0.181525	0.611389	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_77_16S_022_3	ASV_107_16S_022_3	1	ENV_Temperature	0.556317	0.260993	-0.295324	0.278721	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_56_16S_022_3	ASV_125_16S_022_3	1	ENV_Temperature	0.534057	0.114023	-0.420034	0.279720	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_10_16S_022_3	ASV_128_16S_022_3	1	ENV_Temperature	0.602389	0.216036	-0.386353	0.445554	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_128_16S_022_3	ASV_159_16S_022_3	1	ENV_Temperature	0.726542	0.208266	-0.518277	0.334665	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_43_16S_022_3	ASV_173_16S_022_3	1	ENV_Temperature	0.346644	0.047562	-0.299082	0.280719	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_103_16S_022_3	ASV_198_16S_022_3	1	ENV_Temperature	0.465179	0.347376	-0.117802	0.447552	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_191_16S_022_3	ASV_205_16S_022_3	1	ENV_Temperature	0.693258	1.864124	1.170865	nan	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_70_16S_022_3	ASV_213_16S_022_3	1	ENV_Temperature	0.587380	0.218417	-0.368963	0.556444	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_97_16S_022_3	ASV_216_16S_022_3	1	ENV_Temperature	0.512774	0.000000	-0.512774	1.000000	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_163_16S_022_3	ASV_216_16S_022_3	1	ENV_Temperature	0.436548	0.076840	-0.359708	0.000999	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_56_16S_022_3	ASV_219_16S_022_3	1	ENV_Temperature	0.449979	0.182429	-0.267549	0.667333	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_91_16S_022_3	ASV_219_16S_022_3	1	ENV_Temperature	0.503937	0.249404	-0.254533	0.556444	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_204_16S_022_3	ASV_224_16S_022_3	1	ENV_Temperature	0.664385	0.054468	-0.609917	0.000999	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_160_16S_022_3	ASV_233_16S_022_3	1	ENV_Temperature	0.892682	0.861577	-0.031106	0.667333	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_198_16S_022_3	ASV_240_16S_022_3	1	ENV_Temperature	0.703626	0.164041	-0.539585	0.336663	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_219_16S_022_3	ASV_254_16S_022_3	1	ENV_Temperature	0.442698	0.030726	-0.411972	0.556444	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_155_16S_022_3	ASV_260_16S_022_3	1	ENV_Temperature	0.733076	0.826280	0.093204	nan	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_182_16S_022_3	ASV_271_16S_022_3	1	ENV_Temperature	0.621381	0.153681	-0.467700	0.446553	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_96_16S_022_3	ASV_279_16S_022_3	1	ENV_Temperature	0.485458	0.019481	-0.465977	0.000999	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_175_16S_022_3	ASV_282_16S_022_3	1	ENV_Temperature	0.671541	0.010607	-0.660935	0.000999	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_281_16S_022_3	ASV_285_16S_022_3	1	ENV_Temperature	0.475733	1.575561	1.099828	nan	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_111_16S_022_3	ASV_299_16S_022_3	1	ENV_Temperature	0.649938	0.123565	-0.526373	0.167832	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_49_16S_022_3	ASV_306_16S_022_3	1	ENV_Temperature	0.792171	0.217097	-0.575074	0.000999	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_91_16S_022_3	ASV_306_16S_022_3	1	ENV_Temperature	0.516962	0.146292	-0.370670	0.334665	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_182_16S_022_3	ASV_319_16S_022_3	1	ENV_Temperature	0.532738	0.566306	0.033568	nan	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_217_16S_022_3	ASV_323_16S_022_3	1	ENV_Temperature	0.564989	0.052887	-0.512102	0.000999	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_241_16S_022_3	ASV_329_16S_022_3	1	ENV_Temperature	0.459962	0.200857	-0.259105	0.444555	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_155_16S_022_3	ASV_336_16S_022_3	1	ENV_Temperature	0.792654	0.828274	0.035621	nan	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_299_16S_022_3	ASV_341_16S_022_3	1	ENV_Temperature	0.547165	0.330181	-0.216984	0.446553	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_328_16S_022_3	ASV_342_16S_022_3	1	ENV_Temperature	0.836893	0.722126	-0.114766	0.890110	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_209_16S_022_3	ASV_346_16S_022_3	1	ENV_Temperature	0.535442	1.318373	0.782931	nan	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_160_16S_022_3	ASV_362_16S_022_3	1	ENV_Temperature	0.655293	0.143297	-0.511996	0.612388	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_198_16S_022_3	ASV_362_16S_022_3	1	ENV_Temperature	0.508810	0.072993	-0.435816	0.391608	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_260_16S_022_3	ASV_362_16S_022_3	1	ENV_Temperature	0.704581	0.144878	-0.559703	0.613387	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_159_16S_022_3	ASV_375_16S_022_3	1	ENV_Temperature	0.750859	0.326289	-0.424571	0.334665	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_376_16S_022_3	ASV_393_16S_022_3	1	ENV_Temperature	0.577806	0.095532	-0.482275	0.000999	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
