Source	Target	num_triplets	ENVs	MutualInformation	ConditionalMutualInformation	InteractionInformation	II_p_value	DataProcessingInequality_MI_rank	DataProcessingInequality_indirect	DPI_num_MI_rank1	DPI_num_MI_rank2	DPI_num_MI_rank3	COMBI_II_DPI	portion_nan_Source_Target	portion_nan_Source_Target_ENV
ASV_10_16S_022_3	ASV_68_16S_022_3	1	ENV_daylength	0.713253	0.177752	-0.535501	0.000999	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_13_16S_022_3	ASV_91_16S_022_3	1	ENV_daylength	0.430929	0.131663	-0.299266	0.334665	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_77_16S_022_3	ASV_107_16S_022_3	1	ENV_daylength	0.556317	0.260993	-0.295324	0.389610	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_56_16S_022_3	ASV_125_16S_022_3	1	ENV_daylength	0.534057	0.078580	-0.455477	0.000999	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_10_16S_022_3	ASV_128_16S_022_3	1	ENV_daylength	0.602389	0.212078	-0.390311	0.335664	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_128_16S_022_3	ASV_159_16S_022_3	1	ENV_daylength	0.726542	0.208266	-0.518277	0.390609	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_43_16S_022_3	ASV_173_16S_022_3	1	ENV_daylength	0.346644	0.030726	-0.315918	0.000999	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_103_16S_022_3	ASV_198_16S_022_3	1	ENV_daylength	0.465179	0.068487	-0.396692	0.000999	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_191_16S_022_3	ASV_205_16S_022_3	1	ENV_daylength	0.693258	1.864124	1.170865	nan	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_70_16S_022_3	ASV_213_16S_022_3	1	ENV_daylength	0.587380	0.147299	-0.440082	0.000999	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_97_16S_022_3	ASV_216_16S_022_3	1	ENV_daylength	0.512774	0.000000	-0.512774	0.944056	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
