Source	Target	Weight	MutualInformation	num_Triplets	percentage_co_occurrence	EA.20130423	EA.20130604	EA.20130625	EA.20131127	EA.20131230	EA.20140415	EA.20140514	EA.20140930	EA.20141029	EA.20150227	EA.20150328	EA.20150516	EA.20150627	EA.20150801	EA.20150829	EA.20151006	EA.20151208	EA.20160225	EA.20160322	EA.20160502	EA.20160611	EA.20160822
ASV_10_16S_022_3	ASV_128_16S_022_3	0.819535053805344	0.602389	0	90.909091	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ASV_10_16S_022_3	ASV_68_16S_022_3	0.952161478707018	0.713253	0	90.909091	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ASV_100_16S_022_3	ASV_359_16S_3_200	-0.668599545955658	0.422865	0	18.181818	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_100_16S_022_3	OTU_2605_18S_3_200	0.61493	0.510817	0	80	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_100_16S_022_3	OTU_3421_18S_3_200	0.633014048410931	0.473294	0	80	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_100_16S_022_3	OTU_7002_18S_022_3	0.699495017528534	0.473294	0	80	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1000_16S_022_3	ASV_1423_16S_022_3	0.637939989566803	0.593841	0	57.142857	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
ASV_1003_16S_022_3	OTU_1659_18S_3_200	0.765925943851471	0.462599	0	75	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1
ASV_1004_16S_022_3	ASV_1567_16S_022_3	0.690743446350098	0.510817	0	80	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1
ASV_1004_16S_022_3	OTU_3517_18S_3_200	0.531656920909882	0.475853	0	66.666667	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0
ASV_1004_16S_022_3	OTU_935_18S_3_200	0.696284770965576	0.497912	0	71.428571	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	1
ASV_1006_16S_022_3	OTU_828_18S_022_3	0.536002793015664	0.560796	0	62.5	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1
ASV_1008_16S_022_3	OTU_3772_18S_022_3	-0.588003039360046	0.37393	0	9.090909	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASV_1008_16S_022_3	OTU_7991_18S_3_200	-0.784214827887719	0.313656	0	9.090909	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ASV_101_16S_022_3	ASV_433_16S_022_3	0.753950916213088	0.364511	0	89.473684	1	1	1	1	1	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	0
ASV_1014_16S_022_3	OTU_192_18S_3_200	-0.63116	0.4692	0	9.090909	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1018_16S_022_3	ASV_1342_16S_022_3	0.783206928756699	0.473294	0	66.666667	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0
ASV_1019_16S_022_3	ASV_1238_16S_022_3	0.585050162357425	0.558186	0	83.333333	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1
ASV_1019_16S_022_3	OTU_1854_18S_3_200	0.550574077023413	0.520662	0	83.333333	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1
ASV_1019_16S_022_3	OTU_258_18S_3_200	0.723524391651154	0.701483	0	83.333333	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
ASV_1019_16S_022_3	OTU_2754_18S_3_200	0.586240708827972	0.450544	0	66.666667	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
ASV_1020_16S_022_3	OTU_177_18S_022_3	-0.809539726320244	0.498307	0	4.761905	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1025_16S_022_3	ASV_1398_16S_022_3	0.975168843660942	0.99993	0	100	1	1	1	1	1	1	0	0	0	0	1	1	1	0	0	0	1	0	1	1	0	0
ASV_1025_16S_022_3	ASV_2171_16S_022_3	0.550087809562683	0.989556	0	91.666667	1	1	1	1	1	1	0	0	0	0	1	1	1	0	0	0	1	0	0	1	0	0
ASV_1026_16S_022_3	OTU_2752_18S_3_200	-0.829617660826615	0.439382	0	9.090909	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_103_16S_022_3	ASV_198_16S_022_3	0.746736474003712	0.465179	0	95	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1
ASV_103_16S_022_3	OTU_4111_18S_022_3	-0.647245943546295	0.296775	0	13.636364	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ASV_1031_16S_022_3	OTU_1438_18S_3_200	0.619320273399353	0.475162	0	50	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
ASV_1032_16S_022_3	ASV_1252_16S_022_3	0.81115112543458	0.472153	0	71.428571	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0
ASV_1032_16S_022_3	ASV_1669_16S_022_3	0.560917383057927	0.415579	0	66.666667	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
ASV_1032_16S_022_3	OTU_1736_18S_022_3	0.743421736856035	0.516096	0	57.142857	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
ASV_1032_16S_022_3	OTU_201_18S_022_3	0.535889921330065	0.61545	0	71.428571	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0
ASV_1033_16S_022_3	ASV_1690_16S_022_3	0.787841975688934	0.663959	0	83.333333	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0
ASV_1035_16S_022_3	ASV_1787_16S_022_3	0.748088103142086	0.368211	0	50	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ASV_1040_16S_022_3	ASV_1392_16S_022_3	0.884832561016083	0.788383	0	100	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	1	1	0	0	0	0	1
ASV_1040_16S_022_3	OTU_1479_18S_3_200	0.64392626285553	0.605896	0	75	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	1
ASV_1053_16S_022_3	ASV_1230_16S_022_3	0.626027430755337	0.602995	0	75	0	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0
ASV_1053_16S_022_3	OTU_3627_18S_022_3	0.70042	0.622336	0	87.5	0	1	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0
ASV_1053_16S_022_3	OTU_58_18S_022_3	0.55091392993927	0.515219	0	61.538462	0	1	1	1	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1	0
ASV_1056_16S_022_3	ASV_1033_16S_3_200	0.736313880762559	0.533567	0	57.142857	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0
ASV_1056_16S_022_3	OTU_638_18S_022_3	-0.568535327911377	0.376939	0	4.545455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ASV_1056_16S_022_3	OTU_71_18S_022_3	-0.538064062595367	0.593841	0	4.545455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASV_106_16S_022_3	ASV_1324_16S_022_3	0.67657083272934	0.497912	0	71.428571	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0
