Source	Target	num_triplets	ENVs	SignPattern	Overlap	MutualInformation	ConditionalMutualInformation	InteractionInformation	II_p_value	DataProcessingInequality_MI_rank	DataProcessingInequality_indirect	DPI_num_MI_rank1	DPI_num_MI_rank2	DPI_num_MI_rank3	COMBI_SP_OL_II_DPI	portion_nan_Source_Target	portion_nan_Source_Target_ENV	presence_X	presence_Y	presence_X_AND_Y	presence_X_OR_Y	percentage_co_occurrence
ep_ASV_00126	bn_ASV_000015	1	ENV_Day_length_Hours_light	0.000000	100.000000	0.289898	0.292649	0.002751	nan	1.000000	0.000000	1	0	0	1.000000	0.000000	0.000000	55	110	47	118	39.830508
ep_ASV_00126	bn_ASV_000026	1	ENV_Temp	0.000000	100.000000	0.511995	0.279928	-0.232067	0.159840	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000	55	96	48	103	46.601942
ep_ASV_00126	bn_ASV_000125	1	ENV_Temp	0.000000	100.000000	0.565771	0.377172	-0.188599	0.617383	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000	55	86	46	95	48.421053
ep_ASV_00126	bn_ASV_000133	1	ENV_Day_length_Hours_light	0.000000	100.000000	0.462074	0.219137	-0.242937	0.061938	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000	55	85	47	93	50.537634
ep_ASV_00126	bn_ASV_000092	2	ENV_Day_length_Hours_light;ENV_Temp	0.000000;0.000000	100.000000;100.000000	0.467357	0.238867;0.407182	-0.228490;-0.060175	0.027972;0.143856	3.000000;3.000000	1.000000;1.000000	0	0	2	1.000000;1.000000	0.000000	0.000000;0.000000	55	82	47	90	52.222222
ep_ASV_00126	bn_ASV_000088	2	ENV_Day_length_Hours_light;ENV_Temp	0.000000;0.000000	100.000000;100.000000	0.457876	0.178547;0.363236	-0.279329;-0.094640	0.043956;0.191808	2.000000;3.000000	1.000000;1.000000	0	1	1	1.000000;1.000000	0.000000	0.000000;0.000000	55	86	51	90	56.666667
ep_ASV_00126	bn_ASV_000037	2	ENV_Day_length_Hours_light;ENV_Temp	0.000000;0.000000	100.000000;100.000000	0.569878	0.130036;0.340324	-0.439843;-0.229554	0.105894;0.125874	3.000000;3.000000	1.000000;1.000000	0	0	2	1.000000;1.000000	0.000000	0.000000;0.000000	55	76	48	83	57.831325
ep_ASV_00126	bn_ASV_000184	1	ENV_Temp	0.000000	100.000000	0.490974	0.437544	-0.053430	0.273726	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000	55	70	44	81	54.320988
ep_ASV_00126	bn_ASV_000077	2	ENV_Day_length_Hours_light;ENV_Temp	0.000000;0.000000	87.500000;95.000000	0.285114	0.494094;0.043784	0.208981;-0.241330	nan;0.160839	2.000000;1.000000	1.000000;0.000000	1	1	0	1.000000;1.000000	0.000000	0.000000;0.000000	55	68	14	109	12.844037
ep_ASV_00126	bn_ASV_000221	1	ENV_Day_length_Hours_light	0.000000	100.000000	0.571342	0.093498	-0.477844	0.000999	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000	55	74	46	83	55.421687
ep_ASV_00126	bn_ASV_000132	1	ENV_Temp	0.000000	100.000000	0.389423	0.343779	-0.045644	0.076923	1.000000	0.000000	1	0	0	1.000000	0.000000	0.000000	55	73	47	81	58.024691
ep_ASV_00126	bn_ASV_000039	2	ENV_Day_length_Hours_light;ENV_Temp	0.000000;0.000000	100.000000;100.000000	0.475035	0.290477;0.332255	-0.184559;-0.142781	0.089910;0.118881	3.000000;2.000000	1.000000;1.000000	0	1	1	1.000000;1.000000	0.000000	0.000000;0.000000	55	68	48	75	64.000000
ep_ASV_00126	bn_ASV_000080	2	ENV_Day_length_Hours_light;ENV_Temp	0.000000;0.000000	100.000000;96.666667	0.471975	0.126217;0.216276	-0.345758;-0.255699	0.006993;0.027972	3.000000;3.000000	1.000000;1.000000	0	0	2	1.000000;1.000000	0.000000	0.000000;0.000000	55	68	40	83	48.192771
ep_ASV_00126	bn_ASV_000116	1	ENV_Temp	0.000000	100.000000	0.380149	0.049820	-0.330330	0.159840	1.000000	0.000000	1	0	0	1.000000	0.000000	0.000000	55	69	12	112	10.714286
ep_ASV_00126	bn_ASV_000028	2	ENV_Day_length_Hours_light;ENV_Temp	0.000000;0.000000	99.107143;100.000000	0.236212	0.594622;0.119106	0.358410;-0.117107	nan;0.205794	2.000000;1.000000	1.000000;0.000000	1	1	0	1.000000;1.000000	0.000000	0.000000;0.000000	55	70	16	109	14.678899
ep_ASV_00126	bn_ASV_000102	2	ENV_Day_length_Hours_light;ENV_Temp	0.000000;0.000000	100.000000;100.000000	0.563835	0.132428;0.398020	-0.431407;-0.165815	0.015984;0.219780	3.000000;3.000000	1.000000;1.000000	0	0	2	1.000000;1.000000	0.000000	0.000000;0.000000	55	77	48	84	57.142857
ep_ASV_00126	bn_ASV_000059	1	ENV_Temp	0.000000	100.000000	0.477255	0.456349	-0.020906	0.431568	2.000000	1.000000	0	1	0	1.000000	0.000000	0.000000	55	69	46	78	58.974359
ep_ASV_00126	bn_ASV_000043	2	ENV_Day_length_Hours_light;ENV_Temp	0.000000;0.000000	95.833333;100.000000	0.295009	0.606900;0.016618	0.311891;-0.278391	nan;0.001998	1.000000;1.000000	0.000000;0.000000	2	0	0	1.000000;0.000000	0.000000	0.000000;0.000000	55	68	15	108	13.888889
ep_ASV_00126	bn_ASV_000089	1	ENV_Temp	0.000000	100.000000	0.429945	0.413123	-0.016821	0.546454	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000	55	75	45	85	52.941176
ep_ASV_00126	bn_ASV_000073	2	ENV_Day_length_Hours_light;ENV_Temp	0.000000;0.000000	100.000000;100.000000	0.554565	0.261569;0.363534	-0.292996;-0.191031	0.022977;0.055944	3.000000;3.000000	1.000000;1.000000	0	0	2	1.000000;1.000000	0.000000	0.000000;0.000000	55	61	47	69	68.115942
