Source_sorted	Target_sorted	Weight
Actinobacteriota	Alphaproteobacteria	2
Actinobacteriota	Dinoflagellata	3
Actinobacteriota	Gammaproteobacteria	1
Actinobacteriota	Planctomycetota	2
Actinobacteriota	Verrucomicrobiota	1
Alphaproteobacteria	Alphaproteobacteria	18
Alphaproteobacteria	Bacteroidota	7
Alphaproteobacteria	Bdellovibrionota	1
Alphaproteobacteria	Cercozoa	1
Alphaproteobacteria	Ciliophora	2
Alphaproteobacteria	Cyanobacteria	1
Alphaproteobacteria	Dinoflagellata	1
Alphaproteobacteria	Gammaproteobacteria	7
Alphaproteobacteria	Marinimicrobia (SAR406 clade)	3
Alphaproteobacteria	Ochrophyta	1
Alphaproteobacteria	Planctomycetota	1
Alphaproteobacteria	Sagenista	1
Alphaproteobacteria	Stramenopiles_X	1
Alphaproteobacteria	Thermoplasmatota	2
Apicomplexa	Ciliophora	1
Bacteroidota	Bacteroidota	6
Bacteroidota	Cercozoa	3
Bacteroidota	Ciliophora	1
Bacteroidota	Firmicutes	1
Bacteroidota	Gammaproteobacteria	6
Bacteroidota	Marinimicrobia (SAR406 clade)	2
Bacteroidota	Ochrophyta	2
Bacteroidota	Opalozoa	1
Bacteroidota	Sagenista	2
Bacteroidota	Verrucomicrobiota	1
Bdellovibrionota	Gammaproteobacteria	1
Cercozoa	Cryptophyta	2
Cercozoa	Cyanobacteria	1
Cercozoa	Dinoflagellata	1
Cercozoa	Gammaproteobacteria	1
Cercozoa	Opalozoa	1
Chlorophyta	Chlorophyta	3
Chlorophyta	Cyanobacteria	1
Chlorophyta	Mesomycetozoa	1
Chlorophyta	Ochrophyta	1
Chlorophyta	Picozoa	1
Chlorophyta	Sagenista	1
Choanoflagellida	Ochrophyta	1
Ciliophora	Cryptophyta	1
Ciliophora	Dinoflagellata	1
Ciliophora	Haptophyta	1
Ciliophora	Ochrophyta	3
Ciliophora	Picozoa	2
Ciliophora	Planctomycetota	2
Cryptophyta	Cryptophyta	7
Cryptophyta	Dinoflagellata	2
Cryptophyta	Haptophyta	1
Cryptophyta	Ochrophyta	2
Cryptophyta	Planctomycetota	1
Cryptophyta	Sagenista	1
Cryptophyta	Telonemia	1
Cyanobacteria	Cyanobacteria	3
Cyanobacteria	Gammaproteobacteria	3
Cyanobacteria	Planctomycetota	1
Dinoflagellata	Dinoflagellata	7
Dinoflagellata	Gammaproteobacteria	2
Dinoflagellata	Marinimicrobia (SAR406 clade)	1
Dinoflagellata	Ochrophyta	1
Dinoflagellata	Opalozoa	1
Dinoflagellata	Planctomycetota	1
Dinoflagellata	Sagenista	1
Dinoflagellata	Telonemia	1
Dinoflagellata	Verrucomicrobiota	1
Gammaproteobacteria	Gammaproteobacteria	2
Gammaproteobacteria	Marinimicrobia (SAR406 clade)	3
Gammaproteobacteria	Ochrophyta	1
Gammaproteobacteria	Picozoa	1
Gammaproteobacteria	Planctomycetota	2
Gammaproteobacteria	SAR324 clade(Marine group B)	1
Gammaproteobacteria	unknown 16S	1
Haptophyta	Marinimicrobia (SAR406 clade)	1
Haptophyta	Ochrophyta	1
Ochrophyta	Ochrophyta	8
Ochrophyta	Opalozoa	1
Ochrophyta	Planctomycetota	2
Ochrophyta	Sagenista	1
Ochrophyta	Telonemia	3
Ochrophyta	Thermoplasmatota	1
Opalozoa	Opalozoa	1
Opalozoa	Sagenista	2
Opalozoa	Telonemia	1
Sagenista	Telonemia	1
Sagenista	Thermoplasmatota	1
Thermoplasmatota	Thermoplasmatota	1
