Source_sorted	Target_sorted	Weight
Actinobacteriota	Dinoflagellata	9
Actinobacteriota	Ochrophyta	1
Actinobacteriota	Thermoplasmatota	2
Alphaproteobacteria	Apicomplexa	1
Alphaproteobacteria	Cercozoa	4
Alphaproteobacteria	Chlorophyta	3
Alphaproteobacteria	Choanoflagellida	2
Alphaproteobacteria	Ciliophora	6
Alphaproteobacteria	Crenarchaeota	3
Alphaproteobacteria	Cryptophyta	1
Alphaproteobacteria	Dinoflagellata	69
Alphaproteobacteria	Haptophyta	1
Alphaproteobacteria	Katablepharidophyta	3
Alphaproteobacteria	Mesomycetozoa	1
Alphaproteobacteria	Ochrophyta	18
Alphaproteobacteria	Opalozoa	6
Alphaproteobacteria	Picozoa	1
Alphaproteobacteria	Pseudofungi	1
Alphaproteobacteria	Rhodelphidia	1
Alphaproteobacteria	Sagenista	1
Alphaproteobacteria	Stramenopiles_X	5
Alphaproteobacteria	Telonemia	6
Alphaproteobacteria	Thermoplasmatota	13
Apicomplexa	Gammaproteobacteria	2
Apicomplexa	Planctomycetota	1
Bacteroidota	Cercozoa	3
Bacteroidota	Chlorophyta	8
Bacteroidota	Choanoflagellida	5
Bacteroidota	Ciliophora	13
Bacteroidota	Crenarchaeota	4
Bacteroidota	Cryptophyta	3
Bacteroidota	Dinoflagellata	86
Bacteroidota	Haptophyta	1
Bacteroidota	Mesomycetozoa	3
Bacteroidota	Ochrophyta	12
Bacteroidota	Opalozoa	1
Bacteroidota	Picozoa	4
Bacteroidota	Pseudofungi	1
Bacteroidota	Radiolaria	1
Bacteroidota	Sagenista	6
Bacteroidota	Telonemia	6
Bacteroidota	Thermoplasmatota	9
Bacteroidota	unknown 18S	1
Centroheliozoa	Gammaproteobacteria	1
Cercozoa	Gammaproteobacteria	6
Cercozoa	Planctomycetota	2
Chloroflexi	Crenarchaeota	1
Chloroflexi	Cryptophyta	1
Chloroflexi	Dinoflagellata	1
Chloroflexi	Ochrophyta	1
Chloroflexi	Thermoplasmatota	2
Chlorophyta	Crenarchaeota	1
Chlorophyta	Gammaproteobacteria	3
Chlorophyta	Planctomycetota	4
Chlorophyta	Thermoplasmatota	1
Chlorophyta	Verrucomicrobiota	1
Choanoflagellida	Gammaproteobacteria	2
Choanoflagellida	Thermoplasmatota	1
Ciliophora	Gammaproteobacteria	7
Ciliophora	Marinimicrobia (SAR406 clade)	2
Ciliophora	Planctomycetota	2
Ciliophora	Verrucomicrobiota	1
Crenarchaeota	Crenarchaeota	1
Crenarchaeota	Dadabacteria	1
Crenarchaeota	Gammaproteobacteria	2
Crenarchaeota	Marinimicrobia (SAR406 clade)	2
Crenarchaeota	Planctomycetota	1
Cryptophyta	Gammaproteobacteria	1
Cryptophyta	Planctomycetota	2
Cryptophyta	Verrucomicrobiota	1
Cyanobacteria	Dinoflagellata	8
Cyanobacteria	Ochrophyta	3
Cyanobacteria	Opalozoa	1
Cyanobacteria	Thermoplasmatota	1
Desulfobacterota	Dinoflagellata	3
Desulfobacterota	Ochrophyta	1
Desulfobacterota	Thermoplasmatota	1
Dinoflagellata	Firmicutes	3
Dinoflagellata	Gammaproteobacteria	52
Dinoflagellata	Marinimicrobia (SAR406 clade)	8
Dinoflagellata	NB1-j	1
Dinoflagellata	PAUC34f	1
Dinoflagellata	Planctomycetota	14
Dinoflagellata	SAR324 clade(Marine group B)	2
Dinoflagellata	Thermoplasmatota	4
Dinoflagellata	Verrucomicrobiota	7
Firmicutes	Ochrophyta	1
Firmicutes	Pseudofungi	1
Gammaproteobacteria	Haptophyta	1
Gammaproteobacteria	Mesomycetozoa	1
Gammaproteobacteria	Ochrophyta	13
Gammaproteobacteria	Opalozoa	4
Gammaproteobacteria	Picozoa	4
Gammaproteobacteria	Pseudofungi	1
Gammaproteobacteria	Radiolaria	1
Gammaproteobacteria	Rhodophyta	2
Gammaproteobacteria	Sagenista	6
Gammaproteobacteria	Telonemia	3
Gammaproteobacteria	Thermoplasmatota	2
Gemmatimonadota	Telonemia	1
Haptophyta	Marinimicrobia (SAR406 clade)	1
Haptophyta	PAUC34f	1
Haptophyta	Planctomycetota	1
Haptophyta	Verrucomicrobiota	1
Marinimicrobia (SAR406 clade)	Ochrophyta	2
Marinimicrobia (SAR406 clade)	Thermoplasmatota	8
NB1-j	Ochrophyta	1
Ochrophyta	Planctomycetota	9
Ochrophyta	SAR324 clade(Marine group B)	1
Ochrophyta	Thermoplasmatota	4
Ochrophyta	Verrucomicrobiota	1
Opalozoa	Planctomycetota	1
Opalozoa	Thermoplasmatota	1
Picozoa	Planctomycetota	1
Planctomycetota	Thermoplasmatota	5
SAR324 clade(Marine group B)	Thermoplasmatota	1
Sagenista	Thermoplasmatota	1
Telonemia	Verrucomicrobiota	2
Thermoplasmatota	Thermoplasmatota	11
Thermoplasmatota	Verrucomicrobiota	1
