Source_sorted	Target_sorted	Weight
Apicomplexa	Cercozoa	1
Apicomplexa	Chlorophyta	1
Apicomplexa	Choanoflagellida	1
Apicomplexa	Dinoflagellata	1
Apicomplexa	Ochrophyta	1
Apicomplexa	Pseudofungi	1
Apusomonadidae	Dinoflagellata	1
Apusomonadidae	Ochrophyta	1
Apusomonadidae	Radiolaria	1
Centroheliozoa	Dinoflagellata	1
Centroheliozoa	Ochrophyta	1
Cercozoa	Chlorophyta	3
Cercozoa	Choanoflagellida	5
Cercozoa	Ciliophora	3
Cercozoa	Dinoflagellata	40
Cercozoa	Katablepharidophyta	2
Cercozoa	Mesomycetozoa	1
Cercozoa	Ochrophyta	8
Cercozoa	Opalozoa	3
Cercozoa	Picozoa	2
Cercozoa	Radiolaria	3
Cercozoa	Sagenista	8
Cercozoa	Telonemia	3
Chlorophyta	Chlorophyta	2
Chlorophyta	Choanoflagellida	1
Chlorophyta	Ciliophora	1
Chlorophyta	Cryptophyta	4
Chlorophyta	Dinoflagellata	32
Chlorophyta	Ochrophyta	11
Chlorophyta	Opalozoa	1
Chlorophyta	Pseudofungi	1
Chlorophyta	Rhodophyta	1
Chlorophyta	Sagenista	1
Chlorophyta	Telonemia	3
Chlorophyta	unknown 18S	1
Choanoflagellida	Choanoflagellida	4
Choanoflagellida	Ciliophora	3
Choanoflagellida	Dinoflagellata	23
Choanoflagellida	Haptophyta	1
Choanoflagellida	Katablepharidophyta	1
Choanoflagellida	Ochrophyta	7
Choanoflagellida	Pseudofungi	1
Choanoflagellida	Radiolaria	1
Choanoflagellida	Rhodophyta	1
Choanoflagellida	Sagenista	4
Choanoflagellida	Telonemia	4
Ciliophora	Ciliophora	31
Ciliophora	Cryptophyta	3
Ciliophora	Dinoflagellata	96
Ciliophora	Haptophyta	3
Ciliophora	Katablepharidophyta	1
Ciliophora	Mesomycetozoa	1
Ciliophora	Ochrophyta	23
Ciliophora	Opalozoa	7
Ciliophora	Picozoa	6
Ciliophora	Pseudofungi	2
Ciliophora	Radiolaria	3
Ciliophora	Rhodelphidia	1
Ciliophora	Rhodophyta	2
Ciliophora	Sagenista	4
Ciliophora	Telonemia	9
Conosa	Haptophyta	1
Cryptophyta	Dinoflagellata	8
Cryptophyta	Katablepharidophyta	1
Cryptophyta	Ochrophyta	2
Cryptophyta	Sagenista	2
Cryptophyta	Telonemia	1
Dinoflagellata	Dinoflagellata	272
Dinoflagellata	Haptophyta	12
Dinoflagellata	Katablepharidophyta	4
Dinoflagellata	Lobosa	1
Dinoflagellata	Ochrophyta	91
Dinoflagellata	Opalozoa	28
Dinoflagellata	Picozoa	14
Dinoflagellata	Pseudofungi	11
Dinoflagellata	Radiolaria	28
Dinoflagellata	Rhodelphidia	1
Dinoflagellata	Rhodophyta	1
Dinoflagellata	Sagenista	31
Dinoflagellata	Stramenopiles_X	3
Dinoflagellata	Telonemia	24
Dinoflagellata	unknown 18S	4
Haptophyta	Ochrophyta	3
Haptophyta	Opalozoa	1
Haptophyta	Pseudofungi	1
Katablepharidophyta	Opalozoa	2
Katablepharidophyta	Picozoa	1
Mesomycetozoa	Ochrophyta	2
Mesomycetozoa	Rhodophyta	1
Ochrophyta	Ochrophyta	28
Ochrophyta	Opalozoa	9
Ochrophyta	Picozoa	5
Ochrophyta	Pseudofungi	5
Ochrophyta	Radiolaria	7
Ochrophyta	Rhodophyta	1
Ochrophyta	Sagenista	8
Ochrophyta	Stramenopiles_X	1
Ochrophyta	Telonemia	11
Opalozoa	Opalozoa	3
Opalozoa	Picozoa	3
Opalozoa	Radiolaria	2
Opalozoa	Sagenista	7
Opalozoa	Telonemia	5
Picozoa	Picozoa	2
Picozoa	Sagenista	1
Prasinodermophyta	Sagenista	1
Pseudofungi	Rhodophyta	1
Pseudofungi	Telonemia	3
Radiolaria	Radiolaria	4
Radiolaria	Sagenista	1
Radiolaria	Telonemia	1
Rhodophyta	Rhodophyta	3
Rhodophyta	Telonemia	2
Sagenista	Sagenista	3
Sagenista	Telonemia	3
Telonemia	Telonemia	1
