Source_sorted	Target_sorted	Weight
Actinobacteriota	Cercozoa	1
Actinobacteriota	Chlorophyta	2
Actinobacteriota	Dinoflagellata	7
Alphaproteobacteria	Apusomonadidae	1
Alphaproteobacteria	Cercozoa	11
Alphaproteobacteria	Chlorophyta	2
Alphaproteobacteria	Choanoflagellida	3
Alphaproteobacteria	Ciliophora	9
Alphaproteobacteria	Cryptophyta	3
Alphaproteobacteria	Dinoflagellata	20
Alphaproteobacteria	Haptophyta	2
Alphaproteobacteria	Ochrophyta	17
Alphaproteobacteria	Opalozoa	5
Alphaproteobacteria	Picozoa	1
Alphaproteobacteria	Prasinodermophyta	1
Alphaproteobacteria	Pseudofungi	2
Alphaproteobacteria	Rhodophyta	1
Alphaproteobacteria	Sagenista	5
Alphaproteobacteria	Stramenopiles_X	3
Alphaproteobacteria	Telonemia	3
Alphaproteobacteria	Thermoplasmatota	7
Apicomplexa	Bacteroidota	1
Apicomplexa	Gammaproteobacteria	1
Apusomonadidae	Gammaproteobacteria	1
Bacteroidota	Cercozoa	12
Bacteroidota	Chlorophyta	3
Bacteroidota	Choanoflagellida	2
Bacteroidota	Ciliophora	14
Bacteroidota	Cryptophyta	1
Bacteroidota	Dinoflagellata	22
Bacteroidota	Haptophyta	4
Bacteroidota	Katablepharidophyta	1
Bacteroidota	Ochrophyta	19
Bacteroidota	Opalozoa	4
Bacteroidota	Pseudofungi	4
Bacteroidota	Radiolaria	2
Bacteroidota	Sagenista	6
Bacteroidota	Stramenopiles_X	2
Bacteroidota	Telonemia	2
Bacteroidota	Thermoplasmatota	2
Bdellovibrionota	Cercozoa	2
Bdellovibrionota	Chlorophyta	2
Bdellovibrionota	Ciliophora	2
Bdellovibrionota	Cryptophyta	1
Bdellovibrionota	Dinoflagellata	9
Bdellovibrionota	Ochrophyta	4
Bdellovibrionota	Sagenista	1
Cercozoa	Cyanobacteria	3
Cercozoa	Gammaproteobacteria	13
Cercozoa	Marinimicrobia (SAR406 clade)	5
Cercozoa	Myxococcota	1
Cercozoa	Planctomycetota	2
Cercozoa	Thermoplasmatota	1
Cercozoa	Verrucomicrobiota	3
Chlorophyta	Cyanobacteria	2
Chlorophyta	Firmicutes	1
Chlorophyta	Gammaproteobacteria	1
Chlorophyta	Verrucomicrobiota	1
Choanoflagellida	Gammaproteobacteria	2
Ciliophora	Gammaproteobacteria	5
Ciliophora	Marinimicrobia (SAR406 clade)	2
Ciliophora	Planctomycetota	5
Ciliophora	Thermoplasmatota	1
Ciliophora	Verrucomicrobiota	1
Cryptophyta	Gammaproteobacteria	1
Cryptophyta	Planctomycetota	1
Cyanobacteria	Dinoflagellata	6
Cyanobacteria	Mesomycetozoa	1
Cyanobacteria	Ochrophyta	2
Cyanobacteria	Opalozoa	1
Cyanobacteria	Pseudofungi	1
Cyanobacteria	Radiolaria	1
Dadabacteria	Dinoflagellata	1
Desulfobacterota	Dinoflagellata	2
Dinoflagellata	Firmicutes	2
Dinoflagellata	Gammaproteobacteria	20
Dinoflagellata	Marinimicrobia (SAR406 clade)	8
Dinoflagellata	Myxococcota	1
Dinoflagellata	Planctomycetota	5
Dinoflagellata	Verrucomicrobiota	5
Dinoflagellata	WPS-2	1
Gammaproteobacteria	Haptophyta	1
Gammaproteobacteria	Mesomycetozoa	1
Gammaproteobacteria	Ochrophyta	16
Gammaproteobacteria	Opalozoa	3
Gammaproteobacteria	Picozoa	2
Gammaproteobacteria	Prasinodermophyta	1
Gammaproteobacteria	Sagenista	4
Gammaproteobacteria	Stramenopiles_X	1
Gammaproteobacteria	Thermoplasmatota	1
Gammaproteobacteria	unknown 18S	1
Haptophyta	Marinimicrobia (SAR406 clade)	1
Haptophyta	Planctomycetota	1
Hilomonadea	Planctomycetota	1
Marinimicrobia (SAR406 clade)	Ochrophyta	6
Myxococcota	Ochrophyta	2
Nanoarchaeota	Ochrophyta	1
Nanoarchaeota	Radiolaria	1
Nanoarchaeota	Sagenista	1
Ochrophyta	Planctomycetota	4
Ochrophyta	Thermoplasmatota	5
Ochrophyta	Verrucomicrobiota	3
Opalozoa	Planctomycetota	2
Opalozoa	Verrucomicrobiota	1
Planctomycetota	Radiolaria	1
Planctomycetota	Sagenista	2
Planctomycetota	Thermoplasmatota	1
Sagenista	Thermoplasmatota	2
Sagenista	Verrucomicrobiota	1
Stramenopiles_X	unknown 16S	1
Thermoplasmatota	Thermoplasmatota	1
