Source_sorted	Target_sorted	Weight
Apicomplexa	Cercozoa	3
Apicomplexa	Ciliophora	3
Apicomplexa	Dinoflagellata	2
Apicomplexa	Haptophyta	2
Apicomplexa	Ochrophyta	3
Apicomplexa	Opalozoa	1
Apicomplexa	Sagenista	1
Apusomonadidae	Ciliophora	2
Apusomonadidae	Sagenista	2
Apusomonadidae	unknown 18S	1
Centroheliozoa	Centroheliozoa	3
Centroheliozoa	Cercozoa	5
Centroheliozoa	Choanoflagellida	1
Centroheliozoa	Ciliophora	5
Centroheliozoa	Dinoflagellata	19
Centroheliozoa	Haptophyta	9
Centroheliozoa	Ochrophyta	9
Cercozoa	Cercozoa	35
Cercozoa	Chlorophyta	7
Cercozoa	Choanoflagellida	7
Cercozoa	Ciliophora	40
Cercozoa	Cryptophyta	2
Cercozoa	Dinoflagellata	98
Cercozoa	Haptophyta	15
Cercozoa	Katablepharidophyta	2
Cercozoa	Mesomycetozoa	1
Cercozoa	Ochrophyta	47
Cercozoa	Opalozoa	17
Cercozoa	Picozoa	2
Cercozoa	Pseudofungi	4
Cercozoa	Radiolaria	2
Cercozoa	Sagenista	8
Cercozoa	Telonemia	12
Cercozoa	unknown 18S	2
Chlorophyta	Chlorophyta	4
Chlorophyta	Choanoflagellida	2
Chlorophyta	Ciliophora	4
Chlorophyta	Cryptophyta	3
Chlorophyta	Dinoflagellata	32
Chlorophyta	Haptophyta	11
Chlorophyta	Mesomycetozoa	2
Chlorophyta	Ochrophyta	13
Chlorophyta	Opalozoa	7
Chlorophyta	Picozoa	2
Chlorophyta	Prasinodermophyta	1
Chlorophyta	Pseudofungi	2
Chlorophyta	Sagenista	3
Chlorophyta	Telonemia	4
Choanoflagellida	Choanoflagellida	6
Choanoflagellida	Ciliophora	6
Choanoflagellida	Dinoflagellata	27
Choanoflagellida	Haptophyta	5
Choanoflagellida	Katablepharidophyta	1
Choanoflagellida	Ochrophyta	22
Choanoflagellida	Opalozoa	5
Choanoflagellida	Picozoa	4
Choanoflagellida	Prasinodermophyta	1
Choanoflagellida	Pseudofungi	2
Choanoflagellida	Radiolaria	3
Choanoflagellida	Rhodophyta	1
Choanoflagellida	Sagenista	3
Choanoflagellida	Stramenopiles_X	1
Choanoflagellida	Telonemia	1
Choanoflagellida	unknown 18S	1
Ciliophora	Ciliophora	23
Ciliophora	Cryptophyta	5
Ciliophora	Dinoflagellata	67
Ciliophora	Haptophyta	4
Ciliophora	Katablepharidophyta	1
Ciliophora	Lobosa	1
Ciliophora	Mesomycetozoa	1
Ciliophora	Ochrophyta	36
Ciliophora	Opalozoa	12
Ciliophora	Picozoa	3
Ciliophora	Pseudofungi	1
Ciliophora	Radiolaria	1
Ciliophora	Sagenista	9
Ciliophora	Stramenopiles_X	1
Ciliophora	Telonemia	2
Ciliophora	unknown 18S	1
Cryptophyta	Cryptophyta	7
Cryptophyta	Dinoflagellata	7
Cryptophyta	Haptophyta	1
Cryptophyta	Katablepharidophyta	1
Cryptophyta	Mesomycetozoa	1
Cryptophyta	Ochrophyta	9
Cryptophyta	Opalozoa	1
Cryptophyta	Picozoa	1
Cryptophyta	Pseudofungi	3
Cryptophyta	Sagenista	4
Cryptophyta	Telonemia	1
Dinoflagellata	Dinoflagellata	230
Dinoflagellata	Haptophyta	92
Dinoflagellata	Hilomonadea	2
Dinoflagellata	Lobosa	3
Dinoflagellata	Mesomycetozoa	6
Dinoflagellata	Ochrophyta	148
Dinoflagellata	Opalozoa	52
Dinoflagellata	Picozoa	10
Dinoflagellata	Prasinodermophyta	1
Dinoflagellata	Pseudofungi	11
Dinoflagellata	Radiolaria	17
Dinoflagellata	Sagenista	22
Dinoflagellata	Stramenopiles_X	4
Dinoflagellata	Telonemia	17
Haptophyta	Haptophyta	95
Haptophyta	Katablepharidophyta	1
Haptophyta	Mesomycetozoa	2
Haptophyta	Ochrophyta	32
Haptophyta	Opalozoa	16
Haptophyta	Radiolaria	2
Haptophyta	Sagenista	3
Haptophyta	Stramenopiles_X	1
Haptophyta	Telonemia	6
Katablepharidophyta	Ochrophyta	2
Lobosa	Ochrophyta	1
Mesomycetozoa	Ochrophyta	3
Mesomycetozoa	Opalozoa	1
Mesomycetozoa	Radiolaria	1
Ochrophyta	Ochrophyta	61
Ochrophyta	Opalozoa	18
Ochrophyta	Picozoa	7
Ochrophyta	Prasinodermophyta	4
Ochrophyta	Pseudofungi	15
Ochrophyta	Radiolaria	6
Ochrophyta	Sagenista	18
Ochrophyta	Stramenopiles_X	2
Ochrophyta	Telonemia	13
Opalozoa	Opalozoa	10
Opalozoa	Picozoa	3
Opalozoa	Prasinodermophyta	1
Opalozoa	Pseudofungi	2
Opalozoa	Radiolaria	2
Opalozoa	Sagenista	6
Opalozoa	Stramenopiles_X	1
Opalozoa	Telonemia	6
Picozoa	Picozoa	1
Picozoa	Sagenista	3
Picozoa	Stramenopiles_X	1
Picozoa	Telonemia	1
Pseudofungi	Pseudofungi	1
Pseudofungi	Sagenista	1
Radiolaria	Radiolaria	3
Sagenista	Sagenista	1
Sagenista	Stramenopiles_X	2
Sagenista	Telonemia	2
Telonemia	Telonemia	5
