"Color","Abbreviation","FullName"
"#66C2A5","Act","Actinobacteriota"
"#80B898","Alp","Alphaproteobacteria"
"#9BAE8C","Api","Apicomplexa"
"#B6A580","Bac","Bacteroidota"
"#D19B74","Bde","Bdellovibrionota"
"#EC9268","Cen","Centroheliozoa"
"#F38E6A","Cer","Cercozoa"
"#DF917C","Chlf","Chloroflexi"
"#CB958F","Chlp","Chlorophyta"
"#B798A2","Cho","Choanoflagellida"
"#A39CB5","Cil","Ciliophora"
"#8F9FC8","Cre","Crenarchaeota"
"#9A9CC9","Cry","Cryptophyta"
"#AB98C8","Cya","Cyanobacteria"
"#BB94C6","Dad","Dadabacteria"
"#CB90C5","Des","Desulfobacterota"
"#DB8CC4","Din","Dinoflagellata"
"#E38EBD","Fir","Firmicutes"
"#D89BA9","Gam","Gammaproteobacteria"
"#CCAA95","Gem","Gemmatimonadota"
"#C0B881","Hap","Haptophyta"
"#B5C66D","Mar","Marinimicrobia (SAR406 clade)"
"#A9D459","Mes","Mesomycetozoa"
"#B1D84F","Myx","Myxococcota"
"#C1D848","Nan","Nanoarchaeota"
"#D1D841","Nit","Nitrospinota"
"#E1D83B","Och","Ochrophyta"
"#F1D834","Opa","Opalozoa"
"#FED831","Pic","Picozoa"
"#F9D443","Pla","Planctomycetota"
"#F5D055","Pra","Prasinodermophyta"
"#F0CD67","Pse","Pseudofungi"
"#EBC97A","Rad","Radiolaria"
"#E7C58C","Sag","Sagenista"
"#DFC297","SAR","SAR324 clade(Marine group B)"
"#D6BF9C","Str","Stramenopiles_X"
"#CDBCA2","Tel","Telonemia"
"#C4B9A7","The","Thermoplasmatota"
"#BBB6AD","u16","unknown 16S"
"#B3B3B3","Ver","Verrucomicrobiota"
