"Color","Abbreviation","FullName"
"#66C2A5","Aci","Acidobacteriota"
"#7ABA9B","Act","Actinobacteriota"
"#8FB392","Alp","Alphaproteobacteria"
"#A3AC89","Api","Apicomplexa"
"#B8A480","Apu","Apusomonadidae"
"#CC9D77","Bac","Bacteroidota"
"#E1966D","Bde","Bdellovibrionota"
"#F68F64","Cen","Centroheliozoa"
"#F18E6C","Cer","Cercozoa"
"#E1917A","Chlf","Chloroflexi"
"#D29489","Chlp","Chlorophyta"
"#C39697","Cho","Choanoflagellida"
"#B499A5","Cil","Ciliophora"
"#A49BB4","Con","Conosa"
"#959EC2","Cre","Crenarchaeota"
"#929ECA","Cry","Cryptophyta"
"#9E9BC9","Cya","Cyanobacteria"
"#AB98C8","Dad","Dadabacteria"
"#B795C7","Des","Desulfobacterota"
"#C392C6","Din","Dinoflagellata"
"#D08FC5","Fir","Firmicutes"
"#DC8CC3","Gam","Gammaproteobacteria"
"#E58BC0","Gem","Gemmatimonadota"
"#DC96B1","Hap","Haptophyta"
"#D3A0A2","Hil","Hilomonadea"
"#CAAB93","Kat","Katablepharidophyta"
"#C2B683","Lob","Lobosa"
"#B9C174","Mar","Marinimicrobia (SAR406 clade)"
"#B0CB65","Mes","Mesomycetozoa"
"#A7D656","Myx","Myxococcota"
"#B0D84F","Nan","Nanoarchaeota"
"#BCD84A","NB1","NB1-j"
"#C8D845","Nit","Nitrospinota"
"#D5D840","Och","Ochrophyta"
"#E1D83B","Opa","Opalozoa"
"#EDD836","PAU","PAUC34f"
"#F9D831","Pic","Picozoa"
"#FCD736","Pla","Planctomycetota"
"#F9D444","Pra","Prasinodermophyta"
"#F5D152","Pse","Pseudofungi"
"#F2CE60","Rad","Radiolaria"
"#EECB6E","Rdi","Rhodelphidia"
"#EBC87C","Rph","Rhodophyta"
"#E7C68A","Sag","Sagenista"
"#E3C395","SAR","SAR324 clade(Marine group B)"
"#DCC199","Str","Stramenopiles_X"
"#D5BE9D","Tel","Telonemia"
"#CEBCA1","The","Thermoplasmatota"
"#C7BAA6","u16","unknown 16S"
"#C0B7AA","u18","unknown 18S"
"#B9B5AE","Ver","Verrucomicrobiota"
"#B3B3B3","WPS","WPS-2"
